stage,candidate_id,medium_code,fine_code,K,vdd_v,control_value,D_rise_ps,D_fall_ps,output_rise_time_ps,output_fall_time_ps,output_logic_high,output_logic_low,unexpected_transition_count,valid,scenario
coupled_medium_coverage,NAND2_X8M_A9TL40__signal_A,0,5,5,1.1,,195.22451800000007,115.91218499999957,317.5281309999999,180.42398500000036,1.0999971661,2.286231789e-06,0,True,scenarios/coupled_medium_coverage__m00__k05__f05__v1p10__fe156aad45d894537c0f
coupled_medium_coverage,NAND2_X8M_A9TL40__signal_A,7,5,5,1.1,,426.69619399999993,356.35671899999994,320.1458830000001,181.59473599999984,1.0999918089,2.198525219e-06,0,True,scenarios/coupled_medium_coverage__m07__k05__f05__v1p10__e432f9de7c11427115b0
coupled_medium_coverage,NAND2_X8M_A9TL40__signal_A,15,5,5,1.1,,693.110974,629.917728,318.0336029999999,181.38141499999983,1.0999913712,-1.89910291e-06,0,True,scenarios/coupled_medium_coverage__m15__k05__f05__v1p10__9229e2bbb9284b501bd0
coupled_medium_coverage,NAND2_X8M_A9TL40__signal_A,0,5,5,0.95,,241.11482799999993,142.54180199999985,393.5210489999999,216.34563099999988,0.9499947227,1.602209408e-06,0,True,scenarios/coupled_medium_coverage__m00__k05__f05__v0p95__2c26246bbdd12db74ee8
coupled_medium_coverage,NAND2_X8M_A9TL40__signal_A,7,5,5,0.95,,547.560138,469.61995700000006,393.61998699999987,216.84587900000025,0.9499940708,-1.007950349e-06,0,True,scenarios/coupled_medium_coverage__m07__k05__f05__v0p95__52c20bb02560a5185655
coupled_medium_coverage,NAND2_X8M_A9TL40__signal_A,15,5,5,0.95,,900.3649659999998,840.9686669999999,392.67497200000014,217.80386100000018,0.9490519336,3.693656269e-06,0,True,scenarios/coupled_medium_coverage__m15__k05__f05__v0p95__4829443f89a1798cb13a
coupled_medium_coverage,NAND2_X8M_A9TL40__signal_A,0,5,5,0.8,,327.324993,197.54451499999968,548.1100319999999,293.57382499999943,0.7999849756,1.301016737e-06,0,True,scenarios/coupled_medium_coverage__m00__k05__f05__v0p80__23d988efde5681be08ed
coupled_medium_coverage,NAND2_X8M_A9TL40__signal_A,7,5,5,0.8,,794.814597,716.1633599999994,548.486032,294.68602599999923,0.7971590295,2.269005429e-06,0,True,scenarios/coupled_medium_coverage__m07__k05__f05__v0p80__148fb7390b74fb078ce4
coupled_medium_coverage,NAND2_X8M_A9TL40__signal_A,15,5,5,0.8,,1330.974244,1300.2733929999993,545.5043880000003,294.7227849999999,0.5558778875,0.08879505897,0,False,scenarios/coupled_medium_coverage__m15__k05__f05__v0p80__fbd547d0b645ce0eea40
coupled_medium_coverage,NAND2_X8M_A9TL40__signal_A,1,0,5,1.1,,166.35309899999996,123.39858399999945,164.76425000000006,104.99652399999994,1.1003710929,-8.539512104e-06,0,True,scenarios/coupled_medium_coverage__m01__k05__f00__v1p10__3491ed78c820dcd7933b
coupled_medium_coverage,NAND2_X8M_A9TL40__signal_A,8,0,5,1.1,,398.36428599999994,362.8970899999993,167.947738,114.56657799999972,1.1004802139,-1.095441672e-05,0,True,scenarios/coupled_medium_coverage__m08__k05__f00__v1p10__5f765338d1c1ec5160b6
coupled_medium_coverage,NAND2_X8M_A9TL40__signal_A,16,0,5,1.1,,641.1607690000001,614.7371749999994,168.6763939999999,109.79699599999987,1.1006891016,-5.317370346e-06,0,True,scenarios/coupled_medium_coverage__m16__k05__f00__v1p10__85317b271c68932b298b
coupled_medium_coverage,NAND2_X8M_A9TL40__signal_A,1,0,5,0.95,,212.60293599999997,160.19956999999988,205.6838170000001,126.9258990000003,0.9505141516,-7.417762763e-06,0,True,scenarios/coupled_medium_coverage__m01__k05__f00__v0p95__42e4407b288ba705c12d
coupled_medium_coverage,NAND2_X8M_A9TL40__signal_A,8,0,5,0.95,,519.4107020000001,485.0289689999995,207.95513500000013,129.58995700000037,0.9507328083,-8.837443546e-06,0,True,scenarios/coupled_medium_coverage__m08__k05__f00__v0p95__18e591bf0fd4951c60d7
coupled_medium_coverage,NAND2_X8M_A9TL40__signal_A,16,0,5,0.95,,840.7750289999999,827.8270949999996,211.49977900000005,130.55687299999997,0.9513608197,-6.809384008e-06,0,True,scenarios/coupled_medium_coverage__m16__k05__f00__v0p95__ad17b3fbdc0240af919d
coupled_medium_coverage,NAND2_X8M_A9TL40__signal_A,1,0,5,0.8,,307.55587800000006,239.14504799999932,290.80414999999994,172.68352200000012,0.8008650691,-7.756248181e-06,0,True,scenarios/coupled_medium_coverage__m01__k05__f00__v0p80__de09da1f1de9820fb53d
coupled_medium_coverage,NAND2_X8M_A9TL40__signal_A,8,0,5,0.8,,775.015023,753.3814759999999,292.441082,175.76699200000002,0.8020741007,-7.267081837e-06,0,True,scenarios/coupled_medium_coverage__m08__k05__f00__v0p80__6aa6a8ff4e837912b7db
coupled_medium_coverage,NAND2_X8M_A9TL40__signal_A,16,0,5,0.8,,1265.956002,1293.1233929999999,294.2996230000001,176.35869699999998,0.7779141209,0.00958719257,0,True,scenarios/coupled_medium_coverage__m16__k05__f00__v0p80__d0149896ddeb29227b28
coupled_medium_step,NAND2_X8M_A9TL40__signal_A,0,0,5,1.1,,133.24144000000004,89.34776799999939,164.62188300000014,104.97271799999972,1.1003581689,-8.547505788e-06,0,True,scenarios/coupled_medium_step__m00__k05__f00__v1p10__8b073c5a4f46d3ef8597
coupled_medium_step,NAND2_X8M_A9TL40__signal_A,7,0,5,1.1,,364.8153719999999,328.14502999999996,166.90373200000008,108.47039999999944,1.1004640433,-8.733889586e-06,0,True,scenarios/coupled_medium_step__m07__k05__f00__v1p10__582e8858be3a0dcd0827
coupled_medium_step,NAND2_X8M_A9TL40__signal_A,15,0,5,1.1,,630.922304,601.4973700000002,166.822134,108.66506699999951,1.1006758394,-7.073479928e-06,0,True,scenarios/coupled_medium_step__m15__k05__f00__v1p10__cdd48443b829d41414f6
coupled_medium_step,NAND2_X8M_A9TL40__signal_A,0,0,5,0.95,,168.739382,113.7302829999994,205.60721800000002,126.90293699999947,0.9504879373,-7.430807033e-06,0,True,scenarios/coupled_medium_step__m00__k05__f00__v0p95__a3c1ae176e177a93dab5
