stage,candidate_id,medium_code,fine_code,K,vdd_v,control_value,D_rise_ps,D_fall_ps,output_rise_time_ps,output_fall_time_ps,output_logic_high,output_logic_low,unexpected_transition_count,valid,scenario
fine8,NAND2_X8M_A9TL40__signal_A,8,0,8,0.95,,586.949112,517.7208879999995,325.24291600000004,202.66113399999983,0.9516825269,-1.365814712e-05,0,True,scenarios/fine8__m08__k08__f00__v0p95__47295008561581d951f8
fine8,NAND2_X8M_A9TL40__signal_A,8,1,8,0.95,,599.366397,524.081779,363.35640900000004,219.1672970000001,0.9516816883,-1.0676171e-05,0,True,scenarios/fine8__m08__k08__f01__v0p95__48c2f8c1e231132bee99
fine8,NAND2_X8M_A9TL40__signal_A,8,2,8,0.95,,613.007205,529.505611,399.78937,238.77004399999993,0.9515588717,-9.152395404e-06,0,True,scenarios/fine8__m08__k08__f02__v0p95__39eb37394d4c205502a9
fine8,NAND2_X8M_A9TL40__signal_A,8,3,8,0.95,,628.223396,535.2735639999994,436.75357399999973,255.26630299999977,0.9513965438,-6.329919771e-06,0,True,scenarios/fine8__m08__k08__f03__v0p95__8fd61e0131fcf74f3af4
fine8,NAND2_X8M_A9TL40__signal_A,8,4,8,0.95,,644.4303120000001,543.7055089999999,474.8594389999998,273.94093300000065,0.9511052443,-5.703895873e-06,0,True,scenarios/fine8__m08__k08__f04__v0p95__3024aa44eb0ed2a6bb2a
fine8,NAND2_X8M_A9TL40__signal_A,8,5,8,0.95,,660.746959,548.275448,511.5584010000003,291.93997800000017,0.9505548246,-3.479234608e-06,0,True,scenarios/fine8__m08__k08__f05__v0p95__fb491dff05182d06352c
fine8,NAND2_X8M_A9TL40__signal_A,8,6,8,0.95,,677.338575,554.8480889999994,550.1571580000002,309.70165399999973,0.9496988788,6.435655835e-06,0,True,scenarios/fine8__m08__k08__f06__v0p95__d1d61682d9bb34d8bcbd
fine8,NAND2_X8M_A9TL40__signal_A,8,7,8,0.95,,693.846787,562.1890789999995,587.0956419999999,328.0647879999995,0.9485142905,1.473715453e-06,0,True,scenarios/fine8__m08__k08__f07__v0p95__01a905e6f050d31d6e86
fine8,NAND2_X8M_A9TL40__signal_A,8,8,8,0.95,,711.0253359999999,567.5626929999999,627.2353219999999,346.84864799999997,0.9469730328,2.054221917e-06,0,True,scenarios/fine8__m08__k08__f08__v0p95__dfe0ce8e791699d39753
fine8,NAND2_X8M_A9TL40__signal_A,8,0,8,1.1,,452.3214270000001,390.1448889999996,261.3381710000001,172.75579899999988,1.1009400864,-1.64185891e-05,0,True,scenarios/fine8__m08__k08__f00__v1p10__f22fb259f42ae36c349e
fine8,NAND2_X8M_A9TL40__signal_A,8,1,8,1.1,,463.38404299999996,394.8596859999999,290.3709050000001,181.57298400000005,1.1009113848,-1.388649548e-05,0,True,scenarios/fine8__m08__k08__f01__v1p10__2836786d04332995b6d8
fine8,NAND2_X8M_A9TL40__signal_A,8,4,8,1.1,,501.2290780000001,411.6028759999995,382.834536,227.8776990000002,1.1006518265,-6.216168474e-06,0,True,scenarios/fine8__m08__k08__f04__v1p10__5c62189a8cdadda377d0
fine8,NAND2_X8M_A9TL40__signal_A,8,7,8,1.1,,542.390524,428.20476299999996,476.4590150000001,273.3634899999996,1.1001235731,-6.454965897e-06,0,True,scenarios/fine8__m08__k08__f07__v1p10__254146f2b96d232fd65e
fine8,NAND2_X8M_A9TL40__signal_A,8,8,8,1.1,,556.4467309999999,433.19981400000006,508.580358,286.6258729999995,1.0999095224,2.682387976e-06,0,True,scenarios/fine8__m08__k08__f08__v1p10__aca9104e5d6d7b551664
fine8,NAND2_X8M_A9TL40__signal_A,8,0,8,0.8,,868.9831979999999,796.3491839999999,457.75033600000006,275.0651300000004,0.8039918855,1.256343404e-05,0,True,scenarios/fine8__m08__k08__f00__v0p80__451936fff627cfea198b
fine8,NAND2_X8M_A9TL40__signal_A,8,1,8,0.8,,882.650911,803.9358449999996,508.8526619999999,299.21584100000035,0.8012281325,6.419217044e-05,0,True,scenarios/fine8__m08__k08__f01__v0p80__da5650e19ffa79b2c9e8
fine8,NAND2_X8M_A9TL40__signal_A,8,4,8,0.8,,936.956951,824.6600019999994,658.0227369999999,370.39825499999966,0.7781760024,0.0001465569877,0,True,scenarios/fine8__m08__k08__f04__v0p80__16abc013315946cda0e7
