stage,candidate_id,medium_code,fine_code,K,vdd_v,control_value,D_rise_ps,D_fall_ps,output_rise_time_ps,output_fall_time_ps,output_logic_high,output_logic_low,unexpected_transition_count,valid,scenario
full_bank_coverage,NAND2_X8M_A9TL40__signal_A,7,0,4,1.1,,346.5870490000001,319.3207039999997,134.30289300000013,85.30984000000011,1.1003493612,-6.15149536e-06,0,True,scenarios/full_bank_coverage__m07__k04__f00__v1p10__c281f685a19e624261c1
full_bank_coverage,NAND2_X8M_A9TL40__signal_A,7,4,4,1.1,,394.6360660000001,340.82935299999934,257.349327,145.96118199999995,1.0999956506,3.977898335e-06,0,True,scenarios/full_bank_coverage__m07__k04__f04__v1p10__7b78bb8c5a4b12686ed6
full_bank_coverage,NAND2_X8M_A9TL40__signal_A,8,0,4,1.1,,380.3263510000001,353.57629699999956,135.85350699999998,87.84331899999972,1.1003620874,-5.740579465e-06,0,True,scenarios/full_bank_coverage__m08__k04__f00__v1p10__bdb29a68a76945d505ed
full_bank_coverage,NAND2_X8M_A9TL40__signal_A,7,0,4,0.95,,452.292163,428.681005,168.71718400000003,106.15547499999977,0.9505263496,-5.957862524e-06,0,True,scenarios/full_bank_coverage__m07__k04__f00__v0p95__abbea24cf06139c14caf
full_bank_coverage,NAND2_X8M_A9TL40__signal_A,7,4,4,0.95,,507.877951,451.79058499999934,314.36171999999993,175.21807900000013,0.9499962991,1.08043459e-06,0,True,scenarios/full_bank_coverage__m07__k04__f04__v0p95__7d622f468d2ba614f3f2
full_bank_coverage,NAND2_X8M_A9TL40__signal_A,8,0,4,0.95,,496.627414,475.5294569999995,173.17594999999997,106.1387200000003,0.9505325976,-6.497370978e-06,0,True,scenarios/full_bank_coverage__m08__k04__f00__v0p95__8f45e957cb9f4e22909e
full_bank_coverage,NAND2_X8M_A9TL40__signal_A,7,0,4,0.8,,676.8622389999999,665.4208549999997,238.77528200000003,142.7901809999998,0.8011102391,-6.657711749e-06,0,True,scenarios/full_bank_coverage__m07__k04__f00__v0p80__5e849eb4a0b130480fc5
full_bank_coverage,NAND2_X8M_A9TL40__signal_A,7,4,4,0.8,,738.056354,691.870036,439.9570679999999,240.87154200000035,0.7999326698,1.831160575e-06,0,True,scenarios/full_bank_coverage__m07__k04__f04__v0p80__6ceea24836026d995efd
full_bank_coverage,NAND2_X8M_A9TL40__signal_A,8,0,4,0.8,,743.5901550000001,738.5381229999994,238.89763800000003,141.43320600000027,0.8012905757,-5.582060667e-06,0,True,scenarios/full_bank_coverage__m08__k04__f00__v0p80__bc986a0339f2e4b5fa8f
full_bank_coverage_rescaled,NAND2_X8M_A9TL40__signal_A,7,0,5,1.1,,364.8153719999999,328.14502999999996,166.90373200000008,108.47039999999944,1.1004640433,-8.733889586e-06,0,True,scenarios/full_bank_coverage_rescaled__m07__k05__f00__v1p10__68c49343a9d623b80b15
full_bank_coverage_rescaled,NAND2_X8M_A9TL40__signal_A,7,5,5,1.1,,426.69619399999993,356.35671899999994,320.1458830000001,181.59473599999984,1.0999918089,2.198525219e-06,0,True,scenarios/full_bank_coverage_rescaled__m07__k05__f05__v1p10__b2b49239e47ecd7e2f16
full_bank_coverage_rescaled,NAND2_X8M_A9TL40__signal_A,8,0,5,1.1,,398.36428599999994,362.8970899999993,167.947738,114.56657799999972,1.1004802139,-1.095441672e-05,0,True,scenarios/full_bank_coverage_rescaled__m08__k05__f00__v1p10__91000b5b149549dc5397
full_bank_coverage_rescaled,NAND2_X8M_A9TL40__signal_A,7,0,5,0.95,,475.030972,438.2294189999994,207.887687,131.86402500000003,0.9506999316,-7.621351627e-06,0,True,scenarios/full_bank_coverage_rescaled__m07__k05__f00__v0p95__d3c8c8a4a5d39cdb2907
full_bank_coverage_rescaled,NAND2_X8M_A9TL40__signal_A,7,5,5,0.95,,547.560138,469.61995700000006,393.61998699999987,216.84587900000025,0.9499940708,-1.007950349e-06,0,True,scenarios/full_bank_coverage_rescaled__m07__k05__f05__v0p95__96db6ecba8d305f09b60
full_bank_coverage_rescaled,NAND2_X8M_A9TL40__signal_A,8,0,5,0.95,,519.4107020000001,485.0289689999995,207.95513500000013,129.58995700000037,0.9507328083,-8.837443546e-06,0,True,scenarios/full_bank_coverage_rescaled__m08__k05__f00__v0p95__5a31e9aed48bd00024e5
full_bank_coverage_rescaled,NAND2_X8M_A9TL40__signal_A,7,0,5,0.8,,708.373234,680.0029729999995,292.9250450000003,174.83111399999945,0.801752774,-6.39953248e-06,0,True,scenarios/full_bank_coverage_rescaled__m07__k05__f00__v0p80__22d273935b7ec5ed615d
full_bank_coverage_rescaled,NAND2_X8M_A9TL40__signal_A,7,5,5,0.8,,794.814597,716.1633599999994,548.486032,294.68602599999923,0.7971590295,2.269005429e-06,0,True,scenarios/full_bank_coverage_rescaled__m07__k05__f05__v0p80__2b481e61dbd040ff3a00
full_bank_coverage_rescaled,NAND2_X8M_A9TL40__signal_A,8,0,5,0.8,,775.015023,753.3814759999999,292.441082,175.76699200000002,0.8020741007,-7.267081837e-06,0,True,scenarios/full_bank_coverage_rescaled__m08__k05__f00__v0p80__508c49bbac0d4bc3a0d5
