stage,candidate_id,medium_code,fine_code,K,vdd_v,control_value,D_rise_ps,D_fall_ps,output_rise_time_ps,output_fall_time_ps,output_logic_high,output_logic_low,unexpected_transition_count,valid,scenario
full_bank_monotonicity,NAND2_X8M_A9TL40__signal_A,7,0,5,0.95,,475.030972,438.2294189999994,207.887687,131.86402500000003,0.9506999316,-7.621351627e-06,0,True,scenarios/full_bank_monotonicity__m07__k05__f00__v0p95__4a3032fc0ef06b7c330b
full_bank_monotonicity,NAND2_X8M_A9TL40__signal_A,7,1,5,0.95,,485.81304299999994,444.47766499999955,242.50847000000005,146.1047610000004,0.9506010968,-5.328503294e-06,0,True,scenarios/full_bank_monotonicity__m07__k05__f01__v0p95__8477591c1b573d4004ce
full_bank_monotonicity,NAND2_X8M_A9TL40__signal_A,7,2,5,0.95,,499.1673379999999,450.8063949999998,279.85293499999995,163.64241700000005,0.9504924142,-1.63835053e-06,0,True,scenarios/full_bank_monotonicity__m07__k05__f02__v0p95__c5541d2e1365ebca7f98
full_bank_monotonicity,NAND2_X8M_A9TL40__signal_A,7,3,5,0.95,,514.714298,455.86075900000003,317.8788630000001,181.82422600000035,0.9503562647,-1.926841689e-06,0,True,scenarios/full_bank_monotonicity__m07__k05__f03__v0p95__e4983e872b9e3ac3c882
full_bank_monotonicity,NAND2_X8M_A9TL40__signal_A,7,4,5,0.95,,530.8723509999999,462.60738999999967,355.7058250000001,199.6981320000005,0.9501951388,-8.382512945e-07,0,True,scenarios/full_bank_monotonicity__m07__k05__f04__v0p95__b65288094ae1fda2ae61
full_bank_monotonicity,NAND2_X8M_A9TL40__signal_A,7,5,5,0.95,,547.560138,469.61995700000006,393.61998699999987,216.84587900000025,0.9499940708,-1.007950349e-06,0,True,scenarios/full_bank_monotonicity__m07__k05__f05__v0p95__5c6806e112ba7bde7935
full_bank_monotonicity,NAND2_X8M_A9TL40__signal_A,7,0,5,1.1,,364.8153719999999,328.14502999999996,166.90373200000008,108.47039999999944,1.1004640433,-8.733889586e-06,0,True,scenarios/full_bank_monotonicity__m07__k05__f00__v1p10__9481aaf9fdfe78bf4012
full_bank_monotonicity,NAND2_X8M_A9TL40__signal_A,7,1,5,1.1,,374.952974,333.1856349999994,198.91471099999993,120.68325800000021,1.100388086,-6.771084153e-06,0,True,scenarios/full_bank_monotonicity__m07__k05__f01__v1p10__aa6ffc917527c3e7fdd5
full_bank_monotonicity,NAND2_X8M_A9TL40__signal_A,7,2,5,1.1,,385.56182299999995,339.01259499999975,228.70250700000003,135.61538800000005,1.1003109601,-3.447298649e-06,0,True,scenarios/full_bank_monotonicity__m07__k05__f02__v1p10__d230912e977810f51ef0
full_bank_monotonicity,NAND2_X8M_A9TL40__signal_A,7,4,5,1.1,,412.895099,350.22965499999935,288.18924999999996,166.45445399999952,1.1001141525,3.137541312e-06,0,True,scenarios/full_bank_monotonicity__m07__k05__f04__v1p10__0c4e8987f80d5356993b
full_bank_monotonicity,NAND2_X8M_A9TL40__signal_A,7,5,5,1.1,,426.69619399999993,356.35671899999994,320.1458830000001,181.59473599999984,1.0999918089,2.198525219e-06,0,True,scenarios/full_bank_monotonicity__m07__k05__f05__v1p10__59247995bba76f14d0fb
full_bank_monotonicity,NAND2_X8M_A9TL40__signal_A,7,0,5,0.8,,708.373234,680.0029729999995,292.9250450000003,174.83111399999945,0.801752774,-6.39953248e-06,0,True,scenarios/full_bank_monotonicity__m07__k05__f00__v0p80__4cc66b462b2f494478b8
full_bank_monotonicity,NAND2_X8M_A9TL40__signal_A,7,1,5,0.8,,719.57092,687.3015099999998,343.9917740000002,198.31850100000028,0.8016318685,-4.641554812e-06,0,True,scenarios/full_bank_monotonicity__m07__k05__f01__v0p80__52707a594fe89b8b1bb1
full_bank_monotonicity,NAND2_X8M_A9TL40__signal_A,7,2,5,0.8,,733.067818,693.5577719999999,394.2905109999998,223.10304499999958,0.8013635087,-3.870357363e-06,0,True,scenarios/full_bank_monotonicity__m07__k05__f02__v0p80__21706b7d20a96153660a
full_bank_monotonicity,NAND2_X8M_A9TL40__signal_A,7,4,5,0.8,,771.813229,705.3251359999994,494.94147599999997,270.63641700000034,0.7995017641,-6.69440328e-07,0,True,scenarios/full_bank_monotonicity__m07__k05__f04__v0p80__f7c11e044e35a9cd35a0
full_bank_monotonicity,NAND2_X8M_A9TL40__signal_A,7,5,5,0.8,,794.814597,716.1633599999994,548.486032,294.68602599999923,0.7971590295,2.269005429e-06,0,True,scenarios/full_bank_monotonicity__m07__k05__f05__v0p80__e2ee15285e61c01baa8e
