stage,candidate_id,medium_code,fine_code,K,vdd_v,control_value,D_rise_ps,D_fall_ps,output_rise_time_ps,output_fall_time_ps,output_logic_high,output_logic_low,unexpected_transition_count,valid,scenario
winner_coupled_medium,NOR2_X4A_A9TL40__signal_A,0,8,8,1.1,,157.33929299999997,91.20472299999982,228.82999699999988,132.91237799999968,1.0999939718,2.133452281e-06,0,True,scenarios/winner_coupled_medium__m00__k08__f08__v1p10__7abab2b8c7a8c844fe6a
winner_coupled_medium,NOR2_X4A_A9TL40__signal_A,7,8,8,1.1,,388.68836,330.0709619999999,232.1633439999999,133.90618200000026,1.0999927262,2.745911041e-06,0,True,scenarios/winner_coupled_medium__m07__k08__f08__v1p10__aa4d08897a05abbb86e6
winner_coupled_medium,NOR2_X4A_A9TL40__signal_A,15,8,8,1.1,,655.181599,603.359233,230.71994500000008,133.71317599999986,1.0999971121,-6.171248321e-08,0,True,scenarios/winner_coupled_medium__m15__k08__f08__v1p10__c88d588559257d448298
winner_coupled_medium,NOR2_X4A_A9TL40__signal_A,0,8,8,0.95,,189.46658199999993,115.05560000000006,283.4471660000001,159.3966600000005,0.9499954292,1.807972901e-06,0,True,scenarios/winner_coupled_medium__m00__k08__f08__v0p95__bc245ebffe8c7b3ec532
winner_coupled_medium,NOR2_X4A_A9TL40__signal_A,7,8,8,0.95,,495.6995359999999,441.83661399999954,286.02177499999993,159.77587300000008,0.949995188,2.036549286e-06,0,True,scenarios/winner_coupled_medium__m07__k08__f08__v0p95__8293f27a26330fefebe7
winner_coupled_medium,NOR2_X4A_A9TL40__signal_A,15,8,8,0.95,,848.4921099999999,813.4816749999997,284.634501,160.12943600000057,0.949987532,7.447807205e-07,0,True,scenarios/winner_coupled_medium__m15__k08__f08__v0p95__d4c083f2763d804c263d
winner_coupled_medium,NOR2_X4A_A9TL40__signal_A,0,8,8,0.8,,249.882625,163.98644700000006,394.45700600000004,217.12100999999993,0.7999960812,1.062940337e-06,0,True,scenarios/winner_coupled_medium__m00__k08__f08__v0p80__9840bed459f10354a47e
winner_coupled_medium,NOR2_X4A_A9TL40__signal_A,7,8,8,0.8,,717.291776,679.8148259999996,396.41432500000025,217.3038940000004,0.8000911293,1.341731059e-06,0,True,scenarios/winner_coupled_medium__m07__k08__f08__v0p80__9b25911c3d492a3bc53f
winner_coupled_medium,NOR2_X4A_A9TL40__signal_A,15,8,8,0.8,,1253.407066,1265.9933209999997,396.4726550000003,217.9446519999999,0.717393004,0.0118503303,0,False,scenarios/winner_coupled_medium__m15__k08__f08__v0p80__ba2bb1c61505037ab22e
winner_coupled_medium,NOR2_X4A_A9TL40__signal_A,1,0,8,1.1,,129.67325799999998,117.12546499999954,138.62585699999988,74.04296400000042,1.1000051672,-6.581706975e-07,0,True,scenarios/winner_coupled_medium__m01__k08__f00__v1p10__6cc6619358288baf0b77
winner_coupled_medium,NOR2_X4A_A9TL40__signal_A,8,0,8,1.1,,362.058433,356.323707,144.50116900000017,76.31833000000022,1.1000051379,-6.050018401e-07,0,True,scenarios/winner_coupled_medium__m08__k08__f00__v1p10__9ca2a1f5ce8ad852c850
winner_coupled_medium,NOR2_X4A_A9TL40__signal_A,16,0,8,1.1,,605.339518,607.7765710000001,139.24035500000005,75.40128900000039,1.1000054743,-1.101165173e-06,0,True,scenarios/winner_coupled_medium__m16__k08__f00__v1p10__f58008bafd8a73a772d6
winner_coupled_medium,NOR2_X4A_A9TL40__signal_A,1,0,8,0.95,,166.57268299999996,152.93519499999988,171.953505,89.5847169999995,0.9500048025,-8.234418782e-08,0,True,scenarios/winner_coupled_medium__m01__k08__f00__v0p95__8e56a05755fcc0d9aff5
winner_coupled_medium,NOR2_X4A_A9TL40__signal_A,8,0,8,0.95,,473.5001609999999,478.1137589999998,176.86883,91.59681400000021,0.9500036646,-6.913938167e-08,0,True,scenarios/winner_coupled_medium__m08__k08__f00__v0p95__9a50ccffe048992a659a
winner_coupled_medium,NOR2_X4A_A9TL40__signal_A,16,0,8,0.95,,796.4504469999999,820.9764009999997,182.26307699999998,91.68638499999963,0.9500113352,-1.438150123e-06,0,True,scenarios/winner_coupled_medium__m16__k08__f00__v0p95__a51b73b051e9abf10b9d
winner_coupled_medium,NOR2_X4A_A9TL40__signal_A,1,0,8,0.8,,244.978156,229.10395199999945,240.45734400000015,122.33382899999927,0.8000046533,3.309096148e-07,0,True,scenarios/winner_coupled_medium__m01__k08__f00__v0p80__ef0bf816ef6ba41d1804
winner_coupled_medium,NOR2_X4A_A9TL40__signal_A,8,0,8,0.8,,713.6872890000001,743.294871,247.14364499999982,123.64153799999974,0.8000020278,-6.819325059e-08,0,True,scenarios/winner_coupled_medium__m08__k08__f00__v0p80__735d716f11062c15cead
winner_coupled_medium,NOR2_X4A_A9TL40__signal_A,16,0,8,0.8,,1203.6093960000003,1282.7191559999997,246.7160539999999,124.94807900000046,0.7893428502,0.0001682762079,0,True,scenarios/winner_coupled_medium__m16__k08__f00__v0p80__f6ebfb20d13f659ec4f3
winner_coupled_medium_step,NOR2_X4A_A9TL40__signal_A,0,0,8,1.1,,96.5600719999999,83.06706699999974,138.63100100000003,74.05441899999987,1.1000051985,-6.578621803e-07,0,True,scenarios/winner_coupled_medium_step__m00__k08__f00__v1p10__3d0dc3d139afc0ad66f5
winner_coupled_medium_step,NOR2_X4A_A9TL40__signal_A,7,0,8,1.1,,328.18293700000004,321.635312,139.22521500000002,76.92426800000051,1.1000043231,-4.275373027e-07,0,True,scenarios/winner_coupled_medium_step__m07__k08__f00__v1p10__0fb36f7764643d80fd11
winner_coupled_medium_step,NOR2_X4A_A9TL40__signal_A,15,0,8,1.1,,595.1360959999998,595.3637749999995,144.5314010000001,77.13438099999993,1.1000038885,-9.504351975e-07,0,True,scenarios/winner_coupled_medium_step__m15__k08__f00__v1p10__7263e07e8085203e0332
winner_coupled_medium_step,NOR2_X4A_A9TL40__signal_A,0,0,8,0.95,,122.707739,106.45603299999999,171.9606750000001,89.57407600000076,0.950004764,1.396871878e-08,0,True,scenarios/winner_coupled_medium_step__m00__k08__f00__v0p95__b329d01e63b021933c7d
winner_coupled_medium_step,NOR2_X4A_A9TL40__signal_A,7,0,8,0.95,,429.38893999999993,431.500546,174.12240399999993,91.75592599999979,0.9500045375,5.688387576e-07,0,True,scenarios/winner_coupled_medium_step__m07__k08__f00__v0p95__9cce7230399fc7a4fdda
winner_coupled_medium_step,NOR2_X4A_A9TL40__signal_A,15,0,8,0.95,,782.6246,804.2219470000001,181.93421500000008,90.51572099999991,0.9500085338,-5.414055654e-07,0,True,scenarios/winner_coupled_medium_step__m15__k08__f00__v0p95__ea03300e99d0b4e0ad19
winner_coupled_medium_step,NOR2_X4A_A9TL40__signal_A,0,0,8,0.8,,178.2717299999999,155.65753799999976,240.44504200000006,122.32004800000018,0.8000046954,3.605370302e-07,0,True,scenarios/winner_coupled_medium_step__m00__k08__f00__v0p80__a2807006b0d435ed0ce2
winner_coupled_medium_step,NOR2_X4A_A9TL40__signal_A,7,0,8,0.8,,647.1722589999999,669.0047679999993,247.55400199999997,123.61968700000007,0.8000057123,2.475003574e-07,0,True,scenarios/winner_coupled_medium_step__m07__k08__f00__v0p80__3b9b80b53c412905f4b7
winner_coupled_medium_step,NOR2_X4A_A9TL40__signal_A,15,0,8,0.8,,1183.1768,1258.0224289999994,247.4120859999999,124.10570599999983,0.791685313,5.90134174e-05,0,True,scenarios/winner_coupled_medium_step__m15__k08__f00__v0p80__fd62d3c0f838dcaed7ec
