stage,candidate_id,medium_code,fine_code,K,vdd_v,control_value,D_rise_ps,D_fall_ps,output_rise_time_ps,output_fall_time_ps,output_logic_high,output_logic_low,unexpected_transition_count,valid,scenario
size_scan_8unit,NAND2_X0P7B_A9TL40__signal_A,8,0,8,1.1,,321.0051049999999,324.41050400000006,31.086878999999957,20.766637999999748,1.1000492083,7.223110236e-07,0,True,scenarios/size_scan_8unit__m08__k08__f00__v1p10__a91dd6e9282b01c9b011
size_scan_8unit,NAND2_X0P7B_A9TL40__signal_A,8,1,8,1.1,,321.41230299999995,324.4580529999993,33.10528700000018,21.71668100000046,1.1000436128,3.492170138e-06,0,True,scenarios/size_scan_8unit__m08__k08__f01__v1p10__21b0bdb67eaa298b5dcd
size_scan_8unit,NAND2_X0P7B_A9TL40__signal_A,8,2,8,1.1,,321.86320900000004,324.8620529999999,35.85978099999991,23.197406000000566,1.1000365192,7.264793228e-06,0,True,scenarios/size_scan_8unit__m08__k08__f02__v1p10__e89da75d7047c85b994b
size_scan_8unit,NAND2_X0P7B_A9TL40__signal_A,8,3,8,1.1,,322.3512380000001,325.26033199999966,38.50534099999997,24.84534399999966,1.1000295324,6.695303306e-06,0,True,scenarios/size_scan_8unit__m08__k08__f03__v1p10__308cb1a69de8ea9a45e0
size_scan_8unit,NAND2_X0P7B_A9TL40__signal_A,8,4,8,1.1,,322.8711069999999,325.6532249999998,41.32572400000004,26.417739999999856,1.1000233638,1.819868374e-06,0,True,scenarios/size_scan_8unit__m08__k08__f04__v1p10__5d4097fef83cd6b7628d
size_scan_8unit,NAND2_X0P7B_A9TL40__signal_A,8,5,8,1.1,,323.4172669999999,326.0395220000001,44.03824700000001,27.90900000000026,1.1000167036,-2.314245773e-06,0,True,scenarios/size_scan_8unit__m08__k08__f05__v1p10__c42963e19f082a646fd0
size_scan_8unit,NAND2_X0P7B_A9TL40__signal_A,8,6,8,1.1,,323.96138699999995,326.40931199999983,46.77201100000004,29.404921000000478,1.1000102525,9.145426381e-07,0,True,scenarios/size_scan_8unit__m08__k08__f06__v1p10__517acb2331aa34c813cb
size_scan_8unit,NAND2_X0P7B_A9TL40__signal_A,8,7,8,1.1,,324.50473400000004,327.1447079999996,49.791197000000025,30.756045999999802,1.1000012167,1.757509943e-06,0,True,scenarios/size_scan_8unit__m08__k08__f07__v1p10__dcdddaa083d70dc5b8c8
size_scan_8unit,NAND2_X0P7B_A9TL40__signal_A,8,8,8,1.1,,325.04480700000005,327.8705039999995,52.185362000000104,32.437586999999304,1.0999933861,2.208708922e-06,0,True,scenarios/size_scan_8unit__m08__k08__f08__v1p10__77e8f2007edffa789836
size_scan_8unit,NAND2_X0P7B_A9TL40__signal_A,8,0,8,0.95,,422.71273300000007,439.68554699999953,38.51898899999989,24.54177700000045,0.9500727818,6.137871741e-07,0,True,scenarios/size_scan_8unit__m08__k08__f00__v0p95__05dbc6d0017becc59cc9
size_scan_8unit,NAND2_X0P7B_A9TL40__signal_A,8,1,8,0.95,,423.1098219999999,440.1357700000001,41.7455339999999,26.691645000000232,0.950063517,1.372749951e-06,0,True,scenarios/size_scan_8unit__m08__k08__f01__v0p95__98d7854e058e8c1700f9
size_scan_8unit,NAND2_X0P7B_A9TL40__signal_A,8,2,8,0.95,,423.5056729999999,440.8189109999998,45.31444499999997,28.4969159999998,0.9500538613,3.834788861e-06,0,True,scenarios/size_scan_8unit__m08__k08__f02__v0p95__ec46a7036ac8f7170d06
size_scan_8unit,NAND2_X0P7B_A9TL40__signal_A,8,3,8,0.95,,423.89893500000005,440.719287,48.43887200000012,30.447654000000295,0.9500439401,8.680704533e-07,0,True,scenarios/size_scan_8unit__m08__k08__f03__v0p95__f99e909baa37c09f3bb6
size_scan_8unit,NAND2_X0P7B_A9TL40__signal_A,8,4,8,0.95,,424.288485,441.16532499999977,51.735225,32.41235900000033,0.9500353214,3.193073318e-06,0,True,scenarios/size_scan_8unit__m08__k08__f04__v0p95__a22dd5a7373a359777e7
size_scan_8unit,NAND2_X0P7B_A9TL40__signal_A,8,5,8,0.95,,424.673536,441.60335499999997,55.10714299999994,34.149197999999785,0.9500254213,2.995183243e-06,0,True,scenarios/size_scan_8unit__m08__k08__f05__v0p95__5e23c2aa1cda0baba0e4
size_scan_8unit,NAND2_X0P7B_A9TL40__signal_A,8,6,8,0.95,,425.0536159999999,442.03354299999967,58.40584299999991,35.83999399999968,0.9500157956,8.500345051e-06,0,True,scenarios/size_scan_8unit__m08__k08__f06__v0p95__0ee0e9290b020a3db907
size_scan_8unit,NAND2_X0P7B_A9TL40__signal_A,8,7,8,0.95,,425.4687439999999,442.456451,61.47892899999992,37.81445800000002,0.9500039924,9.163629753e-06,0,True,scenarios/size_scan_8unit__m08__k08__f07__v0p95__fb6adddfa6e3ef1cda29
size_scan_8unit,NAND2_X0P7B_A9TL40__signal_A,8,8,8,0.95,,426.07429899999994,443.6995719999999,64.961985,39.41779999999956,0.9499957951,3.426837074e-06,0,True,scenarios/size_scan_8unit__m08__k08__f08__v0p95__8c7013ef2fdbd591a826
size_scan_8unit,NAND2_X0P7B_A9TL40__signal_A,8,0,8,0.8,,641.1914119999999,692.0349419999997,55.59979099999993,35.03256700000049,0.8001359798,2.135990945e-07,0,True,scenarios/size_scan_8unit__m08__k08__f00__v0p80__c1634d61f4ec4ea9396e
size_scan_8unit,NAND2_X0P7B_A9TL40__signal_A,8,1,8,0.8,,641.7058219999999,692.368968,58.748704000000004,37.31394300000037,0.8001203814,-1.696543387e-06,0,True,scenarios/size_scan_8unit__m08__k08__f01__v0p80__64b4ba588b0cf38e511d
size_scan_8unit,NAND2_X0P7B_A9TL40__signal_A,8,2,8,0.8,,642.1974969999999,692.8485860000001,63.90656299999985,39.92763299999991,0.8001029773,-1.477571722e-06,0,True,scenarios/size_scan_8unit__m08__k08__f02__v0p80__35f48fa7492ff93fd5ed
