candidate_id,cell,size_tier,logic_family,signal_pin,control_pin,single_load_valid,control_mapping_stable,unit_delta_ps_by_vdd,fine_range_8_ps_by_vdd,K_pred_by_vdd,K_candidate,delta_fine_max_ps_by_vdd,settling_max_ps_by_vdd,monotonic,decision,reasons
NAND2_X0P7B_A9TL40__signal_A,NAND2_X0P7B_A9TL40,0P7,NAND2,A,B,True,True,"{""0.80"": 0.256151000000159, ""0.95"": 0.22704800000013847, ""1.10"": 0.2439139999999611}","{""0.80"": 3.6841110000001436, ""0.95"": 3.3615659999998684, ""1.10"": 4.039702000000148}","{""0.80"": 146, ""0.95"": 105, ""1.10"": 67}",146,"{""0.80"": 0.514409999999998, ""0.95"": 0.605555000000038, ""1.10"": 0.546160000000043}","{""0.80"": 92.0220499999999, ""0.95"": 64.961985, ""1.10"": 52.185362000000104}",True,REJECTED,"[""K_candidate exceeds 64""]"
NAND2_X0P7B_A9TL40__signal_B,NAND2_X0P7B_A9TL40,0P7,NAND2,B,A,True,True,"{""0.80"": 0.027013000000010834, ""0.95"": 0.020574999999894317, ""1.10"": 0.04067499999990787}","{""0.80"": 0.3634819999999763, ""0.95"": 1.176240000000007, ""1.10"": 1.610275999999942}","{""0.80"": 1472, ""0.95"": 300, ""1.10"": 168}",1472,"{""0.80"": 0.0875789999998915, ""0.95"": 0.19405199999988554, ""1.10"": 0.21934800000013865}","{""0.80"": 92.65616000000003, ""0.95"": 64.63911800000001, ""1.10"": 51.772979999999954}",False,REJECTED,"[""0.80 V rising delay is not strictly monotonic"", ""K_candidate exceeds 64""]"
NAND2_X1M_A9TL40__signal_A,NAND2_X1M_A9TL40,1,NAND2,A,B,True,True,"{""0.80"": 0.40430800000001454, ""0.95"": 0.3448779999999374, ""1.10"": 0.3794070000000147}","{""0.80"": 5.971722999999997, ""0.95"": 6.440552000000082, ""1.10"": 6.721946000000003}","{""0.80"": 90, ""0.95"": 55, ""1.10"": 41}",90,"{""0.80"": 0.8936629999999468, ""0.95"": 0.8775410000000079, ""1.10"": 1.1533610000001886}","{""0.80"": 118.18501999999992, ""0.95"": 84.00442799999992, ""1.10"": 67.87440099999999}",True,REJECTED,"[""K_candidate exceeds 64""]"
NAND2_X1M_A9TL40__signal_B,NAND2_X1M_A9TL40,1,NAND2,B,A,True,True,"{""0.80"": 0.058016000000066015, ""0.95"": 0.043576999999913824, ""1.10"": 0.09445100000004913}","{""0.80"": 1.8169060000000172, ""0.95"": 2.1473370000001637, ""1.10"": 2.950480999999911}","{""0.80"": 295, ""0.95"": 165, ""1.10"": 92}",295,"{""0.80"": 0.2510229999999183, ""0.95"": 0.3140910000001327, ""1.10"": 0.4048439999999687}","{""0.80"": 117.88970799999996, ""0.95"": 83.41167600000009, ""1.10"": 67.13774000000011}",True,REJECTED,"[""K_candidate exceeds 64""]"
NAND2_X1P4B_A9TL40__signal_A,NAND2_X1P4B_A9TL40,1P4,NAND2,A,B,True,True,"{""0.80"": 0.4302770000001601, ""0.95"": 0.5122099999999818, ""1.10"": 0.5585420000000454}","{""0.80"": 10.795164000000227, ""0.95"": 10.854267999999934, ""1.10"": 11.610419999999976}","{""0.80"": 50, ""0.95"": 33, ""1.10"": 24}",50,"{""0.80"": 1.5369710000001078, ""0.95"": 1.6071979999999826, ""1.10"": 1.8694060000000263}","{""0.80"": 175.984447, ""0.95"": 124.693076, ""1.10"": 101.853778}",True,GO,[]
NAND2_X1P4B_A9TL40__signal_B,NAND2_X1P4B_A9TL40,1P4,NAND2,B,A,True,True,"{""0.80"": 0.0033110000000533546, ""0.95"": 0.09621500000002925, ""1.10"": 0.13580899999999474}","{""0.80"": 3.3661579999999276, ""0.95"": 4.554257000000064, ""1.10"": 5.501142999999956}","{""0.80"": 159, ""0.95"": 78, ""1.10"": 50}",159,"{""0.80"": 0.49882899999988695, ""0.95"": 0.6897420000000807, ""1.10"": 0.7565820000000372}","{""0.80"": 173.85020299999985, ""0.95"": 123.57619599999995, ""1.10"": 100.4749569999999}",True,REJECTED,"[""K_candidate exceeds 64""]"
NAND2_X2M_A9TL40__signal_A,NAND2_X2M_A9TL40,2,NAND2,A,B,True,True,"{""0.80"": 0.6994039999999586, ""0.95"": 0.8197039999998879, ""1.10"": 0.7840109999999072}","{""0.80"": 17.576847000000043, ""0.95"": 20.620866999999976, ""1.10"": 20.053252000000043}","{""0.80"": 31, ""0.95"": 18, ""1.10"": 14}",31,"{""0.80"": 3.2677480000002106, ""0.95"": 3.603494000000069, ""1.10"": 3.4175140000000397}","{""0.80"": 225.2609160000001, ""0.95"": 162.66469600000002, ""1.10"": 131.1401280000001}",True,GO,[]
NAND2_X2M_A9TL40__signal_B,NAND2_X2M_A9TL40,2,NAND2,B,A,True,True,"{""0.80"": 0.04292899999995825, ""0.95"": 0.184409000000187, ""1.10"": 0.21503999999981716}","{""0.80"": 6.14357799999982, ""0.95"": 7.824621999999863, ""1.10"": 8.801730000000077}","{""0.80"": 88, ""0.95"": 46, ""1.10"": 31}",88,"{""0.80"": 0.9597849999998971, ""0.95"": 1.08564999999993, ""1.10"": 1.1935929999999644}","{""0.80"": 224.317061, ""0.95"": 160.5210720000001, ""1.10"": 128.53960900000004}",True,REJECTED,"[""K_candidate exceeds 64""]"
NAND2_X3M_A9TL40__signal_A,NAND2_X3M_A9TL40,3,NAND2,A,B,True,True,"{""0.80"": 1.3585599999998976, ""0.95"": 1.460192999999947, ""1.10"": 1.3695109999999886}","{""0.80"": 36.765141000000085, ""0.95"": 37.71113800000006, ""1.10"": 34.24658100000016}","{""0.80"": 15, ""0.95"": 10, ""1.10"": 8}",15,"{""0.80"": 7.09746100000018, ""0.95"": 6.38735099999991, ""1.10"": 5.2786790000001815}","{""0.80"": 330.6273220000003, ""0.95"": 238.20065400000004, ""1.10"": 194.59313700000016}",True,GO,[]
NAND2_X3M_A9TL40__signal_B,NAND2_X3M_A9TL40,3,NAND2,B,A,True,True,"{""0.80"": 0.22988699999996243, ""0.95"": 0.41088999999982434, ""1.10"": 0.46439299999997274}","{""0.80"": 12.835314999999923, ""0.95"": 15.565904000000103, ""1.10"": 17.52832499999994}","{""0.80"": 42, ""0.95"": 23, ""1.10"": 16}",42,"{""0.80"": 1.8651529999998502, ""0.95"": 2.436140000000023, ""1.10"": 2.7772219999999948}","{""0.80"": 329.398526, ""0.95"": 235.99583499999997, ""1.10"": 190.40416499999992}",True,GO,[]
