stage,candidate_id,medium_code,fine_code,K,vdd_v,control_value,D_rise_ps,D_fall_ps,output_rise_time_ps,output_fall_time_ps,output_logic_high,output_logic_low,unexpected_transition_count,valid,scenario
size_scan_driver_baseline,driver_only,8,0,0,1.1,,305.82145699999995,315.7270369999997,5.2793030000000245,5.172011000000101,1.0999977243,2.355100061e-06,0,True,scenarios/size_scan_driver_baseline__m08__k00__f00__v1p10__4c0b9c9ad75759b0eb94
size_scan_driver_baseline,driver_only,8,0,0,0.95,,403.99161599999996,429.05143299999986,6.398570999999878,6.334287999999908,0.9499930402,1.482465438e-06,0,True,scenarios/size_scan_driver_baseline__m08__k00__f00__v0p95__f26e4115b51addca5538
size_scan_driver_baseline,driver_only,8,0,0,0.8,,615.682627,678.315678,9.325644,9.481569999999603,0.7999921009,1.019045905e-06,0,True,scenarios/size_scan_driver_baseline__m08__k00__f00__v0p80__7bc6d348f20a66da76e6
size_scan_single_load,NAND2_X0P7B_A9TL40__signal_A,8,1,1,1.1,0,308.01561499999997,316.85522099999963,8.39985599999991,7.4072250000000235,1.1000029208,1.13561251e-06,0,True,scenarios/size_scan_single_load__m08__k01__f01__v1p10__ce211ff8cb783949df91
size_scan_single_load,NAND2_X0P7B_A9TL40__signal_A,8,1,1,1.1,1,308.25952899999993,317.8339799999994,11.406444999999843,8.293234000000075,1.0999930837,1.387636215e-06,0,True,scenarios/size_scan_single_load__m08__k01__f01__v1p10__1536221cc186fa9fac4c
size_scan_single_load,NAND2_X0P7B_A9TL40__signal_A,8,1,1,0.95,0,406.6718079999999,431.52379399999967,10.21690799999999,9.004058000000283,0.9500060125,1.352366871e-06,0,True,scenarios/size_scan_single_load__m08__k01__f01__v0p95__3bce3caa92e22454d8be
size_scan_single_load,NAND2_X0P7B_A9TL40__signal_A,8,1,1,0.95,1,406.898856,432.09713099999937,14.144604000000115,10.320322000000091,0.9500028037,2.643229978e-06,0,True,scenarios/size_scan_single_load__m08__k01__f01__v0p95__586752f38f3a05d79797
size_scan_single_load,NAND2_X0P7B_A9TL40__signal_A,8,1,1,0.8,0,619.1256139999999,679.8155449999994,15.081302999999945,13.892132000000316,0.8000076427,1.025558528e-06,0,True,scenarios/size_scan_single_load__m08__k01__f01__v0p80__da443983ef73e6876a6e
size_scan_single_load,NAND2_X0P7B_A9TL40__signal_A,8,1,1,0.8,1,619.3817650000001,680.9217229999996,19.267547999999827,14.483793999999628,0.7999983034,1.619205314e-06,0,True,scenarios/size_scan_single_load__m08__k01__f01__v0p80__806773a4d6cf313b855c
size_scan_single_load,NAND2_X0P7B_A9TL40__signal_B,8,1,1,1.1,0,308.28458700000004,317.45739099999935,9.400317999999874,7.435772000000405,1.0999856033,2.227483944e-06,0,True,scenarios/size_scan_single_load__m08__k01__f01__v1p10__987fd839fe9c4b679ec6
