stage,candidate_id,medium_code,fine_code,K,vdd_v,control_value,D_rise_ps,D_fall_ps,output_rise_time_ps,output_fall_time_ps,output_logic_high,output_logic_low,unexpected_transition_count,valid,scenario
winner_coupled_medium,NAND2_X6M_A9TL40__signal_A,0,7,7,1.1,,203.249718,119.87428399999932,335.915052,189.2411040000006,1.0999928647,2.126896268e-06,0,True,scenarios/winner_coupled_medium__m00__k07__f07__v1p10__02bd4444787360f4bdea
winner_coupled_medium,NAND2_X6M_A9TL40__signal_A,7,7,7,1.1,,434.634485,358.7821669999994,334.66498,189.9455890000004,1.0999956541,4.547336014e-06,0,True,scenarios/winner_coupled_medium__m07__k07__f07__v1p10__b1a8ae6b27997c55f09b
winner_coupled_medium,NAND2_X6M_A9TL40__signal_A,15,7,7,1.1,,701.218302,631.3563449999995,334.7108719999998,189.85951600000016,1.0999941004,7.274343022e-06,0,True,scenarios/winner_coupled_medium__m15__k07__f07__v1p10__400ba4fc2eb772f79b79
winner_coupled_medium,NAND2_X6M_A9TL40__signal_A,0,7,7,0.95,,251.09361200000006,146.8100719999994,410.6818530000001,226.85250799999983,0.9499871759,1.590390171e-06,0,True,scenarios/winner_coupled_medium__m00__k07__f07__v0p95__cd384a3595b45dc7b8a0
winner_coupled_medium,NAND2_X6M_A9TL40__signal_A,7,7,7,0.95,,557.559972,473.7512109999999,411.94348000000014,227.16922,0.949990806,1.739949585e-06,0,True,scenarios/winner_coupled_medium__m07__k07__f07__v0p95__355a655b9d638863c5af
winner_coupled_medium,NAND2_X6M_A9TL40__signal_A,15,7,7,0.95,,910.2113960000001,844.6973979999995,410.5081069999999,231.0580060000001,0.9486094228,6.622322362e-07,0,True,scenarios/winner_coupled_medium__m15__k07__f07__v0p95__2c921589bb5ea0720862
winner_coupled_medium,NAND2_X6M_A9TL40__signal_A,0,7,7,0.8,,341.392596,203.2372509999999,573.57573,307.66854499999965,0.7999399938,1.172382694e-06,0,True,scenarios/winner_coupled_medium__m00__k07__f07__v0p80__d452eb42dad18dd70483
winner_coupled_medium,NAND2_X6M_A9TL40__signal_A,7,7,7,0.8,,808.828675,722.0281549999996,572.2728420000001,308.4209129999998,0.795913193,3.279639633e-06,0,True,scenarios/winner_coupled_medium__m07__k07__f07__v0p80__9944e3813a742f0aed8d
winner_coupled_medium,NAND2_X6M_A9TL40__signal_A,15,7,7,0.8,,1345.1699899999999,1307.0163069999994,572.5921599999997,308.6564120000003,0.530229215,0.1149964895,0,False,scenarios/winner_coupled_medium__m15__k07__f07__v0p80__5058364278d87fb0335f
winner_coupled_medium,NAND2_X6M_A9TL40__signal_A,1,0,7,1.1,,170.87607,125.63750899999971,172.5838270000001,110.07190999999942,1.1003966304,-9.198550713e-06,0,True,scenarios/winner_coupled_medium__m01__k07__f00__v1p10__289758c54bc0b6a4cc2b
winner_coupled_medium,NAND2_X6M_A9TL40__signal_A,8,0,7,1.1,,402.884352,364.596828,173.45238999999995,110.33935000000047,1.1005107827,-8.648260144e-06,0,True,scenarios/winner_coupled_medium__m08__k07__f00__v1p10__8feaa2a287bbfb89052e
winner_coupled_medium,NAND2_X6M_A9TL40__signal_A,16,0,7,1.1,,645.6916249999999,617.0750389999998,172.96414999999988,120.19296900000023,1.100706187,-4.109564803e-06,0,True,scenarios/winner_coupled_medium__m16__k07__f00__v1p10__b996f35a927b536b9a0d
winner_coupled_medium,NAND2_X6M_A9TL40__signal_A,1,0,7,0.95,,218.27125500000002,162.87367899999998,215.7929420000001,133.06024300000024,0.9505461765,-7.963797621e-06,0,True,scenarios/winner_coupled_medium__m01__k07__f00__v0p95__9d7ce1464dbc8c1e2b90
winner_coupled_medium,NAND2_X6M_A9TL40__signal_A,8,0,7,0.95,,525.119262,487.50493800000004,217.17993399999995,134.34767599999947,0.950792574,-8.793335674e-06,0,True,scenarios/winner_coupled_medium__m08__k07__f00__v0p95__ec8f4eb2a9ff20a631d2
winner_coupled_medium,NAND2_X6M_A9TL40__signal_A,16,0,7,0.95,,846.416967,830.6197439999996,217.3692499999998,137.81380699999974,0.9515422388,-9.06496059e-06,0,True,scenarios/winner_coupled_medium__m16__k07__f00__v0p95__fa106fbe5f61f4850cfd
winner_coupled_medium,NAND2_X6M_A9TL40__signal_A,1,0,7,0.8,,315.449278,242.75358999999946,304.5859449999999,181.0131420000006,0.8009425962,-8.328681452e-06,0,True,scenarios/winner_coupled_medium__m01__k07__f00__v0p80__d074569e920ad5732a9d
winner_coupled_medium,NAND2_X6M_A9TL40__signal_A,8,0,7,0.8,,782.844833,756.8310219999996,306.7035160000002,184.65442000000002,0.8023084435,-8.201687618e-06,0,True,scenarios/winner_coupled_medium__m08__k07__f00__v0p80__df20ee56528ff030a634
winner_coupled_medium,NAND2_X6M_A9TL40__signal_A,16,0,7,0.8,,1273.816945,1296.5268499999997,307.39761100000004,184.4697049999993,0.7696059105,0.01319558032,0,True,scenarios/winner_coupled_medium__m16__k07__f00__v0p80__f90a56766f98ce0bf7f9
winner_coupled_medium_step,NAND2_X6M_A9TL40__signal_A,0,0,7,1.1,,137.76649599999996,91.58611999999935,172.51895300000004,110.07099499999939,1.1003831514,-9.106568896e-06,0,True,scenarios/winner_coupled_medium_step__m00__k07__f00__v1p10__29867f9d478cbe3eebe3
