stage,candidate_id,medium_code,fine_code,K,vdd_v,control_value,D_rise_ps,D_fall_ps,output_rise_time_ps,output_fall_time_ps,output_logic_high,output_logic_low,unexpected_transition_count,valid,scenario
winner_full_bank_monotonicity,NAND2_X6M_A9TL40__signal_A,7,0,7,0.95,,480.59504199999986,441.7561459999993,218.81644299999996,137.69413499999968,0.9507601961,-9.745734155e-06,0,True,scenarios/winner_full_bank_monotonicity__m07__k07__f00__v0p95__1c85742b3b1a2b6144e2
winner_full_bank_monotonicity,NAND2_X6M_A9TL40__signal_A,7,1,7,0.95,,488.69024900000005,445.93805999999944,244.762526,147.52913900000036,0.9506740611,-6.438071406e-06,0,True,scenarios/winner_full_bank_monotonicity__m07__k07__f01__v0p95__d4707a6fdb109f6ef3b3
winner_full_bank_monotonicity,NAND2_X6M_A9TL40__signal_A,7,2,7,0.95,,498.011989,450.56343099999964,273.125584,161.21438200000006,0.9506063533,-5.611877895e-06,0,True,scenarios/winner_full_bank_monotonicity__m07__k07__f02__v0p95__fc5aa98449a577ebf58a
winner_full_bank_monotonicity,NAND2_X6M_A9TL40__signal_A,7,3,7,0.95,,508.76060799999993,454.47076699999985,298.63356099999993,174.70113899999978,0.9505125523,-3.129793629e-06,0,True,scenarios/winner_full_bank_monotonicity__m07__k07__f03__v0p95__f4d1bbbfae706b834dc3
winner_full_bank_monotonicity,NAND2_X6M_A9TL40__signal_A,7,4,7,0.95,,520.3399830000001,458.77404400000006,328.02998400000007,187.6572000000005,0.9504139114,-2.803574013e-06,0,True,scenarios/winner_full_bank_monotonicity__m07__k07__f04__v0p95__d7d01730ea094731e2d7
winner_full_bank_monotonicity,NAND2_X6M_A9TL40__signal_A,7,5,7,0.95,,532.457744,463.9970239999994,355.95367599999986,200.75395399999954,0.9502987709,-9.24654465e-08,0,True,scenarios/winner_full_bank_monotonicity__m07__k07__f05__v0p95__69303cbd44c830e19f14
winner_full_bank_monotonicity,NAND2_X6M_A9TL40__signal_A,7,6,7,0.95,,544.9492710000001,469.27494899999976,384.390868,214.4846680000003,0.9501583382,-1.457065691e-06,0,True,scenarios/winner_full_bank_monotonicity__m07__k07__f06__v0p95__a7ac3867b9f440d1188a
winner_full_bank_monotonicity,NAND2_X6M_A9TL40__signal_A,7,7,7,0.95,,557.559972,473.7512109999999,411.94348000000014,227.16922,0.949990806,1.739949585e-06,0,True,scenarios/winner_full_bank_monotonicity__m07__k07__f07__v0p95__f405245339a4cc733f0e
winner_full_bank_monotonicity,NAND2_X6M_A9TL40__signal_A,7,0,7,1.1,,369.3775309999999,330.167916,174.69096399999987,113.87640599999978,1.1005013469,-9.167039825e-06,0,True,scenarios/winner_full_bank_monotonicity__m07__k07__f00__v1p10__790659e00f88670a284a
winner_full_bank_monotonicity,NAND2_X6M_A9TL40__signal_A,7,1,7,1.1,,376.8860400000001,334.36054199999944,197.52631200000002,121.91365499999989,1.1004357292,-7.063299812e-06,0,True,scenarios/winner_full_bank_monotonicity__m07__k07__f01__v1p10__3c74f20f8e3132903041
winner_full_bank_monotonicity,NAND2_X6M_A9TL40__signal_A,7,2,7,1.1,,384.86815900000005,338.5480699999993,219.22785099999996,133.210747,1.1003836572,-5.274773223e-06,0,True,scenarios/winner_full_bank_monotonicity__m07__k07__f02__v1p10__39f2cef26629e9df6905
winner_full_bank_monotonicity,NAND2_X6M_A9TL40__signal_A,7,4,7,1.1,,403.8233630000001,347.15429199999977,266.2735959999999,155.71146900000005,1.1002475239,-1.82460129e-06,0,True,scenarios/winner_full_bank_monotonicity__m07__k07__f04__v1p10__14e95033835d1cad67d0
winner_full_bank_monotonicity,NAND2_X6M_A9TL40__signal_A,7,5,7,1.1,,414.35599299999996,351.57851299999953,288.967344,167.1283969999999,1.1001696449,-2.023598171e-07,0,True,scenarios/winner_full_bank_monotonicity__m07__k07__f05__v1p10__5527b08144ba0f5c2310
winner_full_bank_monotonicity,NAND2_X6M_A9TL40__signal_A,7,6,7,1.1,,424.4116220000001,355.01596199999994,311.8192270000001,179.07076900000007,1.1000878217,7.948834031e-07,0,True,scenarios/winner_full_bank_monotonicity__m07__k07__f06__v1p10__546f3a2a944226d6ca59
winner_full_bank_monotonicity,NAND2_X6M_A9TL40__signal_A,7,7,7,1.1,,434.634485,358.7821669999994,334.66498,189.9455890000004,1.0999956541,4.547336014e-06,0,True,scenarios/winner_full_bank_monotonicity__m07__k07__f07__v1p10__5ebc4c60f04ca2341d4c
winner_full_bank_monotonicity,NAND2_X6M_A9TL40__signal_A,7,0,7,0.8,,716.202307,683.4978169999994,307.40493200000014,184.5127910000002,0.8019457921,-5.686165759e-06,0,True,scenarios/winner_full_bank_monotonicity__m07__k07__f00__v0p80__0a892e583974e54f6e3f
winner_full_bank_monotonicity,NAND2_X6M_A9TL40__signal_A,7,1,7,0.8,,724.6932209999999,689.3657269999994,345.7707159999999,200.36567600000063,0.8018891946,-7.396675154e-06,0,True,scenarios/winner_full_bank_monotonicity__m07__k07__f01__v0p80__9d020659b5cc13964534
winner_full_bank_monotonicity,NAND2_X6M_A9TL40__signal_A,7,2,7,0.8,,734.203171,693.8228919999997,382.35778200000004,218.8074479999997,0.801720486,-5.004808047e-06,0,True,scenarios/winner_full_bank_monotonicity__m07__k07__f02__v0p80__c4ebe45f598ea62b06bb
winner_full_bank_monotonicity,NAND2_X6M_A9TL40__signal_A,7,4,7,0.8,,759.113356,702.865506,457.5779080000001,256.9367469999995,0.8009828483,-2.438969694e-06,0,True,scenarios/winner_full_bank_monotonicity__m07__k07__f04__v0p80__974eaf39723cdf7c68be
winner_full_bank_monotonicity,NAND2_X6M_A9TL40__signal_A,7,5,7,0.8,,774.624214,707.5060079999997,494.54340999999994,272.6656359999999,0.7996590671,-1.727709675e-06,0,True,scenarios/winner_full_bank_monotonicity__m07__k07__f05__v0p80__cff2a2439e418e7d920a
winner_full_bank_monotonicity,NAND2_X6M_A9TL40__signal_A,7,6,7,0.8,,791.328207,716.3120839999999,534.841771,291.16153500000036,0.7979164117,-3.835331443e-08,0,True,scenarios/winner_full_bank_monotonicity__m07__k07__f06__v0p80__bcc2ce50422c133bacd3
winner_full_bank_monotonicity,NAND2_X6M_A9TL40__signal_A,7,7,7,0.8,,808.828675,722.0281549999996,572.2728420000001,308.4209129999998,0.795913193,3.279639633e-06,0,True,scenarios/winner_full_bank_monotonicity__m07__k07__f07__v0p80__6e7512f3ece3f3f2829d
