vdd_v,step_index,code,selected_tap,Q,D_code_ps,W_S_int_ps,is_lock,headroom_verified
0.8,8,0,10,1,360.32462400000014,784.589699,0,0
0.8,9,1,12,1,406.0403710000001,784.5427280000001,0,0
0.8,10,2,14,1,452.68572399999994,784.5569340000002,0,0
0.8,11,3,16,1,498.44359399999985,784.7679680000001,0,0
0.8,12,4,18,1,546.185576,784.5251939999998,0,0
0.8,13,5,36,0,928.501621,784.68355,1,0
0.8,14,6,37,0,954.5016080000003,784.7353870000001,0,0
0.8,15,7,38,0,974.7578959999998,784.869489,0,1
0.85,16,0,10,1,304.6455680000002,593.3960579999999,0,0
0.85,17,1,12,1,343.96858599999996,593.3917180000001,0,0
0.85,18,2,14,1,383.68033199999996,593.4323159999999,0,0
0.85,19,3,16,1,423.01723500000026,593.435862,0,0
0.85,20,4,18,1,463.5311520000002,593.3857159999999,0,0
0.85,21,5,36,0,790.935553,593.5338150000002,1,0
0.85,22,6,37,0,813.1156599999999,593.5625670000002,0,0
0.85,23,7,38,0,830.7767849999999,593.4780420000002,0,1
0.9,24,0,10,1,263.931475,468.16691800000007,0,0
0.9,25,1,12,1,298.241012,468.1456869999999,0,0
0.9,26,2,14,1,333.05891600000007,468.03860900000006,0,0
0.9,27,3,16,1,367.6576179999998,468.13215600000007,0,0
0.9,28,4,18,1,403.04859199999976,468.111486,0,0
0.9,29,5,36,0,690.4239609999997,468.22336499999983,1,0
0.9,30,6,37,0,709.070882,468.11788299999995,0,0
0.9,31,7,38,0,724.476935,468.210108,0,1
0.95,32,0,10,1,233.344154,381.5840120000002,0,0
0.95,33,1,12,1,264.0591040000001,381.561517,0,0
0.95,34,2,14,1,295.14413400000007,381.5849650000001,0,0
0.95,35,3,16,1,325.7985190000001,381.584745,0,0
0.95,36,4,18,1,357.484954,381.66493400000013,0,0
0.95,37,5,36,0,613.327763,381.61210399999993,1,0
0.95,38,6,37,0,630.378004,381.6298060000001,0,0
0.95,39,7,38,0,644.2449080000001,381.62771100000015,0,1
1.0,40,0,10,1,209.49024999999995,319.5725909999999,0,0
1.0,41,1,12,1,237.26749899999982,319.59573999999986,0,0
1.0,42,2,14,1,265.36909399999996,319.60378999999995,0,0
1.0,43,3,16,1,293.2096369999999,319.6286889999999,0,0
1.0,44,4,18,1,321.69492199999985,319.62933300000003,0,0
1.0,45,5,36,0,553.4581969999999,319.60790899999995,1,0
1.0,46,6,37,0,568.6859439999997,319.64333899999997,0,0
1.0,47,7,38,0,581.3645509999999,319.6052309999999,0,1
1.05,48,0,10,1,190.73977299999996,274.1146729999999,0,0
1.05,49,1,12,1,216.2386199999999,274.0915609999999,0,0
1.05,50,2,14,1,241.91358899999997,274.13442599999985,0,0
1.05,51,3,16,1,267.35553499999986,274.0082339999999,0,0
1.05,52,4,18,0,293.48381500000005,274.1463199999999,1,0
1.05,53,5,36,0,505.8094660000001,274.12463499999996,0,0
1.05,54,6,37,0,519.9536289999998,274.1331509999999,0,1
1.1,55,0,10,1,175.59171100000012,239.77917400000018,0,0
1.1,56,1,12,1,199.0542510000001,239.81660500000018,0,0
1.1,57,2,14,1,222.94361300000006,239.83435900000003,0,0
1.1,58,3,16,1,246.46906700000005,239.81468900000007,0,0
1.1,59,4,18,0,270.60268300000007,239.79183300000017,1,0
1.1,60,5,36,0,466.98019100000016,239.8078730000001,0,0
1.1,61,6,37,0,479.95581,239.80148600000018,0,1
