scenario_id,baseline_vdd_v,margin_level,M_det,F_det,DeltaV_mv,Vdroop_v,t_fall_ps,t_hold_ps,t_rise_ps,phase_ps,actual_min_vdd_v,t_xor_rise_s,t_xor_fall_s,t_ck_rise_s,t_ck_rise_2_s,W_xor_ps,D_ref_ps,R_ps,q_sample_1_v,q_sample_2_v,vdd_at_q_sample_1_v,vdd_at_q_sample_2_v,q_sample_1_ratio,q_sample_2_ratio,q_final,q_state,active_ck_edge_count,recovery_max_ratio,valid,reason,completion_status,scenario_path,deck_sha256,source_hash,search_stage,point_label,representative_phase_ps,anomaly
t0__b0p95__L1__dv60p0__h1p0__pm450p0__82285a013265fffcfa8a,0.95,L1,4,9,60.0,0.89,1.0,1.0,1.0,-450.0,0.89,2.022168748e-09,2.403664212e-09,2.405315643e-09,5.440874438e-09,381.4954640000002,383.1468950000002,-1.6514310000000023,1.116329366e-07,5.690885771e-09,0.95,0.95,1.1750835431578947e-07,5.990406074736843e-09,0,stable_low,1,2.0728651483146065e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r132/scenarios/t0__b0p95__L1__dv60p0__h1p0__pm450p0__82285a013265fffcfa8a,dc53c0cb9f7136eaaaafe6298df27ee326e4d051da4a4f35c814f74f20d7e677,8990a002c0a888cec518799b3c75029b0536557fb43097a8ebf23117e094f1b3,coarse,last_q0_control,-450.0,
t0__b0p95__L1__dv60p0__h10p0__pm450p0__3cc57d70ff97a6ecc4f0,0.95,L1,4,9,60.0,0.89,1.0,10.0,1.0,-450.0,0.89,2.022085936e-09,2.403490258e-09,2.405074652e-09,5.441411957e-09,381.40432200000004,382.98871600000007,-1.5843940000000316,-1.326985549e-07,2.435812571e-07,0.95,0.95,-1.3968268936842106e-07,2.564013232631579e-07,0,stable_low,1,2.090223735955056e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r133/scenarios/t0__b0p95__L1__dv60p0__h10p0__pm450p0__3cc57d70ff97a6ecc4f0,84391ea9202ecc2777a9a5b3941af36254136a606fef102a1927f9864cb9e702,8990a002c0a888cec518799b3c75029b0536557fb43097a8ebf23117e094f1b3,coarse,last_q0_control,-450.0,
t0__b0p95__L1__dv60p0__h100p0__pm450p0__f03111c503e0be8c2fab,0.95,L1,4,9,60.0,0.89,1.0,100.0,1.0,-450.0,0.89,2.022303374e-09,2.403855805e-09,2.405361638e-09,5.441082293e-09,381.5524309999998,383.058264,-1.505833000000223,1.65773305e-07,-8.107753246e-08,0.95,0.95,1.744982157894737e-07,-8.534477101052632e-08,0,stable_low,1,2.378663147191011e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r134/scenarios/t0__b0p95__L1__dv60p0__h100p0__pm450p0__f03111c503e0be8c2fab,11badb1c0a05a0745edfffe2bfb2e3cfa1c7054553cce68ada143c654d89d1e8,8990a002c0a888cec518799b3c75029b0536557fb43097a8ebf23117e094f1b3,coarse,last_q0_control,-450.0,
t0__b0p95__L1__dv60p0__h1000p0__pm450p0__706af3c25cab3e01a331,0.95,L1,4,9,60.0,0.89,1.0,1000.0,1.0,-450.0,0.89,2.093284989e-09,2.497668941e-09,2.476376329e-09,5.441064906e-09,404.38395200000014,383.09133999999995,21.29261200000019,-1.636606048e-07,5.035535625e-09,0.95,0.95,-1.7227432084210527e-07,5.300563815789474e-09,0,stable_low,1,2.236396241573034e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r135/scenarios/t0__b0p95__L1__dv60p0__h1000p0__pm450p0__706af3c25cab3e01a331,c82e82d62e44d9a1d6894614e8c200767dffbc64409bbcc6dec96cecb87a5e4c,8990a002c0a888cec518799b3c75029b0536557fb43097a8ebf23117e094f1b3,coarse,last_q0_control,-450.0,
t0__b0p95__L1__dv60p0__h3000p0__pm450p0__d08c27cd5c9390e0faaa,0.95,L1,4,9,60.0,0.89,1.0,3000.0,1.0,-450.0,0.89,2.103495473e-09,2.592134874e-09,2.537831993e-09,5.441022375e-09,488.639401,434.3365200000002,54.30288099999984,-2.435948511e-07,3.710806837e-07,0.89,0.89,-2.7370207988764044e-07,4.1694458842696627e-07,0,stable_low,1,2.270402880898876e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r136/scenarios/t0__b0p95__L1__dv60p0__h3000p0__pm450p0__d08c27cd5c9390e0faaa,98b02cdff832c9f76810653a1da4d81f9e9bbebfd1cdd99097493211e3613ce3,8990a002c0a888cec518799b3c75029b0536557fb43097a8ebf23117e094f1b3,coarse,last_q0_control,-450.0,
t0__b0p95__L1__dv70p0__h1p0__pm450p0__0ea9843cae922020d3ff,0.95,L1,4,9,70.0,0.88,1.0,1.0,1.0,-450.0,0.88,2.022353774e-09,2.403877655e-09,2.405453071e-09,5.440874596e-09,381.5238810000002,383.0992970000002,-1.5754160000000184,1.609699595e-07,-8.210783004e-08,0.95,0.95,1.6944206263157895e-07,-8.642929477894736e-08,0,stable_low,1,2.09626295e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r137/scenarios/t0__b0p95__L1__dv70p0__h1p0__pm450p0__0ea9843cae922020d3ff,f5cced861d7122b6ab181b49907850a102d09b466b5ba1e7140fd396dfc96801,8990a002c0a888cec518799b3c75029b0536557fb43097a8ebf23117e094f1b3,coarse,first_q1_anchor,-450.0,
t0__b0p95__L1__dv70p0__h10p0__pm450p0__6f989d1d10a209618e3e,0.95,L1,4,9,70.0,0.88,1.0,10.0,1.0,-450.0,0.88,2.02260003e-09,2.403970132e-09,2.405766831e-09,5.441474459e-09,381.3701020000002,383.16680099999996,-1.7966989999997622,-1.084603919e-07,8.120196768e-08,0.95,0.95,-1.1416883357894737e-07,8.547575545263158e-08,0,stable_low,1,2.0798494386363635e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r138/scenarios/t0__b0p95__L1__dv70p0__h10p0__pm450p0__6f989d1d10a209618e3e,96c58b8ea52ea5ffe7d586ed03a5ecc8aabdd203216c5bdc67fd3bd544c75fcb,8990a002c0a888cec518799b3c75029b0536557fb43097a8ebf23117e094f1b3,coarse,first_q1_anchor,-450.0,
t0__b0p95__L1__dv70p0__h100p0__pm450p0__1f7fbe0d924bd6eec40e,0.95,L1,4,9,70.0,0.88,1.0,100.0,1.0,-450.0,0.88,2.022410811e-09,2.404097986e-09,2.405513435e-09,5.44148198e-09,381.6871750000001,383.10262399999993,-1.4154489999998532,-1.070649391e-07,8.24103519e-08,0.95,0.95,-1.1269993589473685e-07,8.674773884210527e-08,0,stable_low,1,2.0536937204545454e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r139/scenarios/t0__b0p95__L1__dv70p0__h100p0__pm450p0__1f7fbe0d924bd6eec40e,edd8f3b9cf49b458a1ad328e03e7eae5054d36a543ac05e9f52611c9fc8c93a6,8990a002c0a888cec518799b3c75029b0536557fb43097a8ebf23117e094f1b3,coarse,first_q1_anchor,-450.0,
t0__b0p95__L1__dv70p0__h1000p0__pm450p0__9cb3f2969b289e5132b6,0.95,L1,4,9,70.0,0.88,1.0,1000.0,1.0,-450.0,0.88,2.105461312e-09,2.513566843e-09,2.488458423e-09,5.441065006e-09,408.10553100000004,382.9971109999999,25.108420000000137,-1.732180235e-07,-4.725180392e-10,0.95,0.95,-1.8233476157894737e-07,-4.973874096842106e-10,0,stable_low,1,2.256273259090909e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r140/scenarios/t0__b0p95__L1__dv70p0__h1000p0__pm450p0__9cb3f2969b289e5132b6,83d09dacfe9cbbeac5960325f8fd915202cd6e02c26a0b20b5522828824bfb50,8990a002c0a888cec518799b3c75029b0536557fb43097a8ebf23117e094f1b3,coarse,first_q1_anchor,-450.0,
t0__b0p95__L1__dv70p0__h3000p0__pm450p0__62c3f9dcb946f15b069d,0.95,L1,4,9,70.0,0.88,1.0,3000.0,1.0,-450.0,0.88,2.1198399e-09,2.632176259e-09,2.564735329e-09,5.44084512e-09,512.3363590000001,444.8954289999999,67.44093000000021,0.8799996923,0.8799997028,0.88,0.88,0.9999996503409091,0.9999996622727272,1,stable_high,1,2.087087194318182e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r141/scenarios/t0__b0p95__L1__dv70p0__h3000p0__pm450p0__62c3f9dcb946f15b069d,6e8edcfc59b3ec6fbb09a61e1a83c7f9fc190f8892f4b2028ca457b929b4fac7,8990a002c0a888cec518799b3c75029b0536557fb43097a8ebf23117e094f1b3,coarse,first_q1_anchor,-450.0,
