baseline_vdd_v,margin_level,M_det,F_det,point_label,Vdroop_v,DeltaV_mv,representative_phase_ps,minimum_detectable_hold_ps,minimum_detectable_total_pulse_ps,negative_control_pass,negative_control_max_tested_hold_ps,boundary_interpretation,ambiguous_hold_ps,clean_q1_bracket_ps
0.95,L1,4,9,last_q0_control,0.89,60.0,-450.0,,,True,3000.0,long_duration_stable_Q0_negative_control,,
0.95,L1,4,9,first_q1_anchor,0.88,70.0,-450.0,1360.0,1362.0,,,clean_Q0_to_Q1_bracket,,
0.95,L1,4,9,first_q1_minus_10mV,0.87,80.0,-450.0,1344.0,1346.0,,,clean_Q0_to_Q1_bracket,,
0.95,L1,4,9,first_q1_minus_20mV,0.86,90.0,-450.0,1296.0,1298.0,,,clean_Q0_to_Q1_bracket,,
0.95,L2,5,6,last_q0_control,0.87,80.0,-450.0,,,True,3000.0,long_duration_stable_Q0_negative_control,,
0.95,L2,5,6,first_q1_anchor,0.86,90.0,-450.0,1454.0,1456.0,,,clean_Q0_to_Q1_bracket,,
0.95,L2,5,6,first_q1_minus_10mV,0.85,100.0,-450.0,1438.0,1440.0,,,clean_Q0_to_Q1_bracket,,
0.95,L2,5,6,first_q1_minus_20mV,0.84,110.0,-450.0,1360.0,1362.0,,,clean_Q0_to_Q1_bracket,,
0.95,L3,5,9,last_q0_control,0.84,110.0,-450.0,,,True,3000.0,long_duration_stable_Q0_negative_control,,
0.95,L3,5,9,first_q1_anchor,0.83,120.0,-450.0,2000.0,2002.0,,,Q0_to_recovery_multicross_ambiguous_to_clean_Q1,[1750.0],"{'q0_ps': 1500.0, 'q1_ps': 2000.0}"
0.95,L3,5,9,first_q1_minus_10mV,0.82,130.0,-450.0,1562.0,1564.0,,,clean_Q0_to_Q1_bracket,,
0.95,L3,5,9,first_q1_minus_20mV,0.81,140.0,-450.0,1578.0,1580.0,,,clean_Q0_to_Q1_bracket,,
1.1,L1,2,10,last_q0_control,1.02,80.0,-500.0,,,True,3000.0,long_duration_stable_Q0_negative_control,,
1.1,L1,2,10,first_q1_anchor,1.01,90.0,-500.0,1500.0,1502.0,,,Q0_to_recovery_multicross_ambiguous_to_clean_Q1,[1250.0],"{'q0_ps': 1000.0, 'q1_ps': 1500.0}"
1.1,L1,2,10,first_q1_minus_10mV,1.0,100.0,-500.0,1062.0,1064.0,,,clean_Q0_to_Q1_bracket,,
1.1,L1,2,10,first_q1_minus_20mV,0.99,110.0,-500.0,1031.0,1033.0,,,clean_Q0_to_Q1_bracket,,
1.1,L2,3,8,last_q0_control,0.97,130.0,-500.0,,,True,3000.0,long_duration_stable_Q0_negative_control,,
1.1,L2,3,8,first_q1_anchor,0.96,140.0,-500.0,1188.0,1190.0,,,clean_Q0_to_Q1_bracket,,
1.1,L2,3,8,first_q1_minus_10mV,0.95,150.0,-500.0,1188.0,1190.0,,,clean_Q0_to_Q1_bracket,,
1.1,L2,3,8,first_q1_minus_20mV,0.94,160.0,-500.0,1172.0,1174.0,,,clean_Q0_to_Q1_bracket,,
1.1,L3,3,10,last_q0_control,0.94,160.0,-500.0,,,True,3000.0,long_duration_stable_Q0_negative_control,,
1.1,L3,3,10,first_q1_anchor,0.93,170.0,-500.0,1234.0,1236.0,,,clean_Q0_to_Q1_bracket,,
1.1,L3,3,10,first_q1_minus_10mV,0.92,180.0,-500.0,1250.0,1252.0,,,clean_Q0_to_Q1_bracket,,
1.1,L3,3,10,first_q1_minus_20mV,0.91,190.0,-500.0,1250.0,1252.0,,,clean_Q0_to_Q1_bracket,,
