scenario_key,scenario_family,baseline_vdd_v,margin_level,Vdroop_v,total_pulse_ps,is_target_threat,probe_period_ps,guaranteed_clean_measure_ps,clean_coverage_fraction,stable_blind_measure_ps,stable_blind_coverage_fraction,recovery_ambiguous_measure_ps,recovery_ambiguous_coverage_fraction,other_invalid_ambiguous_measure_ps,other_invalid_ambiguous_coverage_fraction,boundary_uncertainty_measure_ps,boundary_uncertainty_coverage_fraction,non_guarantee_measure_ps,non_guarantee_coverage_fraction,maximum_non_guarantee_window_ps,worst_attack_phase_ps,full_phase_guaranteed,recovery_ambiguous_event_count,other_invalid_ambiguous_event_count
t0_5a_0p95_l2_boundary,L2_BOUNDARY_MINIMUM,0.95,L2,0.86,1456.0,False,25.0,25.0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,,True,0,0
t0_5a_0p95_l2_boundary,L2_BOUNDARY_MINIMUM,0.95,L2,0.86,1456.0,False,50.0,50.0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,,True,0,0
t0_5a_0p95_l2_boundary,L2_BOUNDARY_MINIMUM,0.95,L2,0.86,1456.0,False,75.0,75.0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,,True,0,0
t0_5a_0p95_l2_boundary,L2_BOUNDARY_MINIMUM,0.95,L2,0.86,1456.0,False,100.0,100.0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,,True,0,0
t0_5a_0p95_l2_boundary,L2_BOUNDARY_MINIMUM,0.95,L2,0.86,1456.0,False,125.0,125.0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,,True,0,0
t0_5a_0p95_l2_boundary,L2_BOUNDARY_MINIMUM,0.95,L2,0.86,1456.0,False,150.0,150.0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,,True,0,0
t0_5a_0p95_l2_boundary,L2_BOUNDARY_MINIMUM,0.95,L2,0.86,1456.0,False,175.0,175.0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,,True,0,0
t0_5a_0p95_l2_boundary,L2_BOUNDARY_MINIMUM,0.95,L2,0.86,1456.0,False,200.0,200.0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,,True,0,0
t0_5a_0p95_l2_boundary,L2_BOUNDARY_MINIMUM,0.95,L2,0.86,1456.0,False,225.0,225.0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,,True,0,0
t0_5a_0p95_l2_boundary,L2_BOUNDARY_MINIMUM,0.95,L2,0.86,1456.0,False,250.0,250.0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,,True,0,0
t0_5a_0p95_l2_boundary,L2_BOUNDARY_MINIMUM,0.95,L2,0.86,1456.0,False,275.0,275.0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,,True,0,0
t0_5a_0p95_l2_boundary,L2_BOUNDARY_MINIMUM,0.95,L2,0.86,1456.0,False,300.0,300.0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,,True,0,0
