scenario_id,baseline_vdd_v,margin_level,M_det,F_det,DeltaV_mv,Vdroop_v,t_fall_ps,t_hold_ps,t_rise_ps,phase_ps,actual_min_vdd_v,t_xor_rise_s,t_xor_fall_s,t_ck_rise_s,t_ck_rise_2_s,W_xor_ps,D_ref_ps,R_ps,q_sample_1_v,q_sample_2_v,q_final,q_state,active_ck_edge_count,recovery_max_ratio,valid,reason,completion_status,scenario_path,deck_sha256,source_hash,reference_static_state,expected_static_q
t0__b0p95__L1__dv60p0__h4488p999__pm1489p999__06156b96a7bb95913c21,0.95,L1,4,9,60.0,0.89,1.0,4488.999,1.0,-1489.999,0.89,2.103011134e-09,2.592639442e-09,2.537682878e-09,5.44047607e-09,489.62830800000035,434.6717440000002,54.95656400000013,3.455336122e-08,8.546050249e-08,0,stable_low,1,1.7326447629213483e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r68/scenarios/t0__b0p95__L1__dv60p0__h4488p999__pm1489p999__06156b96a7bb95913c21,c53fb81499cf45d6541f6eedcdd1914918d47fd91abab52dc659976cad3590a1,2a68f2bb3bcaeb08741820cde9be97acb2cd5251c6c8e7a0a4e5c71589feb0b4,last_q0,0
t0__b0p95__L1__dv70p0__h4488p999__pm1489p999__ec7148cf1ee6e856e32b,0.95,L1,4,9,70.0,0.88,1.0,4488.999,1.0,-1489.999,0.88,2.12024905e-09,2.63202467e-09,2.565145679e-09,5.440942583e-09,511.77562,444.8966289999999,66.8789910000001,0.8799995733,0.8799997711,1,stable_high,1,1.5798605215909092e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r69/scenarios/t0__b0p95__L1__dv70p0__h4488p999__pm1489p999__ec7148cf1ee6e856e32b,5fd8831f4e88f0457ead4453e042c81c97090947b40769fbe13b912af7f7fa93,2a68f2bb3bcaeb08741820cde9be97acb2cd5251c6c8e7a0a4e5c71589feb0b4,first_q1,1
t0__b0p95__L2__dv80p0__h4488p999__pm1489p999__18bff04cf166d49b8806,0.95,L2,5,6,80.0,0.87,1.0,4488.999,1.0,-1489.999,0.87,2.136470261e-09,2.674671562e-09,2.619008359e-09,5.459733172e-09,538.2013010000002,482.5380980000002,55.66320299999995,6.182773034e-08,6.255659141e-08,0,stable_low,1,4.2568932103448275e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r64/scenarios/t0__b0p95__L2__dv80p0__h4488p999__pm1489p999__18bff04cf166d49b8806,fdf642d4e836723cdaf83fa22e25b3be43af2d9cd770ebacec200ae0058768b3,2a68f2bb3bcaeb08741820cde9be97acb2cd5251c6c8e7a0a4e5c71589feb0b4,last_q0,0
t0__b0p95__L2__dv90p0__h4488p999__pm1489p999__86004c1761bc8a7b4940,0.95,L2,5,6,90.0,0.86,1.0,4488.999,1.0,-1489.999,0.86,2.1548114e-09,2.718960458e-09,2.649850008e-09,5.459904859e-09,564.149058,495.0386079999999,69.11045000000007,0.8599998854,0.8599995585,1,stable_high,1,1.110534905232558e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r65/scenarios/t0__b0p95__L2__dv90p0__h4488p999__pm1489p999__86004c1761bc8a7b4940,1f90dbf90f1bfefd615eb430cec29a44a1d7f0694a61f2d4561aa9110bb5a2fb,2a68f2bb3bcaeb08741820cde9be97acb2cd5251c6c8e7a0a4e5c71589feb0b4,first_q1,1
t0__b0p95__L3__dv110p0__h4488p999__pm1489p999__108772aad1831bf0b491,0.95,L3,5,9,110.0,0.84,1.0,4488.999,1.0,-1489.999,0.84,2.195186369e-09,2.821154551e-09,2.745867865e-09,5.484027722e-09,625.9681819999997,550.6814959999999,75.2866859999998,6.36372587e-07,-1.244723484e-06,0,stable_low,1,1.992330479761905e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r70/scenarios/t0__b0p95__L3__dv110p0__h4488p999__pm1489p999__108772aad1831bf0b491,71487c91738b12e1c0b503a985b2f4e7a4dca1a9b02391070b84af6f4a4e09ef,2a68f2bb3bcaeb08741820cde9be97acb2cd5251c6c8e7a0a4e5c71589feb0b4,last_q0,0
t0__b0p95__L3__dv120p0__h4488p999__pm1489p999__65201236437008724798,0.95,L3,5,9,120.0,0.83,1.0,4488.999,1.0,-1489.999,0.83,2.217351119e-09,2.877773023e-09,2.783346938e-09,5.484037508e-09,660.421904,565.9958190000002,94.42608499999983,0.8299996446,0.829999648,1,stable_high,1,1.7576525807228916e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r71/scenarios/t0__b0p95__L3__dv120p0__h4488p999__pm1489p999__65201236437008724798,96fdac5f20a541943202c5239fb949cc6ea77a06b4242ab95e77dafc0ac9a42e,2a68f2bb3bcaeb08741820cde9be97acb2cd5251c6c8e7a0a4e5c71589feb0b4,first_q1,1
t0__b1p1__L1__dv80p0__h4488p999__pm1489p999__69c3c8e9109082813979,1.1,L1,2,10,80.0,1.02,1.0,4488.999,1.0,-1489.999,1.02,1.953575004e-09,2.253438299e-09,2.223818252e-09,5.161306632e-09,299.86329500000016,270.243248,29.62004700000017,1.395870878e-07,1.566519881e-07,0,stable_low,1,2.1600943225490195e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r72/scenarios/t0__b1p1__L1__dv80p0__h4488p999__pm1489p999__69c3c8e9109082813979,4452ecedbc5fe4eff2003dcf387c6a460b2b9922da871190b48d8881b47e2420,2a68f2bb3bcaeb08741820cde9be97acb2cd5251c6c8e7a0a4e5c71589feb0b4,last_q0,0
t0__b1p1__L1__dv90p0__h4488p999__pm1489p999__3719999e74514499dc56,1.1,L1,2,10,90.0,1.01,1.0,4488.999,1.0,-1489.999,1.01,1.962114241e-09,2.271444003e-09,2.236419243e-09,5.161561309e-09,309.32976199999985,274.305002,35.024759999999844,1.0099997717,1.0099996995,1,stable_high,1,3.6147813633663366e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r73/scenarios/t0__b1p1__L1__dv90p0__h4488p999__pm1489p999__3719999e74514499dc56,8854310f741b0170bf9c1b5014486863c5ea4226608f89e78adf57c67c8788ce,2a68f2bb3bcaeb08741820cde9be97acb2cd5251c6c8e7a0a4e5c71589feb0b4,first_q1,1
t0__b1p1__L2__dv130p0__h4488p999__pm1489p999__5d915b25429df1faa0c1,1.1,L2,3,8,130.0,0.97,1.0,4488.999,1.0,-1489.999,0.97,2.000913905e-09,2.354859618e-09,2.319926811e-09,5.180187818e-09,353.9457129999997,319.0129059999999,34.932806999999855,1.624564632e-07,9.004494628e-08,0,stable_low,1,1.8756230907216496e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r66/scenarios/t0__b1p1__L2__dv130p0__h4488p999__pm1489p999__5d915b25429df1faa0c1,a1900c657c2c232b07924b8bbccfaff4fab9661d34d8ac8855bc2b3d3a1b7057,2a68f2bb3bcaeb08741820cde9be97acb2cd5251c6c8e7a0a4e5c71589feb0b4,last_q0,0
t0__b1p1__L2__dv140p0__h4488p999__pm1489p999__454a881ff64f6cdb173a,1.1,L2,3,8,140.0,0.96,1.0,4488.999,1.0,-1489.999,0.96,2.010779426e-09,2.379114383e-09,2.335370064e-09,5.179832092e-09,368.33495700000026,324.59063800000007,43.74431900000019,0.9599997096,0.9599996806,1,stable_high,1,1.3212646375e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r67/scenarios/t0__b1p1__L2__dv140p0__h4488p999__pm1489p999__454a881ff64f6cdb173a,4ff20f47d7a9778acfbe7ae3bd400c9bb85a4f60c5b6b4701f43322434b96d41,2a68f2bb3bcaeb08741820cde9be97acb2cd5251c6c8e7a0a4e5c71589feb0b4,first_q1,1
