scenario_id,baseline_vdd_v,margin_level,M_det,F_det,DeltaV_mv,Vdroop_v,t_fall_ps,t_hold_ps,t_rise_ps,phase_ps,actual_min_vdd_v,t_xor_rise_s,t_xor_fall_s,t_ck_rise_s,t_ck_rise_2_s,W_xor_ps,D_ref_ps,R_ps,q_sample_1_v,q_sample_2_v,q_final,q_state,active_ck_edge_count,recovery_max_ratio,valid,reason,completion_status,scenario_path,deck_sha256,source_hash,reference_static_state,expected_static_q
t0__b0p95__L1__dv60p0__h4488p999__pm1489p999__df6070e0b2ac8d1950c3,0.95,L1,4,9,60.0,0.89,1.0,4488.999,1.0,-1489.999,0.89,2.104564037e-09,2.588528149e-09,2.559396572e-09,5.440286155e-09,483.96411199999983,454.832535,29.131576999999822,-1.566924085e-07,-9.825486402e-08,0,stable_low,1,2.161739557303371e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r51/scenarios/t0__b0p95__L1__dv60p0__h4488p999__pm1489p999__df6070e0b2ac8d1950c3,15b096e3b6bbb3e384a15ed02a838fd0fc8c9c49f601731d1c62def64ffe13d5,468db0c2c5cf82b31f97b9ebaa1121a0a400ba850ab95c7b9cbdcaf933a1cc98,last_q0,0
t0__b0p95__L1__dv70p0__h4488p999__pm1489p999__95807c7eddf22fd8d336,0.95,L1,4,9,70.0,0.88,1.0,4488.999,1.0,-1489.999,0.88,2.120843824e-09,2.628011691e-09,2.590279523e-09,5.440519686e-09,507.1678669999998,469.4356989999997,37.73216800000006,0.8799996996,0.8799996927,1,stable_high,1,2.5007886931818184e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r52/scenarios/t0__b0p95__L1__dv70p0__h4488p999__pm1489p999__95807c7eddf22fd8d336,de833ac5d47a2f5f08d020357b52fa8f21e5913b0baf39d9aa6dd4b2282781f1,468db0c2c5cf82b31f97b9ebaa1121a0a400ba850ab95c7b9cbdcaf933a1cc98,first_q1,1
t0__b0p95__L2__dv80p0__h4488p999__pm1489p999__1e0e11cf018effbf605a,0.95,L2,5,6,80.0,0.87,1.0,4488.999,1.0,-1489.999,0.87,2.138827474e-09,2.668963013e-09,2.640964423e-09,5.459665675e-09,530.1355389999999,502.1369489999998,27.998590000000092,0.8699997037,0.8699996847,1,stable_high,1,3.139588275862069e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r53/scenarios/t0__b0p95__L2__dv80p0__h4488p999__pm1489p999__1e0e11cf018effbf605a,aed3d3e84d690115ddae90daad8d81356fa399d5170a20c1755b678b9cd424bf,468db0c2c5cf82b31f97b9ebaa1121a0a400ba850ab95c7b9cbdcaf933a1cc98,last_q0,0
t0__b0p95__L2__dv90p0__h4488p999__pm1489p999__47b4953bfac8386dfcde,0.95,L2,5,6,90.0,0.86,1.0,4488.999,1.0,-1489.999,0.86,2.156725399e-09,2.713875134e-09,2.674473238e-09,5.460021552e-09,557.1497350000001,517.747839,39.40189600000008,0.8599996707,0.8599995932,1,stable_high,1,3.1150210790697673e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r54/scenarios/t0__b0p95__L2__dv90p0__h4488p999__pm1489p999__47b4953bfac8386dfcde,0ef02f8c0936f8a9d0363bfb6ddcbb78f24f752d654d56de2401244123a4cf32,468db0c2c5cf82b31f97b9ebaa1121a0a400ba850ab95c7b9cbdcaf933a1cc98,first_q1,1
t0__b0p95__L3__dv110p0__h4488p999__pm1489p999__668d7c59e0508bf178d9,0.95,L3,5,9,110.0,0.84,1.0,4488.999,1.0,-1489.999,0.84,2.197688195e-09,2.813361493e-09,2.789833286e-09,5.483948826e-09,615.6732980000002,592.1450909999999,23.528207000000293,0.8399996503,0.839999681,1,stable_high,1,3.3531850928571428e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r55/scenarios/t0__b0p95__L3__dv110p0__h4488p999__pm1489p999__668d7c59e0508bf178d9,e30ba945824f024488004f4ed45eb6a61b16f49cf5cfe1ffa8862d9c25973547,468db0c2c5cf82b31f97b9ebaa1121a0a400ba850ab95c7b9cbdcaf933a1cc98,last_q0,0
t0__b0p95__L3__dv120p0__h4488p999__pm1489p999__d86fecf19557cea563c9,0.95,L3,5,9,120.0,0.83,1.0,4488.999,1.0,-1489.999,0.83,2.220572851e-09,2.86868922e-09,2.833123667e-09,5.483965926e-09,648.1163690000001,612.5508159999997,35.565553000000364,0.8299996223,0.8299996495,1,stable_high,1,2.923889577108434e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r56/scenarios/t0__b0p95__L3__dv120p0__h4488p999__pm1489p999__d86fecf19557cea563c9,cc6e26754326b90d910eafae9ade4cd09d38bb73f27e9a70417544442265d62b,468db0c2c5cf82b31f97b9ebaa1121a0a400ba850ab95c7b9cbdcaf933a1cc98,first_q1,1
t0__b1p1__L1__dv80p0__h4488p999__pm1489p999__d6adaf56bdad7a1a79f2,1.1,L1,2,10,80.0,1.02,1.0,4488.999,1.0,-1489.999,1.02,1.955242261e-09,2.251482455e-09,2.245807625e-09,5.161567097e-09,296.2401940000002,290.5653640000004,5.674829999999815,1.0199997248,1.0199997051,1,stable_high,1,3.3770966676470587e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r57/scenarios/t0__b1p1__L1__dv80p0__h4488p999__pm1489p999__d6adaf56bdad7a1a79f2,a87b07d82690c3b8febc92f11055ddad95dd0fe9478c85307c3c649d0d8a6dd5,468db0c2c5cf82b31f97b9ebaa1121a0a400ba850ab95c7b9cbdcaf933a1cc98,last_q0,0
t0__b1p1__L1__dv90p0__h4488p999__pm1489p999__22cfd45a5a0e0800f672,1.1,L1,2,10,90.0,1.01,1.0,4488.999,1.0,-1489.999,1.01,1.96383972e-09,2.269349614e-09,2.261521924e-09,5.161520693e-09,305.50989400000003,297.6822039999998,7.827690000000246,1.0099997373,1.0099996865,1,stable_high,1,2.3741355227722774e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r58/scenarios/t0__b1p1__L1__dv90p0__h4488p999__pm1489p999__22cfd45a5a0e0800f672,afa02dff6b6ebeed8ce9332f91572bf23682f2dedd6e3f12fc1e80f69716b47f,468db0c2c5cf82b31f97b9ebaa1121a0a400ba850ab95c7b9cbdcaf933a1cc98,first_q1,1
t0__b1p1__L2__dv130p0__h4488p999__pm1489p999__6ba809a2a5f257d46a16,1.1,L2,3,8,130.0,0.97,1.0,4488.999,1.0,-1489.999,0.97,2.003299137e-09,2.350284294e-09,2.351579633e-09,5.180270295e-09,346.9851569999998,348.2804959999999,-1.2953390000001264,0.9699996449,0.969999741,1,stable_high,1,3.4940045701030926e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r59/scenarios/t0__b1p1__L2__dv130p0__h4488p999__pm1489p999__6ba809a2a5f257d46a16,c48155f5612b47d2f818ac1cbda08458316d19013bf22e77084f3bf29a247c29,468db0c2c5cf82b31f97b9ebaa1121a0a400ba850ab95c7b9cbdcaf933a1cc98,last_q0,0
t0__b1p1__L2__dv140p0__h4488p999__pm1489p999__025bf6c1df703a3a6c95,1.1,L2,3,8,140.0,0.96,1.0,4488.999,1.0,-1489.999,0.96,2.014099983e-09,2.373654927e-09,2.370882715e-09,5.180292126e-09,359.5549440000003,356.78273200000035,2.7722119999999677,0.9599996862,0.9599996851,1,stable_high,1,2.7300576708333333e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r60/scenarios/t0__b1p1__L2__dv140p0__h4488p999__pm1489p999__025bf6c1df703a3a6c95,1b4811b2a2cfcad52298e879a0085367181dbff2af53b047695ea956756d1eb0,468db0c2c5cf82b31f97b9ebaa1121a0a400ba850ab95c7b9cbdcaf933a1cc98,first_q1,1
