scenario_id,baseline_vdd_v,margin_level,M_det,F_det,DeltaV_mv,Vdroop_v,t_fall_ps,t_hold_ps,t_rise_ps,phase_ps,actual_min_vdd_v,t_xor_rise_s,t_xor_fall_s,t_ck_rise_s,t_ck_rise_2_s,W_xor_ps,D_ref_ps,R_ps,q_sample_1_v,q_sample_2_v,vdd_at_q_sample_1_v,vdd_at_q_sample_2_v,q_sample_1_ratio,q_sample_2_ratio,q_final,q_state,active_ck_edge_count,recovery_max_ratio,valid,reason,completion_status,scenario_path,deck_sha256,source_hash,scenario_key,scenario_family,scan_stage,t0_5_state,time_axis_shift_s,recovery_start_s,recovery_end_s,recovery_model_status,evidence_source,reuse_reason,electrical_projection_sha256,normalized_deck_sha256
t0__b0p95__L2__dv90p0__h1454p0__pm700p0__0b179fb0eb214e95b809,0.95,L2,5,6,90.0,0.86,1.0,1454.0,1.0,-700.0,0.86,2.154601582e-09,2.59681694e-09,2.576823871e-09,5.460895744e-09,442.21535800000026,422.22228900000016,19.993069000000105,8.639997413e-07,-3.468111501e-07,0.95,0.95,9.094734118947369e-07,-3.6506436852631576e-07,0,stable_low,1,2.6288259558139533e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r371/scenarios/t0__b0p95__L2__dv90p0__h1454p0__pm700p0__0b179fb0eb214e95b809,1a22f7aa5d63f71ad9e364758daf1f490aa908a992391eaccc83421d7b7a5abf,598cd1b1604d8ee7fee51d6e738e936e3007ef12ca6a441288f76eb88c5c3ed0,t0_5a_0p95_l2_boundary,L2_BOUNDARY_MINIMUM,LEFT_COARSE_EXTENSION,STABLE_Q0,0.0,2.245e-09,2.246e-09,NOT_APPLICABLE,REUSED_RETAINED_MEASUREMENT,ELECTRICALLY_EQUIVALENT_SOURCE_HASH_DRIFT,cd993833721e6bf76b515a0fdcbfa780f54a1d5eaf711e7d90185cc923871624,1a22f7aa5d63f71ad9e364758daf1f490aa908a992391eaccc83421d7b7a5abf
t0__b0p95__L2__dv90p0__h1454p0__pm675p0__e8a0ff86d8419c8655f8,0.95,L2,5,6,90.0,0.86,1.0,1454.0,1.0,-675.0,0.86,2.155655547e-09,2.603325977e-09,2.582692562e-09,5.460623723e-09,447.67043,427.0370149999998,20.633415000000184,9.220109412e-07,-1.436169965e-07,0.95,0.95,9.705378328421054e-07,-1.511757857894737e-07,0,stable_low,1,3.5654361383720933e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r375/scenarios/t0__b0p95__L2__dv90p0__h1454p0__pm675p0__e8a0ff86d8419c8655f8,59fc640b8f5cf168904f20a1634f8f02181737d09fc122f304787603169701ec,598cd1b1604d8ee7fee51d6e738e936e3007ef12ca6a441288f76eb88c5c3ed0,t0_5a_0p95_l2_boundary,L2_BOUNDARY_MINIMUM,BOUNDARY_FINE_25PS,STABLE_Q0,0.0,2.2700000000000002e-09,2.271e-09,NOT_APPLICABLE,REUSED_RETAINED_MEASUREMENT,ELECTRICALLY_EQUIVALENT_SOURCE_HASH_DRIFT,702d4ba29a22ace1f820c12128e32081c17971c6b6be2f048556e9b41155eb22,59fc640b8f5cf168904f20a1634f8f02181737d09fc122f304787603169701ec
t0__b0p95__L2__dv90p0__h1454p0__pm650p0__26906366625230268319,0.95,L2,5,6,90.0,0.86,1.0,1454.0,1.0,-650.0,0.86,2.155116796e-09,2.609592576e-09,2.586944531e-09,5.4607807e-09,454.4757800000001,431.8277350000001,22.648045000000025,1.087330259e-06,-6.642547945e-08,0.95,0.95,1.144558167368421e-06,-6.992155731578948e-08,0,stable_low,1,4.301286095348837e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r376/scenarios/t0__b0p95__L2__dv90p0__h1454p0__pm650p0__26906366625230268319,53d9df5d938f39a2c31e4308f12bef34745c4a3bd9ba208fbb6f256ab2975780,598cd1b1604d8ee7fee51d6e738e936e3007ef12ca6a441288f76eb88c5c3ed0,t0_5a_0p95_l2_boundary,L2_BOUNDARY_MINIMUM,BOUNDARY_FINE_25PS,STABLE_Q0,0.0,2.295e-09,2.296e-09,NOT_APPLICABLE,REUSED_RETAINED_MEASUREMENT,ELECTRICALLY_EQUIVALENT_SOURCE_HASH_DRIFT,15d03953f03a459f955932b62f7f868d2e7449d47832e35d7158f10c55eb0db0,53d9df5d938f39a2c31e4308f12bef34745c4a3bd9ba208fbb6f256ab2975780
t0__b0p95__L2__dv90p0__h1454p0__pm625p0__adcfa23e0853d4502862,0.95,L2,5,6,90.0,0.86,1.0,1454.0,1.0,-625.0,0.86,2.155023705e-09,2.61626634e-09,2.592261476e-09,5.460524226e-09,461.2426349999998,437.23777099999995,24.004863999999827,6.176466838e-07,2.989656316e-07,0.95,0.95,6.50154404e-07,3.147006648421053e-07,0,stable_low,1,1.4002699360465118e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r377/scenarios/t0__b0p95__L2__dv90p0__h1454p0__pm625p0__adcfa23e0853d4502862,9dfd5024fe358b7eacc0326caac2ca79cecfd4d70a0c86789eec5c09c05b1fce,598cd1b1604d8ee7fee51d6e738e936e3007ef12ca6a441288f76eb88c5c3ed0,t0_5a_0p95_l2_boundary,L2_BOUNDARY_MINIMUM,BOUNDARY_FINE_25PS,STABLE_Q0,0.0,2.3200000000000003e-09,2.321e-09,NOT_APPLICABLE,REUSED_RETAINED_MEASUREMENT,ELECTRICALLY_EQUIVALENT_SOURCE_HASH_DRIFT,18d6a1a78e987d3360102c8f55346c116330e17267f20356381bd34fe358cea8,9dfd5024fe358b7eacc0326caac2ca79cecfd4d70a0c86789eec5c09c05b1fce
t0__b0p95__L2__dv90p0__h1454p0__pm600p0__538fc05852d232495e3c,0.95,L2,5,6,90.0,0.86,1.0,1454.0,1.0,-600.0,0.86,2.15500859e-09,2.622450282e-09,2.597508911e-09,5.460623643e-09,467.44169199999993,442.500321,24.941370999999947,1.057779914e-06,-8.525203341e-08,0.95,0.95,1.1134525410526318e-06,-8.97389825368421e-08,0,stable_low,1,3.565277484883721e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r378/scenarios/t0__b0p95__L2__dv90p0__h1454p0__pm600p0__538fc05852d232495e3c,ae24bfd688e30976382e46a03e13f1f228042b9cf7613ad5af399eeb98b2d7f4,598cd1b1604d8ee7fee51d6e738e936e3007ef12ca6a441288f76eb88c5c3ed0,t0_5a_0p95_l2_boundary,L2_BOUNDARY_MINIMUM,BOUNDARY_FINE_25PS,STABLE_Q0,0.0,2.345e-09,2.346e-09,NOT_APPLICABLE,REUSED_RETAINED_MEASUREMENT,ELECTRICALLY_EQUIVALENT_SOURCE_HASH_DRIFT,897f5bb398582b4be23412316965eb9666286a64834629c82573f8fa43e60def,ae24bfd688e30976382e46a03e13f1f228042b9cf7613ad5af399eeb98b2d7f4
t0__b0p95__L2__dv90p0__h1454p0__pm575p0__aa149165f9e8051bb01d,0.95,L2,5,6,90.0,0.86,1.0,1454.0,1.0,-575.0,0.86,2.154965375e-09,2.629334687e-09,2.602758823e-09,5.460690093e-09,474.3693120000002,447.7934480000001,26.57586400000008,-2.423837435e-07,3.359763856e-07,0.95,0.95,-2.5514078263157897e-07,3.5365935326315793e-07,0,stable_low,1,1.9333397674418604e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r379/scenarios/t0__b0p95__L2__dv90p0__h1454p0__pm575p0__aa149165f9e8051bb01d,ffa443fe87a10c3ae881624f41489332da4c9c0ad9bb8cbb8b38c0f6bbfb72c6,598cd1b1604d8ee7fee51d6e738e936e3007ef12ca6a441288f76eb88c5c3ed0,t0_5a_0p95_l2_boundary,L2_BOUNDARY_MINIMUM,BOUNDARY_FINE_25PS,STABLE_Q0,0.0,2.37e-09,2.3709999999999998e-09,NOT_APPLICABLE,REUSED_RETAINED_MEASUREMENT,ELECTRICALLY_EQUIVALENT_SOURCE_HASH_DRIFT,0adee6cb4f9e893ee0af0d45901587e5b10e4fdfb173affccb4c4ab72176693e,ffa443fe87a10c3ae881624f41489332da4c9c0ad9bb8cbb8b38c0f6bbfb72c6
t0__b0p95__L2__dv90p0__h1454p0__pm550p0__75bdebab14c40f0d890c,0.95,L2,5,6,90.0,0.86,1.0,1454.0,1.0,-550.0,0.86,2.155008618e-09,2.635417327e-09,2.607854644e-09,5.460623693e-09,480.4087089999997,452.8460259999999,27.562682999999822,1.562469709e-07,1.490690444e-07,0.95,0.95,1.6447049568421052e-07,1.5691478357894737e-07,0,stable_low,1,3.5652841186046513e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r380/scenarios/t0__b0p95__L2__dv90p0__h1454p0__pm550p0__75bdebab14c40f0d890c,6d0205ca9a3246ac1fbc3f2140659de6177ee78a89eeab3050ce2a5b616541a1,598cd1b1604d8ee7fee51d6e738e936e3007ef12ca6a441288f76eb88c5c3ed0,t0_5a_0p95_l2_boundary,L2_BOUNDARY_MINIMUM,BOUNDARY_FINE_25PS,STABLE_Q0,0.0,2.395e-09,2.396e-09,NOT_APPLICABLE,REUSED_RETAINED_MEASUREMENT,ELECTRICALLY_EQUIVALENT_SOURCE_HASH_DRIFT,33b4e1f0b3169899eb283ef88fa7a05bcfe6fb49f7426fc0ff11b7c7b74e9c31,6d0205ca9a3246ac1fbc3f2140659de6177ee78a89eeab3050ce2a5b616541a1
t0__b0p95__L2__dv90p0__h1454p0__pm525p0__ead06defed8606fd1dc6,0.95,L2,5,6,90.0,0.86,1.0,1454.0,1.0,-525.0,0.86,2.155119426e-09,2.641822827e-09,2.612754112e-09,5.461111242e-09,486.703401,457.63468600000004,29.06871499999994,7.749431387e-07,1.929279615e-07,0.95,0.95,8.157296196842105e-07,2.0308206473684213e-07,0,stable_low,1,3.840045996511628e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r381/scenarios/t0__b0p95__L2__dv90p0__h1454p0__pm525p0__ead06defed8606fd1dc6,aabf6685c725fec8271d7a2dda2fbd59b307962b7f8477ff51285a7805e224ba,598cd1b1604d8ee7fee51d6e738e936e3007ef12ca6a441288f76eb88c5c3ed0,t0_5a_0p95_l2_boundary,L2_BOUNDARY_MINIMUM,BOUNDARY_FINE_25PS,STABLE_Q0,0.0,2.4200000000000003e-09,2.4210000000000002e-09,NOT_APPLICABLE,REUSED_RETAINED_MEASUREMENT,ELECTRICALLY_EQUIVALENT_SOURCE_HASH_DRIFT,b21b044253a666cafde9ca471dbe86ed5c9561b58e72ef5adaee5013f4875e34,aabf6685c725fec8271d7a2dda2fbd59b307962b7f8477ff51285a7805e224ba
t0__b0p95__L2__dv90p0__h1454p0__pm500p0__95c61b265f146cc0edb0,0.95,L2,5,6,90.0,0.86,1.0,1454.0,1.0,-500.0,0.86,2.154895113e-09,2.648333359e-09,2.616903348e-09,5.460684286e-09,493.438246,462.00823499999984,31.43001100000015,1.817520409e-06,-8.262968667e-07,0.95,0.95,1.9131793778947368e-06,-8.697861754736843e-07,0,stable_low,1,3.916891675581395e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r382/scenarios/t0__b0p95__L2__dv90p0__h1454p0__pm500p0__95c61b265f146cc0edb0,a7d99c016a1c6645cf33fe945e952aa3e18e83c8f8a9a04d3e9165f07ededee1,598cd1b1604d8ee7fee51d6e738e936e3007ef12ca6a441288f76eb88c5c3ed0,t0_5a_0p95_l2_boundary,L2_BOUNDARY_MINIMUM,BOUNDARY_FINE_25PS,STABLE_Q0,0.0,2.445e-09,2.446e-09,NOT_APPLICABLE,REUSED_RETAINED_MEASUREMENT,ELECTRICALLY_EQUIVALENT_SOURCE_HASH_DRIFT,c9af6eaabc79171ef304ebeeafabecf4d9b8f191e724eed8d3ad03aa869456d9,a7d99c016a1c6645cf33fe945e952aa3e18e83c8f8a9a04d3e9165f07ededee1
t0__b0p95__L2__dv90p0__h1454p0__pm475p0__ddb28ed842330c2b2178,0.95,L2,5,6,90.0,0.86,1.0,1454.0,1.0,-475.0,0.86,2.155156244e-09,2.654509101e-09,2.620578508e-09,5.460504849e-09,499.35285700000026,465.42226400000015,33.9305930000001,-1.430970994e-07,-8.841634798e-08,0.95,0.95,-1.5062852568421052e-07,-9.306983997894737e-08,0,stable_low,1,2.157663706976744e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r383/scenarios/t0__b0p95__L2__dv90p0__h1454p0__pm475p0__ddb28ed842330c2b2178,0970a982f2f4408398151e4a0427254eed2b7ea8c7516569be99160aaf9832c1,598cd1b1604d8ee7fee51d6e738e936e3007ef12ca6a441288f76eb88c5c3ed0,t0_5a_0p95_l2_boundary,L2_BOUNDARY_MINIMUM,BOUNDARY_FINE_25PS,STABLE_Q0,0.0,2.47e-09,2.471e-09,NOT_APPLICABLE,REUSED_RETAINED_MEASUREMENT,ELECTRICALLY_EQUIVALENT_SOURCE_HASH_DRIFT,204788b22ff8e1651f7a0e87cbcdc7fca578a6ab21d0406104dfbd407bb0400f,0970a982f2f4408398151e4a0427254eed2b7ea8c7516569be99160aaf9832c1
