phase,vdd_v,medium_code,fine_code,K,scenario,t_xor_rise_s,t_xor_fall_s,t_ck_rise_s,q_final_v,q_final,D_code_ps,W_xor_ps,valid,reason
coarse,0.95,0,0,10,r1/scenarios/coarse__m00__f00__v0p95__44c1a219f2ecb53631dc,1.53298711e-09,1.91399733e-09,1.675952592e-09,0.9499996982,1,142.96548199999998,381.01022000000006,1,
coarse,0.95,1,0,10,r2/scenarios/coarse__m01__f00__v0p95__ed631455d331b1722dc8,1.532987112e-09,1.913886087e-09,1.719708236e-09,0.949999697,1,186.72112400000017,380.89897500000006,1,
coarse,0.95,2,0,10,r2/scenarios/coarse__m02__f00__v0p95__a4774f3ec2436af16aa9,1.532987112e-09,1.913851807e-09,1.76358929e-09,0.9499997034,1,230.60217800000012,380.864695,1,
coarse,0.95,3,0,10,r2/scenarios/coarse__m03__f00__v0p95__d3cfcff7ea7e7353511e,1.532987112e-09,1.913988042e-09,1.807325051e-09,0.9499996869,1,274.33793900000006,381.00093000000027,1,
coarse,0.95,4,0,10,r2/scenarios/coarse__m04__f00__v0p95__ba7d75dabb04173b481f,1.532987112e-09,1.914154158e-09,1.851094859e-09,0.9499996794,1,318.10774700000013,381.16704600000014,1,
coarse,0.95,5,0,10,r2/scenarios/coarse__m05__f00__v0p95__9d320829e1bb63657cd1,1.532987112e-09,1.914250978e-09,1.89485101e-09,0.9499996816,1,361.8638980000001,381.26386600000006,1,
coarse,0.95,6,0,10,r2/scenarios/coarse__m06__f00__v0p95__80adf20ec033f30daac1,1.532987112e-09,1.914350527e-09,1.938729009e-09,1.333164852e-07,0,405.7418970000002,381.36341500000026,1,
coarse,0.95,7,0,10,r2/scenarios/coarse__m07__f00__v0p95__c9d41e941d1f7d978c28,1.532987112e-09,1.914391557e-09,1.982463648e-09,-3.613828938e-07,0,449.4765359999999,381.404445,1,
coarse,0.95,8,0,10,r2/scenarios/coarse__m08__f00__v0p95__25ebac0d0b7a1cd6d884,1.532987112e-09,1.914349474e-09,2.026589152e-09,-8.503821337e-09,0,493.6020400000002,381.36236199999985,1,
coarse,0.95,9,0,10,r2/scenarios/coarse__m09__f00__v0p95__396b736eac62ce2029d2,1.532987112e-09,1.914305647e-09,2.070567287e-09,-2.927933952e-07,0,537.5801749999999,381.31853500000005,1,
coarse,0.95,10,0,10,r2/scenarios/coarse__m10__f00__v0p95__a694cf81c215464a9a6a,1.532987112e-09,1.914276364e-09,2.114213079e-09,-1.075629782e-06,0,581.2259669999999,381.28925199999986,1,
coarse,0.95,11,0,10,r2/scenarios/coarse__m11__f00__v0p95__a62cc67bb54630935e44,1.532987112e-09,1.914258301e-09,2.157650339e-09,1.419102319e-07,0,624.6632270000001,381.27118900000005,1,
coarse,0.95,12,0,10,r2/scenarios/coarse__m12__f00__v0p95__34dda84ffb77be0d2358,1.532987112e-09,1.91423646e-09,2.201604313e-09,-3.181349016e-07,0,668.617201,381.2493480000002,1,
coarse,0.95,13,0,10,r2/scenarios/coarse__m13__f00__v0p95__b996f88563b826b6682c,1.532987112e-09,1.914242663e-09,2.245832929e-09,5.808121286e-07,0,712.8458170000002,381.25555100000014,1,
coarse,0.95,14,0,10,r2/scenarios/coarse__m14__f00__v0p95__abe63c4715b668190c9a,1.532987112e-09,1.914262566e-09,2.289249211e-09,-8.065652044e-07,0,756.2620989999999,381.2754539999999,1,
coarse,0.95,15,0,10,r2/scenarios/coarse__m15__f00__v0p95__f9a51f9c3613326d4c6c,1.532987112e-09,1.914322362e-09,2.333829796e-09,1.001160533e-07,0,800.8426840000002,381.3352500000002,1,
coarse,0.95,16,0,10,r2/scenarios/coarse__m16__f00__v0p95__750a2cc219e10a043441,1.532987112e-09,1.914342723e-09,2.347231095e-09,9.60117968e-08,0,814.2439830000001,381.35561100000007,1,
coarse,1.1,0,0,10,r2/scenarios/coarse__m00__f00__v1p10__20d1a7db5a6e8eaec8d7,1.407566862e-09,1.647205796e-09,1.517651659e-09,1.0999996666,1,110.08479699999994,239.63893399999998,1,
coarse,1.1,1,0,10,r2/scenarios/coarse__m01__f00__v1p10__63ecd40816e2b589d3ea,1.407566864e-09,1.647189368e-09,1.550735008e-09,1.0999996641,1,143.16814399999998,239.622504,1,
coarse,1.1,2,0,10,r2/scenarios/coarse__m02__f00__v1p10__7382488fd8e706109525,1.407566864e-09,1.647131588e-09,1.58385233e-09,1.0999996763,1,176.28546599999993,239.56472400000007,1,
coarse,1.1,3,0,10,r2/scenarios/coarse__m03__f00__v1p10__dbd5c06b999f0e9d7ba8,1.407566864e-09,1.647140876e-09,1.616836981e-09,1.099999617,1,209.2701169999999,239.57401199999998,1,
coarse,1.1,4,0,10,r2/scenarios/coarse__m04__f00__v1p10__d74af52afd8e95115558,1.407566864e-09,1.647149881e-09,1.650000283e-09,1.374778489e-07,0,242.43341899999996,239.5830170000001,1,
coarse,1.1,5,0,10,r2/scenarios/coarse__m05__f00__v1p10__bc4072c8118f1ea01de4,1.407566864e-09,1.647161416e-09,1.683140738e-09,-5.129741627e-08,0,275.57387399999993,239.59455200000008,1,
coarse,1.1,6,0,10,r2/scenarios/coarse__m06__f00__v1p10__d4a4bc40843576b7b662,1.407566864e-09,1.647149922e-09,1.71608033e-09,3.942371274e-07,0,308.513466,239.58305800000002,1,
coarse,1.1,7,0,10,r2/scenarios/coarse__m07__f00__v1p10__dcca7a995679bc08cc1b,1.407566864e-09,1.64712377e-09,1.749292778e-09,-3.741282541e-07,0,341.725914,239.55690600000005,1,
coarse,1.1,8,0,10,r2/scenarios/coarse__m08__f00__v1p10__e417f9667cfe49bd110e,1.407566864e-09,1.647132137e-09,1.782518117e-09,-2.276972924e-08,0,374.95125300000007,239.56527300000008,1,
coarse,1.1,9,0,10,r2/scenarios/coarse__m09__f00__v1p10__bb961d52a9cc3b6d5381,1.407566864e-09,1.647097324e-09,1.815465904e-09,2.447541751e-07,0,407.89904000000007,239.5304600000001,1,
coarse,1.1,10,0,10,r2/scenarios/coarse__m10__f00__v1p10__56eb1e17f3e5db76ebfa,1.407566864e-09,1.647083898e-09,1.848294646e-09,-1.50888763e-06,0,440.7277820000001,239.517034,1,
coarse,1.1,11,0,10,r2/scenarios/coarse__m11__f00__v1p10__070acc429101dcfb9256,1.407566864e-09,1.647094647e-09,1.88183223e-09,1.685300027e-07,0,474.26536600000014,239.52778299999997,1,
coarse,1.1,12,0,10,r2/scenarios/coarse__m12__f00__v1p10__ad5ca8b3dce709cb64cb,1.407566864e-09,1.647101008e-09,1.914813105e-09,-1.006851637e-07,0,507.24624100000005,239.5341440000001,1,
coarse,1.1,13,0,10,r2/scenarios/coarse__m13__f00__v1p10__869d81dc1c68a1563e95,1.407566864e-09,1.647092959e-09,1.947618538e-09,6.662583184e-07,0,540.0516740000002,239.52609499999997,1,
coarse,1.1,14,0,10,r2/scenarios/coarse__m14__f00__v1p10__330588a74be284857314,1.407566864e-09,1.647093069e-09,1.981285521e-09,-5.352783754e-07,0,573.718657,239.52620500000006,1,
coarse,1.1,15,0,10,r2/scenarios/coarse__m15__f00__v1p10__8be056a51e9fcdc2931f,1.407566864e-09,1.647091516e-09,2.014293594e-09,-9.414791992e-07,0,606.72673,239.52465199999995,1,
coarse,1.1,16,0,10,r2/scenarios/coarse__m16__f00__v1p10__248bbd345abdded69a82,1.407566864e-09,1.647076357e-09,2.025302885e-09,1.988479603e-07,0,617.7360209999999,239.50949299999996,1,
coarse,0.8,0,0,10,r2/scenarios/coarse__m00__f00__v0p80__9c50dfc87df7a37c04fd,1.803180173e-09,2.588115717e-09,2.01819768e-09,0.7999996335,1,215.017507,784.9355439999999,1,
coarse,0.8,1,0,10,r2/scenarios/coarse__m01__f00__v0p80__8fd1f81bb0a42b8360a9,1.803180175e-09,2.588160686e-09,2.085119867e-09,0.7999996062,1,281.9396919999999,784.9805110000001,1,
coarse,0.8,2,0,10,r2/scenarios/coarse__m02__f00__v0p80__99e853f72413aaf00335,1.803180175e-09,2.587726694e-09,2.152028239e-09,0.7999995029,1,348.8480639999999,784.5465189999998,1,
coarse,0.8,3,0,10,r2/scenarios/coarse__m03__f00__v0p80__139c8877531ac4be0f2a,1.803180175e-09,2.5874649e-09,2.219092048e-09,0.7999991451,1,415.91187299999996,784.284725,1,
coarse,0.8,4,0,10,r2/scenarios/coarse__m04__f00__v0p80__abe4b441c288e2e60c10,1.803180175e-09,2.587013356e-09,2.285963684e-09,0.7999957133,1,482.7835089999998,783.833181,1,
coarse,0.8,5,0,10,r2/scenarios/coarse__m05__f00__v0p80__3bcd4bb08dde35d705c2,1.803180175e-09,2.586886205e-09,2.35279797e-09,0.7999488898,1,549.6177949999998,783.7060299999998,1,
coarse,0.8,6,0,10,r2/scenarios/coarse__m06__f00__v0p80__5bedc79c9a9cd8338b19,1.803180175e-09,2.587390227e-09,2.419661431e-09,0.7999646114,1,616.481256,784.210052,1,
coarse,0.8,7,0,10,r2/scenarios/coarse__m07__f00__v0p80__6357a800998f5a363657,1.803180175e-09,2.587599035e-09,2.486661045e-09,0.8000041641,1,683.4808700000002,784.41886,1,
coarse,0.8,8,0,10,r2/scenarios/coarse__m08__f00__v0p80__a7572bbccb8a52c97f57,1.803180175e-09,2.587586514e-09,2.553593251e-09,0.7999998561,1,750.4130759999999,784.4063389999999,1,
coarse,0.8,9,0,10,r2/scenarios/coarse__m09__f00__v0p80__071a3b0876f1394778be,1.803180175e-09,2.587844817e-09,2.620717853e-09,1.664738821e-07,0,817.5376780000001,784.664642,1,
coarse,0.8,10,0,10,r2/scenarios/coarse__m10__f00__v0p80__835ae6863748041f3e22,1.803180175e-09,2.5877959e-09,2.687226407e-09,1.663799328e-07,0,884.0462319999999,784.615725,1,
coarse,0.8,11,0,10,r2/scenarios/coarse__m11__f00__v0p80__cc4db6cac1347c1dfab4,1.803180175e-09,2.587707759e-09,2.754439224e-09,1.655083942e-07,0,951.2590489999999,784.5275840000002,1,
coarse,0.8,12,0,10,r2/scenarios/coarse__m12__f00__v0p80__6066d02f94bc2f76c2c5,1.803180175e-09,2.588018683e-09,2.821286272e-09,1.665144211e-07,0,1018.1060969999999,784.8385079999998,1,
coarse,0.8,13,0,10,r2/scenarios/coarse__m13__f00__v0p80__1c59e1662b016de0d3ff,1.803180175e-09,2.587976372e-09,2.889143867e-09,1.656971495e-07,0,1085.9636919999998,784.796197,1,
coarse,0.8,14,0,10,r2/scenarios/coarse__m14__f00__v0p80__c2b862ccc72b1057b6e7,1.803180175e-09,2.588391282e-09,2.955479188e-09,1.682984023e-07,0,1152.2990129999998,785.2111070000002,1,
coarse,0.8,15,0,10,r2/scenarios/coarse__m15__f00__v0p80__9c35e143e4c8371cae4a,1.803180175e-09,2.588439887e-09,3.02304061e-09,2.00289108e-07,0,1219.8604349999998,785.2597119999999,1,
