phase,vdd_v,medium_code,fine_code,K,scenario,t_xor_rise_s,t_xor_fall_s,t_ck_rise_s,q_final_v,q_final,D_code_ps,W_xor_ps,valid,reason
fine,0.95,5,0,10,r2/scenarios/fine__m05__f00__v0p95__dce704b6a00cddfeac64,1.532987112e-09,1.914250978e-09,1.89485101e-09,0.9499996816,1,361.8638980000001,381.26386600000006,1,
fine,0.95,5,1,10,r2/scenarios/fine__m05__f01__v0p95__c0b9c3afe2ec146bcf53,1.532987112e-09,1.914260217e-09,1.900434569e-09,2.969100783e-07,0,367.44745700000004,381.27310500000016,1,
fine,0.95,5,2,10,r2/scenarios/fine__m05__f02__v0p95__d1a41b20e1ea9657e902,1.532987112e-09,1.914265825e-09,1.90649858e-09,9.258562273e-08,0,373.5114679999999,381.2787130000002,1,
fine,0.95,5,3,10,r2/scenarios/fine__m05__f03__v0p95__521ed5699a2f608e2df2,1.532987112e-09,1.914269379e-09,1.913058176e-09,1.195079392e-07,0,380.07106400000004,381.2822669999999,1,
fine,0.95,5,4,10,r2/scenarios/fine__m05__f04__v0p95__d8aaaabc1eba4043ab31,1.532987112e-09,1.914271738e-09,1.920092521e-09,8.050757241e-07,0,387.105409,381.28462599999995,1,
fine,0.95,5,5,10,r2/scenarios/fine__m05__f05__v0p95__0e2048c34a66122e8749,1.532987112e-09,1.914273383e-09,1.927535462e-09,9.00272793e-08,0,394.54835000000014,381.2862710000001,1,
fine,0.95,5,6,10,r2/scenarios/fine__m05__f06__v0p95__021b6c011e228cd127ab,1.532987112e-09,1.914274592e-09,1.93525341e-09,3.563875657e-08,0,402.26629800000006,381.2874800000002,1,
fine,0.95,5,7,10,r2/scenarios/fine__m05__f07__v0p95__60e6c328fea73e752e93,1.532987112e-09,1.914275521e-09,1.943214135e-09,1.985594894e-08,0,410.2270229999999,381.28840900000023,1,
fine,0.95,5,8,10,r2/scenarios/fine__m05__f08__v0p95__a4be5178e33e4fff75d8,1.532987112e-09,1.914276256e-09,1.951335806e-09,7.973420005e-08,0,418.348694,381.2891439999999,1,
fine,0.95,5,9,10,r2/scenarios/fine__m05__f09__v0p95__63aa94aa58dd3260c777,1.532987112e-09,1.914276844e-09,1.959564465e-09,1.020220342e-07,0,426.5773530000002,381.28973199999996,1,
fine,0.95,5,10,10,r2/scenarios/fine__m05__f10__v0p95__00d8c98852a25ae1e12e,1.532987112e-09,1.914277317e-09,1.967865115e-09,9.015695158e-08,0,434.8780030000001,381.29020500000024,1,
fine,1.1,3,0,10,r2/scenarios/fine__m03__f00__v1p10__ae6235cdb1fee2d884f1,1.407566864e-09,1.647140876e-09,1.616836981e-09,1.099999617,1,209.2701169999999,239.57401199999998,1,
fine,1.1,3,1,10,r2/scenarios/fine__m03__f01__v1p10__02b4beb8804e898bb488,1.407566864e-09,1.647130347e-09,1.622273945e-09,1.0999996547,1,214.70708099999993,239.56348299999996,1,
fine,1.1,3,2,10,r2/scenarios/fine__m03__f02__v1p10__c8886b8cd9eae858bc2e,1.407566864e-09,1.647129081e-09,1.628174304e-09,1.0999996394,1,220.6074400000001,239.5622170000001,1,
fine,1.1,3,3,10,r2/scenarios/fine__m03__f03__v1p10__0a65d273f8664490716f,1.407566864e-09,1.647132203e-09,1.634472666e-09,1.0999995976,1,226.905802,239.56533900000002,1,
fine,1.1,3,4,10,r2/scenarios/fine__m03__f04__v1p10__6c5f4f0030cc23f83746,1.407566864e-09,1.647135412e-09,1.641070672e-09,1.75995185e-07,0,233.503808,239.5685480000001,1,
