vdd_v,tap_index,repeat_count,repeat_min_ps,repeat_max_ps,repeat_range_ps
1.1,0,9,58.461569,58.461569,0
1.1,1,9,64.985726,64.985726,0
1.1,2,9,71.549656,71.549656,0
1.1,3,9,78.113225,78.113225,0
1.1,4,9,84.667886,84.667886,0
1.1,5,9,91.240001,91.240001,0
1.1,6,9,97.802235,97.802235,0
1.1,7,9,104.407765,104.407765,0
1.1,8,9,110.98347,110.98347,0
1.1,9,9,117.581481,117.581481,0
1.1,10,9,124.139137,124.2023,0.0631629999999
1.1,11,9,130.738454,130.828893,0.0904389999999
1.1,12,9,137.389518,137.419851,0.0303329999999
1.1,13,9,143.937656,144.017072,0.079416
1.1,14,9,150.519905,150.615857,0.0959520000001
1.1,15,9,157.072718,157.289791,0.217073
1.1,16,9,163.722993,163.899543,0.17655
1.1,17,9,170.303129,170.456625,0.153496
1.1,18,9,176.909267,177.091465,0.182198
1.1,19,9,183.445626,183.771437,0.325811
1.1,20,9,189.877871,190.376317,0.498446
1.1,21,9,196.506596,196.910634,0.404038
1.1,22,9,203.125291,203.539559,0.414268
1.1,23,9,209.621262,210.135089,0.513827
1.1,24,9,216.235238,216.72873,0.493492
1.1,25,9,222.70555,223.344696,0.639146
1.1,26,9,229.385388,229.918906,0.533518
1.1,27,9,236.11321,236.483863,0.370653
1.1,28,9,242.721884,243.062783,0.340899
1.1,29,9,249.291517,249.680178,0.388661
1.05,0,9,64.628288,64.628288,0
1.05,1,9,72.131101,72.131101,0
1.05,2,9,79.670926,79.670926,0
1.05,3,9,87.200158,87.200158,0
1.05,4,9,94.761314,94.761314,0
1.05,5,9,102.408789,102.408789,0
1.05,6,9,109.969004,109.969004,0
1.05,7,9,117.537783,117.537783,0
1.05,8,9,125.079557,125.108257,0.0287
1.05,9,9,132.670607,132.758315,0.087708
1.05,10,9,140.254195,140.288975,0.03478
1.05,11,9,147.842454,147.928831,0.0863770000001
1.05,12,9,155.499521,155.604104,0.104583
1.05,13,9,163.045907,163.155851,0.109944
1.05,14,9,170.614266,170.768656,0.15439
1.05,15,9,178.216584,178.380243,0.163659
1.05,16,9,185.766193,185.943648,0.177455
1.05,17,9,193.39192,193.588234,0.196314
1.05,18,9,200.93004,201.213515,0.283475
1.05,19,9,208.610845,208.706083,0.0952380000001
1.05,20,9,216.17266,216.376176,0.203516
1.05,21,9,223.756268,223.996071,0.239803
1.05,22,9,231.371888,231.605237,0.233349
1.05,23,9,238.931695,239.159117,0.227422
1.05,24,9,246.545101,246.747588,0.202487
1.05,25,9,254.033892,254.374815,0.340923
1.05,26,9,261.594348,261.971644,0.377296
1.05,27,9,269.25611,269.653397,0.397287
1.05,28,9,276.747499,277.20318,0.455681
1.05,29,9,284.326352,284.687923,0.361571
1,0,9,72.620123,72.620123,0
1,1,9,81.472343,81.472343,0
1,2,9,90.346611,90.346611,0
1,3,9,99.157377,99.157377,0
1,4,9,108.111793,108.111793,0
1,5,9,117.007896,117.007896,0
1,6,9,125.972786,125.972786,0
1,7,9,134.805264,134.834753,0.0294890000001
1,8,9,143.640497,143.749618,0.109121
1,9,9,152.62917,152.707941,0.0787709999999
1,10,9,161.508681,161.587459,0.0787779999999
1,11,9,170.412092,170.585418,0.173326
1,12,9,179.438355,179.525644,0.0872890000001
1,13,9,188.434815,188.554955,0.12014
1,14,9,197.386049,197.508188,0.122139
1,15,9,206.273365,206.346455,0.0730899999999
1,16,9,215.294347,215.426116,0.131769
1,17,9,224.19988,224.372002,0.172122
1,18,9,232.827807,233.234847,0.40704
1,19,9,241.93669,242.200011,0.263321
1,20,9,250.866506,251.19072,0.324214
1,21,9,259.768541,260.126504,0.357963
1,22,9,268.695711,269.148579,0.452868
1,23,9,277.619405,277.887845,0.26844
1,24,9,286.5222,286.818061,0.295861
1,25,9,295.360469,295.68334,0.322871
1,26,9,304.277509,304.585392,0.307883
1,27,9,313.246761,313.564138,0.317377
1,28,9,322.234784,322.542576,0.307792
1,29,9,330.971373,331.46643,0.495057
0.95,0,9,82.964507,82.964507,0
0.95,1,9,93.575935,93.575935,0
0.95,2,9,104.224169,104.224169,0
0.95,3,9,114.911849,114.911849,0
0.95,4,9,125.778882,125.778882,0
0.95,5,9,136.389203,136.389203,0
0.95,6,9,147.18922,147.239637,0.050417
0.95,7,9,157.875152,157.991398,0.116246
0.95,8,9,168.589051,168.726176,0.137125
0.95,9,9,179.355029,179.492319,0.13729
0.95,10,9,190.14673,190.21827,0.07154
0.95,11,9,200.837744,200.968209,0.130465
0.95,12,9,211.573037,211.736488,0.163451
0.95,13,9,222.294866,222.461941,0.167075
0.95,14,9,233.030186,233.198657,0.168471
0.95,15,9,243.702417,244.009998,0.307581
0.95,16,9,254.568036,254.777204,0.209168
0.95,17,9,265.266244,265.584471,0.318227
0.95,18,9,275.923161,276.222617,0.299456
0.95,19,9,286.669954,287.106338,0.436384
0.95,20,9,297.211115,297.732481,0.521366
0.95,21,9,308.081596,308.46861,0.387014
0.95,22,9,318.844855,319.166217,0.321362
0.95,23,9,329.617595,329.893293,0.275698
0.95,24,9,340.322379,340.693451,0.371072
0.95,25,9,350.995868,351.482337,0.486469
0.95,26,9,361.702412,362.081244,0.378832
0.95,27,9,372.307177,372.915078,0.607901
0.95,28,9,383.187387,383.663641,0.476254
0.95,29,9,393.787639,394.238662,0.451023
0.9,0,9,97.018725,97.018725,0
0.9,1,9,110.277465,110.277465,0
0.9,2,9,123.458911,123.458911,0
0.9,3,9,136.728033,136.728033,0
0.9,4,9,150.117601,150.117601,0
0.9,5,9,163.274303,163.390489,0.116186
0.9,6,9,176.580361,176.755967,0.175606
0.9,7,9,189.836017,189.962551,0.126534
0.9,8,9,203.14929,203.33143,0.18214
0.9,9,9,216.48362,216.593804,0.110184
0.9,10,9,229.732501,229.900361,0.16786
0.9,11,9,243.217282,243.369656,0.152374
0.9,12,9,256.386021,256.613313,0.227292
0.9,13,9,269.64244,270.003719,0.361279
0.9,14,9,283.007422,283.35214,0.344718
0.9,15,9,296.504464,296.736566,0.232102
0.9,16,9,309.625644,309.993866,0.368222
0.9,17,9,322.866465,323.361891,0.495426
0.9,18,9,336.048172,336.623077,0.574905
0.9,19,9,349.292184,349.898998,0.606814
0.9,20,9,362.601723,363.29337,0.691647
0.9,21,9,375.845536,376.418323,0.572787
0.9,22,9,389.05978,389.625188,0.565408
0.9,23,9,402.161935,402.982943,0.821008
0.9,24,9,415.570169,416.202208,0.632039
0.9,25,9,428.785274,429.696024,0.91075
0.9,26,9,441.977829,442.907367,0.929538
0.9,27,9,455.37439,456.322688,0.948298
0.9,28,9,468.820264,469.345638,0.525374
0.9,29,9,481.987485,482.433825,0.44634
0.85,0,9,116.687426,116.687426,0
0.85,1,9,133.548934,133.548934,0
0.85,2,9,150.514648,150.514648,0
0.85,3,9,167.528318,167.598373,0.0700550000001
0.85,4,9,184.425144,184.551242,0.126098
0.85,5,9,201.480778,201.665182,0.184404
0.85,6,9,218.520053,218.698323,0.17827
0.85,7,9,235.478526,235.652976,0.17445
0.85,8,9,252.621677,252.804067,0.18239
0.85,9,9,269.574953,269.703475,0.128522
0.85,10,9,286.663008,286.882653,0.219645
0.85,11,9,303.643453,303.948458,0.305005
0.85,12,9,320.822645,320.960603,0.137958
0.85,13,9,337.804917,338.013994,0.209077
0.85,14,9,354.88259,355.045193,0.162603
0.85,15,9,371.821456,372.286688,0.465232
0.85,16,9,388.752419,389.195854,0.443435
0.85,17,9,405.67839,406.313622,0.635232
0.85,18,9,422.652588,423.267979,0.615391
0.85,19,9,439.632729,440.360411,0.727682
0.85,20,9,456.766087,457.55392,0.787833
0.85,21,9,473.847962,474.397046,0.549084
0.85,22,9,490.734582,491.450285,0.715703
0.85,23,9,507.862693,508.606061,0.743368
0.85,24,9,524.78276,525.477966,0.695206
0.85,25,9,541.886818,542.593433,0.706615
0.85,26,9,558.751013,559.53536,0.784347
0.85,27,9,575.701474,576.685396,0.983922
0.85,28,9,592.79564,593.647935,0.852295
0.85,29,9,609.224583,610.540027,1.315444
0.8,0,9,145.642069,145.642069,0
0.8,1,9,168.172479,168.172479,0
0.8,2,9,190.753858,190.81621,0.0623519999999
0.8,3,9,213.427184,213.544637,0.117453
0.8,4,9,236.22063,236.375333,0.154703
0.8,5,9,258.874024,259.091273,0.217249
0.8,6,9,281.58907,281.864555,0.275485
0.8,7,9,304.195209,304.432286,0.237077
0.8,8,9,327.097289,327.3247,0.227411
0.8,9,9,349.786216,349.950901,0.164685
0.8,10,9,372.464677,372.845927,0.38125
0.8,11,9,395.323961,395.631306,0.307345
0.8,12,9,417.909708,418.260342,0.350634
0.8,13,9,440.671089,441.197617,0.526528
0.8,14,9,463.538487,464.318838,0.780351
0.8,15,9,486.307714,487.026727,0.719013
0.8,16,9,509.041604,509.664632,0.623028
0.8,17,9,531.563906,532.612429,1.048523
0.8,18,9,554.448242,555.199159,0.750917
0.8,19,9,577.172187,578.078038,0.905851
0.8,20,9,599.549424,600.951064,1.40164
0.8,21,9,622.391484,623.878929,1.487445
0.8,22,9,644.895309,646.552393,1.657084
0.8,23,9,667.414129,669.080334,1.666205
0.8,24,9,690.151429,691.644786,1.493357
0.8,25,9,712.581861,714.381844,1.799983
0.8,26,9,735.320629,737.17481,1.854181
0.8,27,9,758.13125,759.960038,1.828788
0.8,28,9,780.665988,782.659096,1.993108
0.8,29,9,803.250228,804.960757,1.710529
