tap_index,lead_sign_stable,lead_path,sign_flip_count,monotonic_class,monotonic_violation_count,plateau_count,span_ps,endpoint_delta_ps,abs_endpoint_delta_ps,min_abs_step_ps,median_abs_step_ps,max_abs_step_ps,min_abs_50mV_step_ps,median_abs_sensitivity_ps_per_100mV,min_abs_sensitivity_ps_per_100mV,max_abs_sensitivity_ps_per_100mV,max_repeat_range_ps,step_margin_ps
0,True,LVT,0,strict_increasing,0,0,131.465568,131.465568,131.465568,1.121759,2.704345,10.622704,6.166719,27.04345,11.21759,106.22704,0,6.166719
1,True,LVT,0,strict_increasing,0,0,156.387475,156.387475,156.387475,1.270127,3.232864,12.807589,7.145375,32.32864,12.70127,128.07589,0.164599,6.980776
2,True,LVT,0,strict_increasing,0,0,181.78866,181.78866,181.78866,1.450056,3.772807,15.360776,8.12127,37.72807,14.50056,153.60776,0.21181,7.90946
3,True,LVT,0,strict_increasing,0,0,207.127019,207.127019,207.127019,1.665358,4.255771,17.479811,9.086933,42.55771,16.65358,174.79811,0.242904,8.844029
4,True,LVT,0,strict_increasing,0,0,232.499836,232.499836,232.499836,1.849967,4.731802,19.827012,10.093428,47.31802,18.49967,198.27012,0.154703,9.938725
5,True,LVT,0,strict_increasing,0,0,257.667406,257.667406,257.667406,2.061634,5.231218,21.980966,11.168788,52.31218,20.61634,219.80966,0.217249,10.951539
6,True,LVT,0,strict_increasing,0,0,282.884505,282.884505,282.884505,2.246753,5.796168,24.169734,12.166769,57.96168,22.46753,241.69734,0.275485,11.891284
7,True,LVT,0,strict_increasing,0,0,308.099252,308.099252,308.099252,2.428107,6.315508,26.562115,13.130018,63.15508,24.28107,265.62115,0.237077,12.892941
8,True,LVT,0,strict_increasing,0,0,333.313689,333.313689,333.313689,2.649634,6.680219,28.739019,14.124787,66.80219,26.49634,287.39019,0.227411,13.897376
9,True,LVT,0,strict_increasing,0,0,358.414683,358.414683,358.414683,2.799146,7.342511,30.55359,15.141389,73.42511,27.99146,305.5359,0.164685,14.976704
10,True,LVT,0,strict_increasing,0,0,383.580876,383.580876,383.580876,2.91698,7.839288,32.62522,16.085083,78.39288,29.1698,326.2522,0.38125,15.703833
11,True,LVT,0,strict_increasing,0,0,408.769443,408.769443,408.769443,3.104221,8.329292,34.850372,17.025555,83.29292,31.04221,348.50372,0.33264,16.692915
12,True,LVT,0,strict_increasing,0,0,434.236325,434.236325,434.236325,3.186894,8.788743,37.201126,18.12491,87.88743,31.86894,372.01126,0.470094,17.654816
13,True,LVT,0,strict_increasing,0,0,459.949019,459.949019,459.949019,3.432628,9.278553,39.817146,19.121251,92.78553,34.32628,398.17146,0.831864,18.289387
14,True,LVT,0,strict_increasing,0,0,485.447424,485.447424,485.447424,3.614934,9.883132,42.089996,20.132569,98.83132,36.14934,420.89996,1.192098,18.940471
15,True,LVT,0,strict_increasing,0,0,510.859945,510.859945,510.859945,3.74322,10.555981,44.438529,21.092679,105.55981,37.4322,444.38529,1.210382,19.882297
16,True,LVT,0,strict_increasing,0,0,535.954931,535.954931,535.954931,3.891469,10.98228,46.519475,22.021926,109.8228,38.91469,465.19475,1.28959,20.732336
17,True,LVT,0,strict_increasing,0,0,561.361827,561.361827,561.361827,4.066097,11.356893,48.647674,23.148114,113.56893,40.66097,486.47674,1.640858,21.507256
18,True,LVT,0,strict_increasing,0,0,586.592901,586.592901,586.592901,4.330584,11.96963,50.923265,24.05836,119.6963,43.30584,509.23265,1.458314,22.600046
19,True,LVT,0,strict_increasing,0,0,611.867881,611.867881,611.867881,4.367326,12.415894,53.089904,24.955076,124.15894,43.67326,530.89904,1.440293,23.514783
20,True,LVT,0,strict_increasing,0,0,637.40912,637.40912,637.40912,4.740134,13.00499,55.082993,26.133898,130.0499,47.40134,550.82993,1.662264,24.471634
21,True,LVT,0,strict_increasing,0,0,662.668384,662.668384,662.668384,4.928029,13.651514,57.237642,27.177582,136.51514,49.28029,572.37642,1.828173,25.349409
22,True,LVT,0,strict_increasing,0,0,687.904,687.904,687.904,4.953421,13.951182,59.45376,27.890839,139.51182,49.53421,594.5376,1.961389,25.92945
23,True,LVT,0,strict_increasing,0,0,713.171782,713.171782,713.171782,5.248796,14.363731,61.662975,28.880103,143.63731,52.48796,616.62975,2.196147,26.683956
24,True,LVT,0,strict_increasing,0,0,738.505905,738.505905,738.505905,5.305618,14.643773,63.7546,29.859778,146.43773,53.05618,637.546,2.273324,27.586454
25,True,LVT,0,strict_increasing,0,0,763.877061,763.877061,763.877061,5.489406,15.02858,66.132487,30.897323,150.2858,54.89406,661.32487,2.035291,28.862032
26,True,LVT,0,strict_increasing,0,0,788.955792,788.955792,788.955792,5.715661,15.588538,68.05002,31.947132,155.88538,57.15661,680.5002,2.143199,29.803933
27,True,LVT,0,strict_increasing,0,0,814.46932,814.46932,814.46932,5.921163,16.151164,70.311216,33.08297,161.51164,59.21163,703.11216,2.424719,30.658251
28,True,LVT,0,strict_increasing,0,0,839.703961,839.703961,839.703961,6.047009,16.469664,72.236066,34.110485,164.69664,60.47009,722.36066,2.201955,31.90853
29,True,LVT,0,strict_increasing,0,0,864.419816,864.419816,864.419816,6.137922,16.861441,74.706007,35.119264,168.61441,61.37922,747.06007,2.068707,33.050557
