vdd_v,tap_index,rvt_cross_s,lvt_cross_s,delta_signed_ps,xor_width_proxy_ps,lead_path
1.1,0,1.069020134e-09,1.010558565e-09,58.461569,58.461569,LVT
1.1,1,1.088269675e-09,1.023283949e-09,64.985726,64.985726,LVT
1.1,2,1.107572288e-09,1.036022632e-09,71.549656,71.549656,LVT
1.1,3,1.12688832e-09,1.048775095e-09,78.113225,78.113225,LVT
1.1,4,1.146218733e-09,1.061550847e-09,84.667886,84.667886,LVT
1.1,5,1.16553804e-09,1.074298039e-09,91.240001,91.240001,LVT
1.1,6,1.184878294e-09,1.087076059e-09,97.802235,97.802235,LVT
1.1,7,1.204218388e-09,1.099810623e-09,104.407765,104.407765,LVT
1.1,8,1.223543704e-09,1.112560234e-09,110.98347,110.98347,LVT
1.1,9,1.242899939e-09,1.125318458e-09,117.581481,117.581481,LVT
1.1,10,1.26226352e-09,1.13806122e-09,124.2023,124.2023,LVT
1.1,11,1.281639938e-09,1.150811045e-09,130.828893,130.828893,LVT
1.1,12,1.300948554e-09,1.16354372e-09,137.404834,137.404834,LVT
1.1,13,1.320312367e-09,1.176295987e-09,144.01638,144.01638,LVT
1.1,14,1.339647566e-09,1.189044266e-09,150.6033,150.6033,LVT
1.1,15,1.358983608e-09,1.201730463e-09,157.253145,157.253145,LVT
1.1,16,1.378311366e-09,1.214472561e-09,163.838805,163.838805,LVT
1.1,17,1.397629271e-09,1.227249316e-09,170.379955,170.379955,LVT
1.1,18,1.416992927e-09,1.239981027e-09,177.0119,177.0119,LVT
1.1,19,1.436376043e-09,1.252704267e-09,183.671776,183.671776,LVT
1.1,20,1.455650451e-09,1.265525025e-09,190.125426,190.125426,LVT
1.1,21,1.474995948e-09,1.278199626e-09,196.796322,196.796322,LVT
1.1,22,1.494388778e-09,1.290907729e-09,203.481049,203.481049,LVT
1.1,23,1.513709711e-09,1.303574622e-09,210.135089,210.135089,LVT
1.1,24,1.533111566e-09,1.316385506e-09,216.72606,216.72606,LVT
1.1,25,1.552438259e-09,1.329155226e-09,223.283033,223.283033,LVT
1.1,26,1.571716952e-09,1.341877345e-09,229.839607,229.839607,LVT
1.1,27,1.590927392e-09,1.354592825e-09,236.334567,236.334567,LVT
