probe_index,M,F,expected_q,observed_q,q_sample_1_v,q_sample_2_v,one_ck,recovery_ok,status
0,0,0,STABLE_HIGH,STABLE_HIGH,0.9499996984,0.9499995503,False,True,FAIL
1,0,0,STABLE_HIGH,STABLE_HIGH,0.9499996974,0.9499995809,False,True,FAIL
2,1,0,STABLE_HIGH,STABLE_HIGH,0.9499997003,0.9499998241,False,True,FAIL
3,1,0,STABLE_HIGH,STABLE_HIGH,0.949999701,0.9499998337,False,True,FAIL
4,2,0,STABLE_HIGH,STABLE_HIGH,0.9499996886,0.9499996916,False,True,FAIL
5,2,0,STABLE_HIGH,STABLE_HIGH,0.9499996864,0.9499996937,False,True,FAIL
6,3,0,STABLE_HIGH,STABLE_HIGH,0.9499993692,0.9499998191,False,True,FAIL
7,3,0,STABLE_HIGH,STABLE_HIGH,0.9499996775,0.9499998196,False,True,FAIL
8,4,0,STABLE_HIGH,STABLE_HIGH,0.949999701,0.9856061159,False,True,FAIL
9,4,0,STABLE_HIGH,STABLE_HIGH,0.949999688,0.9842123984,False,True,FAIL
10,5,0,STABLE_HIGH,STABLE_HIGH,0.9499997417,0.9498068681,False,True,FAIL
11,5,0,STABLE_HIGH,STABLE_HIGH,0.9499997581,0.949807606,False,True,FAIL
12,6,0,STABLE_LOW,STABLE_LOW,-1.569195005e-06,-2.509846114e-06,False,True,FAIL
13,6,0,STABLE_LOW,STABLE_LOW,-2.062989433e-06,-2.542850405e-06,False,True,FAIL
14,4,0,STABLE_HIGH,STABLE_HIGH,0.9499994823,0.9856389347,False,True,FAIL
15,4,1,STABLE_HIGH,STABLE_HIGH,0.9500000128,1.0118588768,False,True,FAIL
16,4,2,STABLE_HIGH,STABLE_HIGH,0.9499997916,0.9689721437,False,True,FAIL
17,4,3,STABLE_HIGH,STABLE_HIGH,0.9499996799,0.9479566428,False,True,FAIL
18,4,4,STABLE_HIGH,STABLE_HIGH,0.9499996767,0.9497428212,False,True,FAIL
19,4,5,STABLE_LOW,STABLE_LOW,8.735153349e-08,6.945561878e-05,False,True,FAIL
20,4,6,STABLE_LOW,STABLE_LOW,-3.193436754e-08,1.835066778e-05,False,True,FAIL
21,4,6,STABLE_LOW,STABLE_LOW,2.713832562e-07,1.951018479e-05,False,True,FAIL
