voltage,event_pair,probe_count,strict_event_order,minimum_separation_s,maximum_separation_s
0p80,RESET_RELEASE_COMPLETE__to__S_CLK_RISE,28,True,4.899999999999998e-10,4.9e-10
0p80,S_CLK_RISE__to__Q_SAMPLE_1,28,True,2.2999999999999875e-09,2.3000000000000007e-09
0p80,Q_SAMPLE_1__to__Q_SAMPLE_2,28,True,1.9999999999998856e-10,2.000000000000018e-10
0p80,Q_SAMPLE_2__to__RESET_ASSERT_START,28,True,1.9999999999998856e-10,2.000000000000018e-10
0p80,RESET_ASSERT_START__to__RESET_ASSERT_COMPLETE,28,True,9.999999999998104e-12,1.000000000001134e-11
0p80,RESET_ASSERT_COMPLETE__to__S_CLK_FALL,28,True,2.8999999999999796e-10,2.900000000000112e-10
0p80,S_CLK_FALL__to__RECOVERY_DONE,28,True,2.699999999999991e-09,2.7000000000000043e-09
0p95,RESET_RELEASE_COMPLETE__to__S_CLK_RISE,22,True,4.899999999999998e-10,4.9e-10
0p95,S_CLK_RISE__to__Q_SAMPLE_1,22,True,2.2999999999999875e-09,2.3000000000000007e-09
0p95,Q_SAMPLE_1__to__Q_SAMPLE_2,22,True,1.9999999999998856e-10,2.000000000000018e-10
0p95,Q_SAMPLE_2__to__RESET_ASSERT_START,22,True,1.9999999999998856e-10,2.000000000000018e-10
0p95,RESET_ASSERT_START__to__RESET_ASSERT_COMPLETE,22,True,9.999999999998104e-12,1.000000000001134e-11
0p95,RESET_ASSERT_COMPLETE__to__S_CLK_FALL,22,True,2.8999999999999796e-10,2.900000000000112e-10
0p95,S_CLK_FALL__to__RECOVERY_DONE,22,True,2.699999999999991e-09,2.7000000000000043e-09
1p10,RESET_RELEASE_COMPLETE__to__S_CLK_RISE,21,True,4.899999999999998e-10,4.9e-10
1p10,S_CLK_RISE__to__Q_SAMPLE_1,21,True,2.2999999999999875e-09,2.3000000000000007e-09
1p10,Q_SAMPLE_1__to__Q_SAMPLE_2,21,True,1.9999999999998856e-10,2.000000000000018e-10
1p10,Q_SAMPLE_2__to__RESET_ASSERT_START,21,True,1.9999999999998856e-10,2.000000000000018e-10
1p10,RESET_ASSERT_START__to__RESET_ASSERT_COMPLETE,21,True,9.999999999998104e-12,1.000000000001134e-11
1p10,RESET_ASSERT_COMPLETE__to__S_CLK_FALL,21,True,2.8999999999999796e-10,2.900000000000112e-10
1p10,S_CLK_FALL__to__RECOVERY_DONE,21,True,2.699999999999991e-09,2.7000000000000043e-09
