probe_index,M,F,expected_q,observed_q,q_sample_1_v,q_sample_2_v,measured_first_ck_rise_s,measured_second_ck_rise_s,physical_active_ck_ok,reset_assert_end_s,sclk_fall_s,reset_assert_physically_precedes_sclk_fall,recovery_ok,mf_constant_during_probe,status
0,0,0,STABLE_HIGH,STABLE_HIGH,1.0999996644,1.0999996638,1.516562716e-09,7.53968932e-09,True,6.0100000000000005e-09,7.000000000000001e-09,True,True,True,PASS
1,0,0,STABLE_HIGH,STABLE_HIGH,1.0999996644,1.0999996638,1.151651057e-08,1.753984374e-08,True,1.6010000000000002e-08,1.7e-08,True,True,True,PASS
2,1,0,STABLE_HIGH,STABLE_HIGH,1.099999662,1.0999996675,2.354973538e-08,2.957284774e-08,True,2.8010000000000004e-08,2.9e-08,True,True,True,PASS
3,1,0,STABLE_HIGH,STABLE_HIGH,1.0999996647,1.0999996658,3.354983301e-08,3.957263508e-08,True,3.801e-08,3.9000000000000005e-08,True,True,True,PASS
4,2,0,STABLE_HIGH,STABLE_HIGH,1.0999996617,1.0999996657,4.558282514e-08,5.160573307e-08,True,5.001e-08,5.1e-08,True,True,True,PASS
5,2,0,STABLE_HIGH,STABLE_HIGH,1.0999996662,1.0999996663,5.558269641e-08,6.160567363e-08,True,6.001e-08,6.1e-08,True,True,True,PASS
6,3,0,STABLE_HIGH,STABLE_HIGH,1.0999997098,1.0999995426,6.761596524e-08,7.36388737e-08,True,7.201000000000001e-08,7.3e-08,True,True,True,PASS
7,3,0,STABLE_HIGH,STABLE_HIGH,1.0999997588,1.0999996111,7.761581077e-08,8.363902514e-08,True,8.201e-08,8.3e-08,True,True,True,PASS
8,4,0,STABLE_LOW,STABLE_LOW,8.410494502e-07,-3.642637153e-07,8.964911353e-08,9.567201967e-08,True,9.401e-08,9.5e-08,True,True,True,PASS
9,4,0,STABLE_LOW,STABLE_LOW,1.938365641e-08,3.347547844e-07,9.964891133e-08,1.056719529e-07,True,1.0401e-07,1.05e-07,True,True,True,PASS
10,2,0,STABLE_HIGH,STABLE_HIGH,1.099999665,1.0999996638,1.135826919e-07,1.196058271e-07,True,1.1801000000000001e-07,1.1900000000000001e-07,True,True,True,PASS
11,2,1,STABLE_HIGH,STABLE_HIGH,1.0999996599,1.0999996595,1.255883505e-07,1.316113312e-07,True,1.3001e-07,1.31e-07,True,True,True,PASS
12,2,2,STABLE_HIGH,STABLE_HIGH,1.0999996386,1.0999996362,1.375941392e-07,1.436169903e-07,True,1.4201e-07,1.43e-07,True,True,True,PASS
13,2,3,STABLE_HIGH,STABLE_HIGH,1.099999659,1.0999996724,1.496005992e-07,1.556234183e-07,True,1.5401000000000001e-07,1.55e-07,True,True,True,PASS
14,2,4,STABLE_HIGH,STABLE_HIGH,1.0999996565,1.0999996567,1.616071037e-07,1.676301249e-07,True,1.6601000000000002e-07,1.67e-07,True,True,True,PASS
15,2,5,STABLE_HIGH,STABLE_HIGH,1.0999996591,1.0999996587,1.736140525e-07,1.796369026e-07,True,1.7801000000000002e-07,1.79e-07,True,True,True,PASS
16,2,6,STABLE_HIGH,STABLE_HIGH,1.0999996278,1.0999997204,1.856207405e-07,1.916435501e-07,True,1.9001000000000002e-07,1.91e-07,True,True,True,PASS
17,2,7,STABLE_HIGH,STABLE_HIGH,1.0999996964,1.0999996389,1.976275485e-07,2.036505986e-07,True,2.0201000000000002e-07,2.03e-07,True,True,True,PASS
18,2,8,STABLE_LOW,STABLE_LOW,1.751910287e-07,1.782832806e-07,2.096347545e-07,2.156574276e-07,True,2.1401000000000002e-07,2.15e-07,True,True,True,PASS
19,2,9,STABLE_LOW,STABLE_LOW,2.343968621e-07,1.005808717e-07,2.216420141e-07,2.276650025e-07,True,2.2601000000000002e-07,2.27e-07,True,True,True,PASS
20,2,9,STABLE_LOW,STABLE_LOW,1.182712457e-07,1.24635893e-07,2.316417694e-07,2.376646753e-07,True,2.3601000000000003e-07,2.3700000000000002e-07,True,True,True,PASS
