transition_index,operation_index,M_before,M_after,F_before,F_after,reset_asserted,sclk_low,one_thermometer_step,settle_two_cycles_ok,configuration_ck_edge_count,quiet_window_ok,status
0,2,0,1,0,0,True,True,True,True,0,True,PASS
1,5,1,2,0,0,True,True,True,True,0,True,PASS
2,8,2,3,0,0,True,True,True,True,0,True,PASS
3,11,3,4,0,0,True,True,True,True,0,True,PASS
4,14,4,5,0,0,True,True,True,True,0,True,PASS
5,17,5,6,0,0,True,True,True,True,0,True,PASS
6,20,6,5,0,0,True,True,True,True,0,True,PASS
7,21,5,4,0,0,True,True,True,True,0,True,PASS
8,23,4,4,0,1,True,True,True,True,0,True,PASS
9,25,4,4,1,2,True,True,True,True,0,True,PASS
10,27,4,4,2,3,True,True,True,True,0,True,PASS
11,29,4,4,3,4,True,True,True,True,0,True,PASS
12,31,4,4,4,5,True,True,True,True,0,True,PASS
13,33,4,4,5,6,True,True,True,True,0,True,PASS
