probe_index,M,F,expected_q,observed_q,q_sample_1_v,q_sample_2_v,measured_first_ck_rise_s,measured_second_ck_rise_s,physical_active_ck_ok,reset_assert_end_s,sclk_fall_s,reset_assert_physically_precedes_sclk_fall,recovery_ok,mf_constant_during_probe,status
0,0,0,STABLE_HIGH,STABLE_HIGH,0.9499996979,0.9499997005,3.175065689e-09,1.321093838e-08,True,1.001e-08,1.25e-08,True,True,True,PASS
1,0,0,STABLE_HIGH,STABLE_HIGH,0.9499996988,0.9499997002,2.067534769e-08,3.071107958e-08,True,2.7510000000000003e-08,3.0000000000000004e-08,True,True,True,PASS
2,1,0,STABLE_HIGH,STABLE_HIGH,0.9499996993,0.9499997014,4.071889215e-08,5.07547385e-08,True,4.751e-08,5e-08,True,True,True,PASS
3,1,0,STABLE_HIGH,STABLE_HIGH,0.9499996981,0.9499997027,5.821877613e-08,6.825492892e-08,True,6.501e-08,6.75e-08,True,True,True,PASS
4,2,0,STABLE_HIGH,STABLE_HIGH,0.9499997046,0.9499997053,7.826288403e-08,8.829865688e-08,True,8.501e-08,8.75e-08,True,True,True,PASS
5,2,0,STABLE_HIGH,STABLE_HIGH,0.9499997045,0.9499997083,9.576264192e-08,1.057988845e-07,True,1.0251e-07,1.05e-07,True,True,True,PASS
6,3,0,STABLE_HIGH,STABLE_HIGH,0.9499996935,0.9499996891,1.158065398e-07,1.258425984e-07,True,1.2251e-07,1.25e-07,True,True,True,PASS
7,3,0,STABLE_HIGH,STABLE_HIGH,0.9499996971,0.9499995619,1.333065145e-07,1.433427807e-07,True,1.4001000000000002e-07,1.425e-07,True,True,True,PASS
8,4,0,STABLE_HIGH,STABLE_HIGH,0.9499996794,0.9499996892,1.533505116e-07,1.633867853e-07,True,1.6001000000000001e-07,1.625e-07,True,True,True,PASS
9,4,0,STABLE_HIGH,STABLE_HIGH,0.9499996116,0.9499997128,1.708502201e-07,1.808867422e-07,True,1.7751e-07,1.8e-07,True,True,True,PASS
10,5,0,STABLE_HIGH,STABLE_HIGH,0.94999969,0.9499997005,1.908942383e-07,2.009301023e-07,True,1.9751000000000003e-07,2e-07,True,True,True,PASS
11,5,0,STABLE_HIGH,STABLE_HIGH,0.9499998895,0.9499996529,2.083940937e-07,2.184299366e-07,True,2.1501000000000002e-07,2.175e-07,True,True,True,PASS
12,6,0,STABLE_LOW,STABLE_LOW,1.302464009e-06,-7.595681313e-07,2.284380195e-07,2.384740541e-07,True,2.3501e-07,2.375e-07,True,True,True,PASS
13,6,0,STABLE_LOW,STABLE_LOW,1.221971032e-06,-4.006055052e-06,2.45937983e-07,2.55974397e-07,True,2.5251000000000003e-07,2.55e-07,True,True,True,PASS
14,4,0,STABLE_HIGH,STABLE_HIGH,0.9500000933,0.9499996953,2.683503653e-07,2.783866079e-07,True,2.7501e-07,2.775e-07,True,True,True,PASS
15,4,1,STABLE_HIGH,STABLE_HIGH,0.9499995977,0.9499993427,2.883557142e-07,2.983918706e-07,True,2.9501e-07,2.975e-07,True,True,True,PASS
16,4,2,STABLE_HIGH,STABLE_HIGH,0.9499996907,0.9499996995,3.083621318e-07,3.183984246e-07,True,3.1501e-07,3.1750000000000003e-07,True,True,True,PASS
17,4,3,STABLE_HIGH,STABLE_HIGH,0.9499999018,0.9499996964,3.283687558e-07,3.384047987e-07,True,3.3501000000000003e-07,3.375e-07,True,True,True,PASS
18,4,4,STABLE_HIGH,STABLE_HIGH,0.9499997315,0.9499994956,3.483755087e-07,3.584114561e-07,True,3.5501e-07,3.575e-07,True,True,True,PASS
19,4,5,STABLE_LOW,STABLE_LOW,2.533935378e-07,-9.768049817e-08,3.683832671e-07,3.784192009e-07,True,3.7501e-07,3.775e-07,True,True,True,PASS
20,4,6,STABLE_LOW,STABLE_LOW,2.977809201e-07,-1.923325634e-07,3.883908201e-07,3.984269667e-07,True,3.9501000000000004e-07,3.975e-07,True,True,True,PASS
21,4,6,STABLE_LOW,STABLE_LOW,6.77401109e-07,-3.741297878e-07,4.058906807e-07,4.159266458e-07,True,4.1251000000000003e-07,4.15e-07,True,True,True,PASS
