scenario,mode,vdd_v,initial_rvt_stages,initial_lvt_stages,capture_phase_s,sample_time_s,rvt_crossings_s,lvt_crossings_s,vdd_a_min_v,raw_xor_word,latch_word,captured_xor_word,corrected_xor_word,raw_bubble_count,start_index,end_index,one_run_length,valid,run_count,bubble_count,touches_left_boundary,touches_right_boundary,phase_id,phase_multiplier,case_id,glitch_depth_v,glitch_width_s,glitch_start_s,glitch_onset_rel_s,full_word_changed,encoded_state_changed,boundary_distance
scenarios/000_glitch_medium_200mv_200ps_phi_m04_o0000_v1p100000000000,capture,1.1,4,0,2.4512626e-10,1.2451262600000001e-09,"[1.068081343e-09,1.087320758e-09,1.10662463e-09,1.125954334e-09,1.145299344e-09,1.164646803e-09,1.183982275e-09,1.203293762e-09,1.2226357e-09,1.241987012e-09,1.261370644e-09,1.280716018e-09,1.300070028e-09,1.319386231e-09,1.338712974e-09,1.358064841e-09,1.377418489e-09,1.396768509e-09,1.416059792e-09,1.435424475e-09,1.454753e-09,1.474096132e-09,1.4934261e-09,1.51277217e-09,1.532014897e-09,1.551347778e-09,1.570644883e-09,1.589995074e-09,1.609210512e-09,1.627297257e-09]","[1.00976677e-09,1.022339886e-09,1.035115895e-09,1.047878782e-09,1.060603099e-09,1.073353874e-09,1.086126812e-09,1.098866289e-09,1.111588442e-09,1.124368606e-09,1.13711629e-09,1.149865294e-09,1.16261327e-09,1.175363084e-09,1.188116813e-09,1.200810676e-09,1.213594595e-09,1.226318083e-09,1.239034798e-09,1.251683026e-09,1.264480906e-09,1.277192029e-09,1.289952312e-09,1.3027121e-09,1.315436569e-09,1.328188179e-09,1.340903339e-09,1.353634654e-09,1.366356378e-09,1.377884058e-09]",0.9,000000000111111110000000000000,000000011111111000000000000000,000000001111111000000000000000,000000001111111000000000000000,0,8,14,7,1,1,0,0,0,phi_m04,-4,medium_200mv_200ps,0.2,2e-10,8e-10,-2e-10,0,0,0
scenarios/001_glitch_medium_200mv_200ps_phi_m02_o0001_v1p100000000000,capture,1.1,4,0,2.7256313e-10,1.27256313e-09,"[1.068081343e-09,1.087320758e-09,1.10662463e-09,1.125954334e-09,1.145299344e-09,1.164646803e-09,1.183982275e-09,1.203293762e-09,1.2226357e-09,1.241987012e-09,1.261346624e-09,1.280653664e-09,1.299987036e-09,1.319339043e-09,1.338692098e-09,1.358045847e-09,1.37732476e-09,1.396745621e-09,1.415912372e-09,1.435220713e-09,1.454593248e-09,1.473891401e-09,1.493331352e-09,1.512593055e-09,1.531999993e-09,1.551269191e-09,1.570560604e-09,1.589897121e-09,1.609150613e-09,1.627277469e-09]","[1.00976677e-09,1.022339886e-09,1.035115895e-09,1.047878782e-09,1.060603099e-09,1.073353874e-09,1.086126812e-09,1.098866289e-09,1.111588442e-09,1.124368606e-09,1.13711629e-09,1.149865294e-09,1.16261327e-09,1.175363084e-09,1.188116813e-09,1.200810676e-09,1.213594595e-09,1.226318083e-09,1.239034798e-09,1.251788395e-09,1.264426669e-09,1.277083845e-09,1.289898588e-09,1.302618664e-09,1.315357266e-09,1.328120969e-09,1.340879789e-09,1.353607253e-09,1.366348581e-09,1.377792836e-09]",0.9,000000000011111111100000000000,000000000111111110000000000000,000000000111111110000000000000,000000000111111110000000000000,0,9,16,8,1,1,0,0,0,phi_m02,-2,medium_200mv_200ps,0.2,2e-10,8e-10,-2e-10,0,0,0
scenarios/002_glitch_medium_200mv_200ps_phi_p00_o0002_v1p100000000000,capture,1.1,4,0,3e-10,1.3e-09,"[1.068081343e-09,1.087320758e-09,1.10662463e-09,1.125954334e-09,1.145299344e-09,1.164646803e-09,1.183982275e-09,1.203293762e-09,1.2226357e-09,1.241987012e-09,1.261346624e-09,1.280695518e-09,1.300027716e-09,1.31942194e-09,1.338765643e-09,1.358074829e-09,1.37743945e-09,1.396793593e-09,1.416093149e-09,1.435330945e-09,1.454587269e-09,1.47389309e-09,1.493173508e-09,1.512553947e-09,1.531862425e-09,1.551169061e-09,1.570426859e-09,1.589747495e-09,1.609107613e-09,1.627091652e-09]","[1.00976677e-09,1.022339886e-09,1.035115895e-09,1.047878782e-09,1.060603099e-09,1.073353874e-09,1.086126812e-09,1.098866289e-09,1.111588442e-09,1.124368606e-09,1.13711629e-09,1.149865294e-09,1.16261327e-09,1.175363084e-09,1.188116813e-09,1.200810676e-09,1.213594595e-09,1.226318083e-09,1.239034798e-09,1.251788395e-09,1.264426669e-09,1.2772259e-09,1.289975486e-09,1.302619364e-09,1.315386058e-09,1.32816795e-09,1.340918505e-09,1.353596451e-09,1.366308164e-09,1.377856085e-09]",0.9,000000000000111111111000000000,000000000011111111100000000000,000000000001111111100000000000,000000000001111111100000000000,0,11,18,8,1,1,0,0,0,phi_p00,0,medium_200mv_200ps,0.2,2e-10,8e-10,-2e-10,1,1,1
scenarios/003_glitch_medium_200mv_200ps_phi_p02_o0003_v1p100000000000,capture,1.1,4,0,3.2743686999999997e-10,1.32743687e-09,"[1.068081343e-09,1.087320758e-09,1.10662463e-09,1.125954334e-09,1.145299344e-09,1.164646803e-09,1.183982275e-09,1.203293762e-09,1.2226357e-09,1.241987012e-09,1.261346624e-09,1.280695518e-09,1.300050871e-09,1.319376227e-09,1.338768351e-09,1.358117957e-09,1.377435133e-09,1.396784666e-09,1.416147585e-09,1.435483028e-09,1.454811675e-09,1.474165496e-09,1.493527765e-09,1.512825143e-09,1.532079266e-09,1.551487137e-09,1.570809916e-09,1.590173095e-09,1.60944885e-09,1.627537884e-09]","[1.00976677e-09,1.022339886e-09,1.035115895e-09,1.047878782e-09,1.060603099e-09,1.073353874e-09,1.086126812e-09,1.098866289e-09,1.111588442e-09,1.124368606e-09,1.13711629e-09,1.149865294e-09,1.16261327e-09,1.175363084e-09,1.188116813e-09,1.200810676e-09,1.213594595e-09,1.226318083e-09,1.239034798e-09,1.251788395e-09,1.264426669e-09,1.2772259e-09,1.289975486e-09,1.30265596e-09,1.315462123e-09,1.3281139e-09,1.340888344e-09,1.353655419e-09,1.366406887e-09,1.377899933e-09]",0.9,000000000000011111111110000000,000000000000111111111000000000,000000000000111111111000000000,000000000000111111111000000000,0,12,20,9,1,1,0,0,0,phi_p02,2,medium_200mv_200ps,0.2,2e-10,8e-10,-2e-10,0,0,0
scenarios/004_glitch_medium_200mv_200ps_phi_p04_o0004_v1p100000000000,capture,1.1,4,0,3.5487374e-10,1.35487374e-09,"[1.068081343e-09,1.087320758e-09,1.10662463e-09,1.125954334e-09,1.145299344e-09,1.164646803e-09,1.183982275e-09,1.203293762e-09,1.2226357e-09,1.241987012e-09,1.261346624e-09,1.280695518e-09,1.300050871e-09,1.319376227e-09,1.338741731e-09,1.358049336e-09,1.377447141e-09,1.396829326e-09,1.416145067e-09,1.435476414e-09,1.454847111e-09,1.474218256e-09,1.493429752e-09,1.512796857e-09,1.532187181e-09,1.551489596e-09,1.570758489e-09,1.590125413e-09,1.609470891e-09,1.627557458e-09]","[1.00976677e-09,1.022339886e-09,1.035115895e-09,1.047878782e-09,1.060603099e-09,1.073353874e-09,1.086126812e-09,1.098866289e-09,1.111588442e-09,1.124368606e-09,1.13711629e-09,1.149865294e-09,1.16261327e-09,1.175363084e-09,1.188116813e-09,1.200810676e-09,1.213594595e-09,1.226318083e-09,1.239034798e-09,1.251788395e-09,1.264426669e-09,1.2772259e-09,1.289975486e-09,1.30265596e-09,1.315462123e-09,1.32815551e-09,1.340858582e-09,1.353603552e-09,1.366305571e-09,1.377837385e-09]",0.9,000000000000000111111111110000,000000000000011111111110000000,000000000000011111111111000000,000000000000011111111111000000,0,13,23,11,1,1,0,0,0,phi_p04,4,medium_200mv_200ps,0.2,2e-10,8e-10,-2e-10,1,1,1
scenarios/005_glitch_medium_200mv_200ps_phi_m04_o0005_v1p100000000000,capture,1.1,4,0,2.4512626e-10,1.2451262600000001e-09,"[1.070762933e-09,1.090000733e-09,1.109308275e-09,1.12861958e-09,1.147965163e-09,1.167318251e-09,1.186655598e-09,1.206005776e-09,1.225343982e-09,1.244670548e-09,1.264020455e-09,1.283399051e-09,1.302755769e-09,1.322090471e-09,1.341400328e-09,1.36076858e-09,1.380114371e-09,1.399497053e-09,1.418894979e-09,1.438253698e-09,1.457665517e-09,1.477008747e-09,1.496348081e-09,1.515690441e-09,1.535037089e-09,1.554334405e-09,1.57369379e-09,1.593086267e-09,1.612436773e-09,1.63041233e-09]","[1.013539143e-09,1.025088708e-09,1.037806162e-09,1.050563005e-09,1.063288848e-09,1.07603438e-09,1.088814222e-09,1.101552247e-09,1.114278989e-09,1.127056296e-09,1.139803674e-09,1.152529028e-09,1.165294048e-09,1.178047207e-09,1.190792191e-09,1.203543538e-09,1.216300719e-09,1.229008768e-09,1.241769944e-09,1.254456774e-09,1.267199692e-09,1.279952112e-09,1.292704033e-09,1.305452283e-09,1.318177104e-09,1.330919141e-09,1.343588495e-09,1.356389587e-09,1.369118857e-09,1.38055339e-09]",0.9,000000000111111110000000000000,000000011111111000000000000000,000000001111111000000000000000,000000001111111000000000000000,0,8,14,7,1,1,0,0,0,phi_m04,-4,medium_200mv_200ps,0.2,2e-10,8.137184350000001e-10,-1.86281565e-10,0,0,0
scenarios/006_glitch_medium_200mv_200ps_phi_m02_o0006_v1p100000000000,capture,1.1,4,0,2.7256313e-10,1.27256313e-09,"[1.070762933e-09,1.090000733e-09,1.109308275e-09,1.12861958e-09,1.147965163e-09,1.167318251e-09,1.186655598e-09,1.206005776e-09,1.225343982e-09,1.244705764e-09,1.263946077e-09,1.28330119e-09,1.302646529e-09,1.321999338e-09,1.341354156e-09,1.360702196e-09,1.379979037e-09,1.399359002e-09,1.418735574e-09,1.438071028e-09,1.457456006e-09,1.476712362e-09,1.496122574e-09,1.515403497e-09,1.534727912e-09,1.554030726e-09,1.573398756e-09,1.592737129e-09,1.612037279e-09,1.630100104e-09]","[1.013539143e-09,1.025088708e-09,1.037806162e-09,1.050563005e-09,1.063288848e-09,1.07603438e-09,1.088814222e-09,1.101552247e-09,1.114278989e-09,1.127056296e-09,1.139803674e-09,1.152529028e-09,1.165294048e-09,1.178047207e-09,1.190792191e-09,1.203543538e-09,1.216300719e-09,1.229008768e-09,1.241769944e-09,1.254542361e-09,1.267220304e-09,1.279909548e-09,1.292702312e-09,1.305425643e-09,1.318165117e-09,1.330925465e-09,1.343681978e-09,1.356408455e-09,1.369089672e-09,1.380560743e-09]",0.9,000000000011111111100000000000,000000000111111110000000000000,000000000111111110000000000000,000000000111111110000000000000,0,9,16,8,1,1,0,0,0,phi_m02,-2,medium_200mv_200ps,0.2,2e-10,8.137184350000001e-10,-1.86281565e-10,0,0,0
scenarios/007_glitch_medium_200mv_200ps_phi_p00_o0007_v1p100000000000,capture,1.1,4,0,3e-10,1.3e-09,"[1.070762933e-09,1.090000733e-09,1.109308275e-09,1.12861958e-09,1.147965163e-09,1.167318251e-09,1.186655598e-09,1.206005776e-09,1.225343982e-09,1.244705764e-09,1.263946077e-09,1.283311225e-09,1.302546302e-09,1.32196823e-09,1.341313239e-09,1.360659412e-09,1.379966442e-09,1.39937356e-09,1.418736075e-09,1.438072893e-09,1.457402669e-09,1.476704506e-09,1.49604342e-09,1.515353381e-09,1.534685288e-09,1.554016796e-09,1.573378063e-09,1.592765038e-09,1.61212112e-09,1.630179757e-09]","[1.013539143e-09,1.025088708e-09,1.037806162e-09,1.050563005e-09,1.063288848e-09,1.07603438e-09,1.088814222e-09,1.101552247e-09,1.114278989e-09,1.127056296e-09,1.139803674e-09,1.152529028e-09,1.165294048e-09,1.178047207e-09,1.190792191e-09,1.203543538e-09,1.216300719e-09,1.229008768e-09,1.241769944e-09,1.254542361e-09,1.267220304e-09,1.279985014e-09,1.292738186e-09,1.305331639e-09,1.31810284e-09,1.330879396e-09,1.343629916e-09,1.35635615e-09,1.369100005e-09,1.380529369e-09]",0.9,000000000000111111111000000000,000000000011111111100000000000,000000000011111111100000000000,000000000011111111100000000000,0,10,18,9,1,1,0,0,0,phi_p00,0,medium_200mv_200ps,0.2,2e-10,8.137184350000001e-10,-1.86281565e-10,0,0,0
scenarios/008_glitch_medium_200mv_200ps_phi_p02_o0008_v1p100000000000,capture,1.1,4,0,3.2743686999999997e-10,1.32743687e-09,"[1.070762933e-09,1.090000733e-09,1.109308275e-09,1.12861958e-09,1.147965163e-09,1.167318251e-09,1.186655598e-09,1.206005776e-09,1.225343982e-09,1.244705764e-09,1.263946077e-09,1.283311225e-09,1.302603913e-09,1.321884882e-09,1.341224692e-09,1.36055367e-09,1.379886398e-09,1.399203355e-09,1.418567002e-09,1.437906141e-09,1.457208813e-09,1.476572831e-09,1.49595519e-09,1.515232769e-09,1.534453311e-09,1.553763805e-09,1.573120895e-09,1.592448977e-09,1.611789962e-09,1.629782607e-09]","[1.013539143e-09,1.025088708e-09,1.037806162e-09,1.050563005e-09,1.063288848e-09,1.07603438e-09,1.088814222e-09,1.101552247e-09,1.114278989e-09,1.127056296e-09,1.139803674e-09,1.152529028e-09,1.165294048e-09,1.178047207e-09,1.190792191e-09,1.203543538e-09,1.216300719e-09,1.229008768e-09,1.241769944e-09,1.254542361e-09,1.267220304e-09,1.279985014e-09,1.292738186e-09,1.305444031e-09,1.318123192e-09,1.330841723e-09,1.343637069e-09,1.356366059e-09,1.369139423e-09,1.38060838e-09]",0.9,000000000000011111111110000000,000000000000111111111000000000,000000000000111111111000000000,000000000000111111111000000000,0,12,20,9,1,1,0,0,0,phi_p02,2,medium_200mv_200ps,0.2,2e-10,8.137184350000001e-10,-1.86281565e-10,0,0,0
scenarios/009_glitch_medium_200mv_200ps_phi_p04_o0009_v1p100000000000,capture,1.1,4,0,3.5487374e-10,1.35487374e-09,"[1.070762933e-09,1.090000733e-09,1.109308275e-09,1.12861958e-09,1.147965163e-09,1.167318251e-09,1.186655598e-09,1.206005776e-09,1.225343982e-09,1.244705764e-09,1.263946077e-09,1.283311225e-09,1.302603913e-09,1.321884882e-09,1.34117549e-09,1.360405161e-09,1.379804069e-09,1.399160189e-09,1.418460224e-09,1.437895339e-09,1.45715675e-09,1.476456386e-09,1.495675376e-09,1.514928781e-09,1.534339716e-09,1.553673573e-09,1.572952441e-09,1.592306527e-09,1.611691767e-09,1.629770866e-09]","[1.013539143e-09,1.025088708e-09,1.037806162e-09,1.050563005e-09,1.063288848e-09,1.07603438e-09,1.088814222e-09,1.101552247e-09,1.114278989e-09,1.127056296e-09,1.139803674e-09,1.152529028e-09,1.165294048e-09,1.178047207e-09,1.190792191e-09,1.203543538e-09,1.216300719e-09,1.229008768e-09,1.241769944e-09,1.254542361e-09,1.267220304e-09,1.279985014e-09,1.292738186e-09,1.305444031e-09,1.318123192e-09,1.330958561e-09,1.343667312e-09,1.356335629e-09,1.369120597e-09,1.380613932e-09]",0.9,000000000000000111111111100000,000000000000011111111110000000,000000000000011111111110000000,000000000000011111111110000000,0,13,22,10,1,1,0,0,0,phi_p04,4,medium_200mv_200ps,0.2,2e-10,8.137184350000001e-10,-1.86281565e-10,0,0,0
