scenario,mode,vdd_v,initial_rvt_stages,initial_lvt_stages,capture_phase_s,sample_time_s,rvt_crossings_s,lvt_crossings_s,vdd_a_min_v,raw_xor_word,latch_word,captured_xor_word,corrected_xor_word,raw_bubble_count,start_index,end_index,one_run_length,valid,run_count,bubble_count,touches_left_boundary,touches_right_boundary,phase_id,phase_multiplier,case_id,glitch_depth_v,glitch_width_s,glitch_start_s,glitch_onset_rel_s,full_word_changed,encoded_state_changed,boundary_distance,jitter_boundary_distance,jitter_envelope,jitter_aware_detected
scenarios/000_glitch_medium_200mv_200ps_phi_m04_o0000_v1p100000000000,capture,1.1,4,0,2.4512626e-10,1.2451262600000001e-09,"[1.068081343e-09,1.087320758e-09,1.10662463e-09,1.125954334e-09,1.145299344e-09,1.164646803e-09,1.183982275e-09,1.203293762e-09,1.2226357e-09,1.241987012e-09,1.261370644e-09,1.280716018e-09,1.300070028e-09,1.319386231e-09,1.338712974e-09,1.358064841e-09,1.377418489e-09,1.396768509e-09,1.416059792e-09,1.435424475e-09,1.454753e-09,1.474096132e-09,1.4934261e-09,1.51277217e-09,1.532014897e-09,1.551347778e-09,1.570644883e-09,1.589995074e-09,1.609210512e-09,1.627297257e-09]","[1.00976677e-09,1.022339886e-09,1.035115895e-09,1.047878782e-09,1.060603099e-09,1.073353874e-09,1.086126812e-09,1.098866289e-09,1.111588442e-09,1.124368606e-09,1.13711629e-09,1.149865294e-09,1.16261327e-09,1.175363084e-09,1.188116813e-09,1.200810676e-09,1.213594595e-09,1.226318083e-09,1.239034798e-09,1.251683026e-09,1.264480906e-09,1.277192029e-09,1.289952312e-09,1.3027121e-09,1.315436569e-09,1.328188179e-09,1.340903339e-09,1.353634654e-09,1.366356378e-09,1.377884058e-09]",0.9,000000000111111110000000000000,000000011111111000000000000000,000000001111111000000000000000,000000001111111000000000000000,0,8,14,7,1,1,0,0,0,phi_m04,-4,medium_200mv_200ps,0.2,2e-10,8e-10,-2e-10,0,0,0,0,2,0
scenarios/004_glitch_medium_200mv_200ps_phi_p04_o0004_v1p100000000000,capture,1.1,4,0,3.5487374e-10,1.35487374e-09,"[1.068081343e-09,1.087320758e-09,1.10662463e-09,1.125954334e-09,1.145299344e-09,1.164646803e-09,1.183982275e-09,1.203293762e-09,1.2226357e-09,1.241987012e-09,1.261346624e-09,1.280695518e-09,1.300050871e-09,1.319376227e-09,1.338741731e-09,1.358049336e-09,1.377447141e-09,1.396829326e-09,1.416145067e-09,1.435476414e-09,1.454847111e-09,1.474218256e-09,1.493429752e-09,1.512796857e-09,1.532187181e-09,1.551489596e-09,1.570758489e-09,1.590125413e-09,1.609470891e-09,1.627557458e-09]","[1.00976677e-09,1.022339886e-09,1.035115895e-09,1.047878782e-09,1.060603099e-09,1.073353874e-09,1.086126812e-09,1.098866289e-09,1.111588442e-09,1.124368606e-09,1.13711629e-09,1.149865294e-09,1.16261327e-09,1.175363084e-09,1.188116813e-09,1.200810676e-09,1.213594595e-09,1.226318083e-09,1.239034798e-09,1.251788395e-09,1.264426669e-09,1.2772259e-09,1.289975486e-09,1.30265596e-09,1.315462123e-09,1.32815551e-09,1.340858582e-09,1.353603552e-09,1.366305571e-09,1.377837385e-09]",0.9,000000000000000111111111110000,000000000000011111111110000000,000000000000011111111111000000,000000000000011111111111000000,0,13,23,11,1,1,0,0,0,phi_p04,4,medium_200mv_200ps,0.2,2e-10,8e-10,-2e-10,1,1,1,1,2,0
scenarios/005_glitch_medium_200mv_200ps_phi_m04_o0005_v1p100000000000,capture,1.1,4,0,2.4512626e-10,1.2451262600000001e-09,"[1.070762933e-09,1.090000733e-09,1.109308275e-09,1.12861958e-09,1.147965163e-09,1.167318251e-09,1.186655598e-09,1.206005776e-09,1.225343982e-09,1.244670548e-09,1.264020455e-09,1.283399051e-09,1.302755769e-09,1.322090471e-09,1.341400328e-09,1.36076858e-09,1.380114371e-09,1.399497053e-09,1.418894979e-09,1.438253698e-09,1.457665517e-09,1.477008747e-09,1.496348081e-09,1.515690441e-09,1.535037089e-09,1.554334405e-09,1.57369379e-09,1.593086267e-09,1.612436773e-09,1.63041233e-09]","[1.013539143e-09,1.025088708e-09,1.037806162e-09,1.050563005e-09,1.063288848e-09,1.07603438e-09,1.088814222e-09,1.101552247e-09,1.114278989e-09,1.127056296e-09,1.139803674e-09,1.152529028e-09,1.165294048e-09,1.178047207e-09,1.190792191e-09,1.203543538e-09,1.216300719e-09,1.229008768e-09,1.241769944e-09,1.254456774e-09,1.267199692e-09,1.279952112e-09,1.292704033e-09,1.305452283e-09,1.318177104e-09,1.330919141e-09,1.343588495e-09,1.356389587e-09,1.369118857e-09,1.38055339e-09]",0.9,000000000111111110000000000000,000000011111111000000000000000,000000001111111000000000000000,000000001111111000000000000000,0,8,14,7,1,1,0,0,0,phi_m04,-4,medium_200mv_200ps,0.2,2e-10,8.137184350000001e-10,-1.86281565e-10,0,0,0,0,2,0
scenarios/009_glitch_medium_200mv_200ps_phi_p04_o0009_v1p100000000000,capture,1.1,4,0,3.5487374e-10,1.35487374e-09,"[1.070762933e-09,1.090000733e-09,1.109308275e-09,1.12861958e-09,1.147965163e-09,1.167318251e-09,1.186655598e-09,1.206005776e-09,1.225343982e-09,1.244705764e-09,1.263946077e-09,1.283311225e-09,1.302603913e-09,1.321884882e-09,1.34117549e-09,1.360405161e-09,1.379804069e-09,1.399160189e-09,1.418460224e-09,1.437895339e-09,1.45715675e-09,1.476456386e-09,1.495675376e-09,1.514928781e-09,1.534339716e-09,1.553673573e-09,1.572952441e-09,1.592306527e-09,1.611691767e-09,1.629770866e-09]","[1.013539143e-09,1.025088708e-09,1.037806162e-09,1.050563005e-09,1.063288848e-09,1.07603438e-09,1.088814222e-09,1.101552247e-09,1.114278989e-09,1.127056296e-09,1.139803674e-09,1.152529028e-09,1.165294048e-09,1.178047207e-09,1.190792191e-09,1.203543538e-09,1.216300719e-09,1.229008768e-09,1.241769944e-09,1.254542361e-09,1.267220304e-09,1.279985014e-09,1.292738186e-09,1.305444031e-09,1.318123192e-09,1.330958561e-09,1.343667312e-09,1.356335629e-09,1.369120597e-09,1.380613932e-09]",0.9,000000000000000111111111100000,000000000000011111111110000000,000000000000011111111110000000,000000000000011111111110000000,0,13,22,10,1,1,0,0,0,phi_p04,4,medium_200mv_200ps,0.2,2e-10,8.137184350000001e-10,-1.86281565e-10,0,0,0,0,2,0
scenarios/010_glitch_medium_200mv_200ps_phi_m04_o0010_v1p100000000000,capture,1.1,4,0,2.4512626e-10,1.2451262600000001e-09,"[1.076101629e-09,1.095365965e-09,1.11467838e-09,1.134019936e-09,1.15335328e-09,1.172714004e-09,1.192065044e-09,1.211401003e-09,1.230750061e-09,1.250044355e-09,1.269432142e-09,1.288740419e-09,1.308064587e-09,1.327402697e-09,1.346724387e-09,1.366104746e-09,1.385436988e-09,1.404861281e-09,1.424200319e-09,1.443526563e-09,1.462830351e-09,1.48215127e-09,1.501467107e-09,1.520807553e-09,1.540159424e-09,1.559432297e-09,1.578827051e-09,1.598092342e-09,1.617412716e-09,1.635505625e-09]","[1.013550823e-09,1.029745259e-09,1.042015699e-09,1.054747684e-09,1.06750908e-09,1.080281006e-09,1.092994625e-09,1.105734115e-09,1.118503907e-09,1.13123146e-09,1.143973957e-09,1.156705198e-09,1.169462902e-09,1.182215022e-09,1.194958963e-09,1.207681829e-09,1.220413493e-09,1.23317372e-09,1.245849939e-09,1.258631279e-09,1.271344049e-09,1.284087103e-09,1.296861431e-09,1.309620238e-09,1.322333066e-09,1.335086844e-09,1.347793269e-09,1.360544468e-09,1.373335798e-09,1.384729872e-09]",0.9,000000000111111100000000000000,000000011111110000000000000000,000000011111110000000000000000,000000011111110000000000000000,0,7,13,7,1,1,0,0,0,phi_m04,-4,medium_200mv_200ps,0.2,2e-10,8.274368700000001e-10,-1.7256313e-10,1,1,2,2,2,0
scenarios/014_glitch_medium_200mv_200ps_phi_p04_o0014_v1p100000000000,capture,1.1,4,0,3.5487374e-10,1.35487374e-09,"[1.076101629e-09,1.095365965e-09,1.11467838e-09,1.134019936e-09,1.15335328e-09,1.172714004e-09,1.192065044e-09,1.211401003e-09,1.230750061e-09,1.25009976e-09,1.269411619e-09,1.288775034e-09,1.308043843e-09,1.327335298e-09,1.346629448e-09,1.366011033e-09,1.385322709e-09,1.404733305e-09,1.42396542e-09,1.44338814e-09,1.462660283e-09,1.482011671e-09,1.501173529e-09,1.520491525e-09,1.539750908e-09,1.559089502e-09,1.578501376e-09,1.597752422e-09,1.61706687e-09,1.635123462e-09]","[1.013550823e-09,1.029745259e-09,1.042015699e-09,1.054747684e-09,1.06750908e-09,1.080281006e-09,1.092994625e-09,1.105734115e-09,1.118503907e-09,1.13123146e-09,1.143973957e-09,1.156705198e-09,1.169462902e-09,1.182215022e-09,1.194958963e-09,1.207681829e-09,1.220413493e-09,1.23317372e-09,1.245894494e-09,1.258667153e-09,1.271379151e-09,1.284114723e-09,1.296857657e-09,1.309616977e-09,1.322280453e-09,1.335051942e-09,1.347809315e-09,1.360404337e-09,1.373215051e-09,1.38466925e-09]",0.9,000000000000001111111111100000,000000000000011111111110000000,000000000000011111111110000000,000000000000011111111110000000,0,13,22,10,1,1,0,0,0,phi_p04,4,medium_200mv_200ps,0.2,2e-10,8.274368700000001e-10,-1.7256313e-10,0,0,0,0,2,0
scenarios/015_glitch_medium_200mv_200ps_phi_m04_o0015_v1p100000000000,capture,1.1,4,0,2.4512626e-10,1.2451262600000001e-09,"[1.08161981e-09,1.100903599e-09,1.120234787e-09,1.139566008e-09,1.15892239e-09,1.178222737e-09,1.197529277e-09,1.216856012e-09,1.236182468e-09,1.255563539e-09,1.274875822e-09,1.294224076e-09,1.313597793e-09,1.332941465e-09,1.352221948e-09,1.371592462e-09,1.390945835e-09,1.410310402e-09,1.429684333e-09,1.44894192e-09,1.468350441e-09,1.487700177e-09,1.507027921e-09,1.526407504e-09,1.545682498e-09,1.565057297e-09,1.584382816e-09,1.603557942e-09,1.622912145e-09,1.641009606e-09]","[1.013534521e-09,1.032245749e-09,1.046488833e-09,1.058989382e-09,1.071713028e-09,1.084433612e-09,1.097199016e-09,1.109948747e-09,1.122698045e-09,1.135424704e-09,1.148159444e-09,1.160902721e-09,1.173650219e-09,1.186418941e-09,1.19916213e-09,1.211873994e-09,1.224629256e-09,1.237422956e-09,1.249984447e-09,1.262800975e-09,1.275550455e-09,1.288276307e-09,1.301033406e-09,1.313802509e-09,1.32653122e-09,1.339273226e-09,1.351994923e-09,1.364764183e-09,1.377505001e-09,1.388979609e-09]",0.9,000000001111111100000000000000,000000011111110000000000000000,000000011111110000000000000000,000000011111110000000000000000,0,7,13,7,1,1,0,0,0,phi_m04,-4,medium_200mv_200ps,0.2,2e-10,8.411553050000001e-10,-1.5884469500000002e-10,1,1,2,2,2,0
scenarios/019_glitch_medium_200mv_200ps_phi_p04_o0019_v1p100000000000,capture,1.1,4,0,3.5487374e-10,1.35487374e-09,"[1.08161981e-09,1.100903599e-09,1.120234787e-09,1.139566008e-09,1.15892239e-09,1.178222737e-09,1.197529277e-09,1.216856012e-09,1.236182468e-09,1.255535901e-09,1.274893902e-09,1.294246391e-09,1.313500918e-09,1.332800805e-09,1.352061956e-09,1.371398744e-09,1.390723475e-09,1.41005382e-09,1.429435149e-09,1.448784586e-09,1.468085087e-09,1.487436327e-09,1.506843787e-09,1.526034107e-09,1.545415528e-09,1.56476225e-09,1.584095986e-09,1.603447802e-09,1.622795496e-09,1.640784654e-09]","[1.013534521e-09,1.032245749e-09,1.046488833e-09,1.058989382e-09,1.071713028e-09,1.084433612e-09,1.097199016e-09,1.109948747e-09,1.122698045e-09,1.135424704e-09,1.148159444e-09,1.160902721e-09,1.173650219e-09,1.186418941e-09,1.19916213e-09,1.211873994e-09,1.224629256e-09,1.237422956e-09,1.250069837e-09,1.262825962e-09,1.275568902e-09,1.288282923e-09,1.301043723e-09,1.313809813e-09,1.326513547e-09,1.339336886e-09,1.352041399e-09,1.364742917e-09,1.377503076e-09,1.388971992e-09]",0.9,000000000000001111111111100000,000000000000111111111100000000,000000000000011111111110000000,000000000000011111111110000000,0,13,22,10,1,1,0,0,0,phi_p04,4,medium_200mv_200ps,0.2,2e-10,8.411553050000001e-10,-1.5884469500000002e-10,0,0,0,0,2,0
scenarios/020_glitch_medium_200mv_200ps_phi_m04_o0020_v1p100000000000,capture,1.1,4,0,2.4512626e-10,1.2451262600000001e-09,"[1.086789053e-09,1.106060865e-09,1.12539261e-09,1.144708998e-09,1.163979458e-09,1.183328881e-09,1.202649892e-09,1.22198795e-09,1.241339235e-09,1.26067512e-09,1.279998616e-09,1.299317822e-09,1.318645813e-09,1.338019158e-09,1.35733782e-09,1.376674169e-09,1.395985578e-09,1.415323522e-09,1.434696407e-09,1.454017254e-09,1.473368819e-09,1.492648246e-09,1.512035494e-09,1.531330257e-09,1.550668506e-09,1.570022048e-09,1.589383931e-09,1.608771825e-09,1.628067534e-09,1.645944563e-09]","[1.013562619e-09,1.032184483e-09,1.050945991e-09,1.063556765e-09,1.076163443e-09,1.08895207e-09,1.101679487e-09,1.114424171e-09,1.127135229e-09,1.139896828e-09,1.15266724e-09,1.165413581e-09,1.17812476e-09,1.190880456e-09,1.20367641e-09,1.216389655e-09,1.229139974e-09,1.241939334e-09,1.25455631e-09,1.267358768e-09,1.280121901e-09,1.292757621e-09,1.305583818e-09,1.318224822e-09,1.330894228e-09,1.343651915e-09,1.356406806e-09,1.369059324e-09,1.381793421e-09,1.393324247e-09]",0.9,000000001111111100000000000000,000000111111110000000000000000,000000011111110000000000000000,000000011111110000000000000000,0,7,13,7,1,1,0,0,0,phi_m04,-4,medium_200mv_200ps,0.2,2e-10,8.548737400000001e-10,-1.4512626e-10,1,1,2,2,2,0
scenarios/024_glitch_medium_200mv_200ps_phi_p04_o0024_v1p100000000000,capture,1.1,4,0,3.5487374e-10,1.35487374e-09,"[1.086789053e-09,1.106060865e-09,1.12539261e-09,1.144708998e-09,1.163979458e-09,1.183328881e-09,1.202649892e-09,1.22198795e-09,1.241339235e-09,1.260685766e-09,1.280001811e-09,1.29936037e-09,1.318637524e-09,1.338030433e-09,1.357317409e-09,1.376729085e-09,1.396023112e-09,1.415442184e-09,1.434767083e-09,1.454078759e-09,1.473447492e-09,1.492801599e-09,1.512102551e-09,1.53150307e-09,1.550745357e-09,1.570050008e-09,1.589378153e-09,1.608704995e-09,1.628059812e-09,1.646170787e-09]","[1.013562619e-09,1.032184483e-09,1.050945991e-09,1.063556765e-09,1.076163443e-09,1.08895207e-09,1.101679487e-09,1.114424171e-09,1.127135229e-09,1.139896828e-09,1.15266724e-09,1.165413581e-09,1.17812476e-09,1.190880456e-09,1.20367641e-09,1.216389655e-09,1.229139974e-09,1.241939334e-09,1.254624124e-09,1.267373594e-09,1.280118894e-09,1.29283199e-09,1.305608018e-09,1.318307943e-09,1.330967128e-09,1.343744702e-09,1.35637624e-09,1.369173138e-09,1.381921651e-09,1.393390706e-09]",0.9,000000000000001111111111000000,000000000000111111111100000000,000000000000111111111100000000,000000000000111111111100000000,0,12,21,10,1,1,0,0,0,phi_p04,4,medium_200mv_200ps,0.2,2e-10,8.548737400000001e-10,-1.4512626e-10,1,1,2,2,2,0
