phase_ids,phase_count,worst_longest_common_blind_s,worst_detection_fraction,detection_field
phi_m04+phi_p04,2,4.389899199999999e-10,0.5285714285714286,encoded_state_changed
phi_m02+phi_m04+phi_p04,3,4.389899199999999e-10,0.5285714285714286,encoded_state_changed
phi_m04+phi_p00+phi_p02,3,4.389899199999999e-10,0.5285714285714286,encoded_state_changed
phi_m04+phi_p00+phi_p04,3,4.389899199999999e-10,0.5285714285714286,encoded_state_changed
phi_m04+phi_p02+phi_p04,3,4.389899199999999e-10,0.5285714285714286,encoded_state_changed
phi_m02+phi_p04,2,4.389899199999999e-10,0.5142857142857142,encoded_state_changed
phi_m04+phi_p02,2,4.389899199999999e-10,0.5142857142857142,encoded_state_changed
phi_p00+phi_p02,2,4.389899199999999e-10,0.5142857142857142,encoded_state_changed
phi_p00+phi_p04,2,4.389899199999999e-10,0.5142857142857142,encoded_state_changed
phi_p02+phi_p04,2,4.389899199999999e-10,0.5142857142857142,encoded_state_changed
phi_m02+phi_m04+phi_p02,3,4.389899199999999e-10,0.5142857142857142,encoded_state_changed
phi_m02+phi_p00+phi_p02,3,4.389899199999999e-10,0.5142857142857142,encoded_state_changed
phi_m02+phi_p00+phi_p04,3,4.389899199999999e-10,0.5142857142857142,encoded_state_changed
phi_m02+phi_p02+phi_p04,3,4.389899199999999e-10,0.5142857142857142,encoded_state_changed
phi_p00+phi_p02+phi_p04,3,4.389899199999999e-10,0.5142857142857142,encoded_state_changed
phi_p02,1,4.389899199999999e-10,0.5,encoded_state_changed
phi_p04,1,4.389899199999999e-10,0.5,encoded_state_changed
phi_m02+phi_p02,2,4.389899199999999e-10,0.5,encoded_state_changed
phi_m04+phi_p00,2,4.80145225e-10,0.4857142857142857,encoded_state_changed
phi_m02+phi_m04+phi_p00,3,4.80145225e-10,0.4857142857142857,encoded_state_changed
phi_p00,1,4.80145225e-10,0.4714285714285714,encoded_state_changed
phi_m02+phi_p00,2,4.80145225e-10,0.4714285714285714,encoded_state_changed
phi_m04,1,5.075820949999999e-10,0.44285714285714284,encoded_state_changed
phi_m02+phi_m04,2,5.075820949999999e-10,0.44285714285714284,encoded_state_changed
phi_m02,1,5.075820949999999e-10,0.42857142857142855,encoded_state_changed
