scenario,mode,vdd_v,initial_rvt_stages,initial_lvt_stages,capture_phase_s,sample_time_s,rvt_crossings_s,lvt_crossings_s,vdd_a_min_v,raw_xor_word,latch_word,captured_xor_word,corrected_xor_word,raw_bubble_count,start_index,end_index,one_run_length,valid,run_count,bubble_count,touches_left_boundary,touches_right_boundary,phase_id,phase_multiplier
scenarios/000_anchor_phi_m04_v1p100000000000,capture,1.1,4,0,2.4512626e-10,1.2451262600000001e-09,"[1.069020134e-09,1.088269675e-09,1.107572288e-09,1.12688832e-09,1.146218733e-09,1.16553804e-09,1.184878294e-09,1.204218388e-09,1.223543704e-09,1.242899939e-09,1.26220638e-09,1.281586789e-09,1.300945735e-09,1.320284239e-09,1.339592926e-09,1.358962455e-09,1.378305771e-09,1.397692846e-09,1.417072492e-09,1.436439711e-09,1.455783204e-09,1.475116465e-09,1.494479472e-09,1.513815153e-09,1.533065564e-09,1.55238709e-09,1.571558206e-09,1.590865881e-09,1.610127519e-09,1.6282357e-09]","[1.010558565e-09,1.023283949e-09,1.036022632e-09,1.048775095e-09,1.061550847e-09,1.074298039e-09,1.087076059e-09,1.099810623e-09,1.112560234e-09,1.125318458e-09,1.13806122e-09,1.150811045e-09,1.16354372e-09,1.176295987e-09,1.189044266e-09,1.201730463e-09,1.214472561e-09,1.227249316e-09,1.239981027e-09,1.252668274e-09,1.265454483e-09,1.278205831e-09,1.290939913e-09,1.303683852e-09,1.316408325e-09,1.329149469e-09,1.341826353e-09,1.354621546e-09,1.367362986e-09,1.378790142e-09]",1.1,000000000111111110000000000000,000000011111111000000000000000,000000001111111000000000000000,000000001111111000000000000000,0,8,14,7,1,1,0,0,0,phi_m04,-4
scenarios/001_anchor_phi_m04_v0p900000000000,capture,0.9,4,0,2.4512626e-10,1.2451262600000001e-09,"[1.111377152e-09,1.143216705e-09,1.175040573e-09,1.206903529e-09,1.238832643e-09,1.270721567e-09,1.302654694e-09,1.33443847e-09,1.366366874e-09,1.398195103e-09,1.430164299e-09,1.462017872e-09,1.493890554e-09,1.525830049e-09,1.557631288e-09,1.589533113e-09,1.621219741e-09,1.653028336e-09,1.684984076e-09,1.716736357e-09,1.748613751e-09,1.780448666e-09,1.812445826e-09,1.844246141e-09,1.875993525e-09,1.907828424e-09,1.939454067e-09,1.971509412e-09,2.003332949e-09,2.033376362e-09]","[1.014358427e-09,1.03293924e-09,1.051581662e-09,1.070175496e-09,1.088715042e-09,1.107331078e-09,1.125898727e-09,1.144485684e-09,1.163035444e-09,1.181621105e-09,1.200263938e-09,1.218648216e-09,1.237286218e-09,1.25582633e-09,1.274515531e-09,1.293000693e-09,1.311594097e-09,1.330161871e-09,1.348652772e-09,1.367298485e-09,1.385815944e-09,1.404347223e-09,1.423042008e-09,1.441557698e-09,1.460070456e-09,1.478688875e-09,1.497234529e-09,1.515792969e-09,1.534369266e-09,1.55123027e-09]",0.9,000011111110000000000000000000,001111110000000000000000000000,000111110000000000000000000000,000111110000000000000000000000,0,3,7,5,1,1,0,0,0,phi_m04,-4
scenarios/002_anchor_phi_m04_v0p750000000000,capture,0.75,4,0,2.4512626e-10,1.2451262600000001e-09,"[1.211003633e-09,1.272431126e-09,1.333939882e-09,1.395588535e-09,1.457057869e-09,1.518706271e-09,1.580252018e-09,1.64190239e-09,1.703499217e-09,1.765038411e-09,1.826710036e-09,1.888316352e-09,1.950172106e-09,2.011974437e-09,2.073736461e-09,2.135381845e-09,2.196961746e-09,2.258626682e-09,2.320244493e-09,2.382019507e-09,2.443770755e-09,2.505518579e-09,2.567265808e-09,2.629012935e-09,2.690760043e-09,2.752402585e-09,2.813980913e-09,2.875644855e-09,2.937266227e-09,2.996063324e-09]","[1.021076496e-09,1.050956111e-09,1.080661405e-09,1.110343317e-09,1.139972502e-09,1.169744516e-09,1.199548577e-09,1.229366347e-09,1.259101089e-09,1.288913173e-09,1.318675673e-09,1.348429492e-09,1.378186417e-09,1.407821988e-09,1.437380371e-09,1.46716959e-09,1.496983462e-09,1.526616617e-09,1.556420496e-09,1.58622495e-09,1.616030368e-09,1.645843494e-09,1.675671656e-09,1.705498446e-09,1.735321764e-09,1.765141777e-09,1.794995243e-09,1.824634438e-09,1.854462813e-09,1.88201721e-09]",0.75,111110000000000000000000000000,110000000000000000000000000000,110000000000000000000000000000,110000000000000000000000000000,0,0,1,2,1,1,0,1,0,phi_m04,-4
scenarios/003_anchor_phi_m03_v1p100000000000,capture,1.1,4,0,2.58844695e-10,1.258844695e-09,"[1.069020134e-09,1.088269675e-09,1.107572288e-09,1.12688832e-09,1.146218733e-09,1.16553804e-09,1.184878294e-09,1.204218388e-09,1.223543704e-09,1.242899939e-09,1.262200357e-09,1.281573317e-09,1.30093633e-09,1.32029696e-09,1.339652104e-09,1.358940757e-09,1.378289815e-09,1.397695903e-09,1.417072304e-09,1.436445153e-09,1.455765265e-09,1.475065687e-09,1.494431314e-09,1.513775388e-09,1.533139488e-09,1.55251859e-09,1.571811315e-09,1.59108871e-09,1.610384505e-09,1.628490673e-09]","[1.010558565e-09,1.023283949e-09,1.036022632e-09,1.048775095e-09,1.061550847e-09,1.074298039e-09,1.087076059e-09,1.099810623e-09,1.112560234e-09,1.125318458e-09,1.13806122e-09,1.150811045e-09,1.16354372e-09,1.176295987e-09,1.189044266e-09,1.201730463e-09,1.214472561e-09,1.227249316e-09,1.239981027e-09,1.252704267e-09,1.265388948e-09,1.278207773e-09,1.290952075e-09,1.30367091e-09,1.316412828e-09,1.329173894e-09,1.341933892e-09,1.354659459e-09,1.367360227e-09,1.378810495e-09]",1.1,000000000011111111000000000000,000000001111111100000000000000,000000001111111100000000000000,000000001111111100000000000000,0,8,15,8,1,1,0,0,0,phi_m03,-3
scenarios/004_anchor_phi_m03_v0p900000000000,capture,0.9,4,0,2.58844695e-10,1.258844695e-09,"[1.111377152e-09,1.143216705e-09,1.175040573e-09,1.206903529e-09,1.238832643e-09,1.270633054e-09,1.302535877e-09,1.334411137e-09,1.366323922e-09,1.39814652e-09,1.430017596e-09,1.461872092e-09,1.493849121e-09,1.525768114e-09,1.557521305e-09,1.589432665e-09,1.621211541e-09,1.653058874e-09,1.684906078e-09,1.71668952e-09,1.748698554e-09,1.780313983e-09,1.812033994e-09,1.843779153e-09,1.875674134e-09,1.907659883e-09,1.939531798e-09,1.971442772e-09,2.003344172e-09,2.033430793e-09]","[1.014358427e-09,1.03293924e-09,1.051581662e-09,1.070175496e-09,1.088715042e-09,1.107331078e-09,1.125898727e-09,1.144485684e-09,1.163035444e-09,1.181621105e-09,1.200263938e-09,1.218648216e-09,1.237286218e-09,1.255880044e-09,1.274402904e-09,1.292871157e-09,1.311534897e-09,1.330019386e-09,1.348677424e-09,1.36719923e-09,1.38585644e-09,1.404379501e-09,1.422966293e-09,1.441617218e-09,1.460015025e-09,1.478696195e-09,1.497351987e-09,1.515893317e-09,1.534523908e-09,1.551343754e-09]",0.9,000001111110000000000000000000,000111111000000000000000000000,000111111000000000000000000000,000111111000000000000000000000,0,3,8,6,1,1,0,0,0,phi_m03,-3
scenarios/005_anchor_phi_m03_v0p750000000000,capture,0.75,4,0,2.58844695e-10,1.258844695e-09,"[1.211003633e-09,1.272303504e-09,1.333849135e-09,1.39548109e-09,1.457017849e-09,1.518654024e-09,1.58024207e-09,1.6418125e-09,1.703469414e-09,1.765084723e-09,1.826687197e-09,1.888315558e-09,1.949949458e-09,2.011768861e-09,2.073327421e-09,2.134883478e-09,2.196440959e-09,2.25775586e-09,2.319568892e-09,2.380947442e-09,2.442423389e-09,2.503963735e-09,2.565438701e-09,2.627058439e-09,2.68863218e-09,2.75019464e-09,2.811754e-09,2.873070697e-09,2.934882193e-09,2.993422499e-09]","[1.021076496e-09,1.050956111e-09,1.080661405e-09,1.110343317e-09,1.139972502e-09,1.169744516e-09,1.199548577e-09,1.229366347e-09,1.259149417e-09,1.288981041e-09,1.31882126e-09,1.348625895e-09,1.378433863e-09,1.408248051e-09,1.438064352e-09,1.467783571e-09,1.497613736e-09,1.527386653e-09,1.556824291e-09,1.586593178e-09,1.616345266e-09,1.646114042e-09,1.675586732e-09,1.705334385e-09,1.735349988e-09,1.764857019e-09,1.794640095e-09,1.824383288e-09,1.854066744e-09,1.88128903e-09]",0.75,011111000000000000000000000000,110000000000000000000000000000,110000000000000000000000000000,110000000000000000000000000000,0,0,1,2,1,1,0,1,0,phi_m03,-3
scenarios/006_anchor_phi_m02_v1p100000000000,capture,1.1,4,0,2.7256313e-10,1.27256313e-09,"[1.069020134e-09,1.088269675e-09,1.107572288e-09,1.12688832e-09,1.146218733e-09,1.16553804e-09,1.184878294e-09,1.204218388e-09,1.223543704e-09,1.242899939e-09,1.26226352e-09,1.281549499e-09,1.300933238e-09,1.320271018e-09,1.339627999e-09,1.358978012e-09,1.378287307e-09,1.397681884e-09,1.417048187e-09,1.436324259e-09,1.455708271e-09,1.474993876e-09,1.49438885e-09,1.513771015e-09,1.533156889e-09,1.552486949e-09,1.57182801e-09,1.591121309e-09,1.610452095e-09,1.628423556e-09]","[1.010558565e-09,1.023283949e-09,1.036022632e-09,1.048775095e-09,1.061550847e-09,1.074298039e-09,1.087076059e-09,1.099810623e-09,1.112560234e-09,1.125318458e-09,1.13806122e-09,1.150811045e-09,1.16354372e-09,1.176295987e-09,1.189044266e-09,1.201730463e-09,1.214472561e-09,1.227249316e-09,1.239981027e-09,1.252704267e-09,1.265525025e-09,1.278131497e-09,1.290912056e-09,1.303691551e-09,1.316428159e-09,1.329160204e-09,1.341909104e-09,1.354637446e-09,1.367389312e-09,1.378818515e-09]",1.1,000000000011111111100000000000,000000000111111110000000000000,000000000111111110000000000000,000000000111111110000000000000,0,9,16,8,1,1,0,0,0,phi_m02,-2
scenarios/007_anchor_phi_m02_v0p900000000000,capture,0.9,4,0,2.7256313e-10,1.27256313e-09,"[1.111377152e-09,1.143216705e-09,1.175040573e-09,1.206903529e-09,1.238832643e-09,1.270605381e-09,1.302589033e-09,1.334387855e-09,1.366341687e-09,1.398146963e-09,1.430055819e-09,1.461927001e-09,1.493850571e-09,1.525741486e-09,1.557606355e-09,1.589629832e-09,1.621502178e-09,1.653298537e-09,1.6851809e-09,1.716935305e-09,1.748746822e-09,1.780658851e-09,1.812568058e-09,1.844472491e-09,1.876244434e-09,1.908204683e-09,1.940055662e-09,1.972017903e-09,2.00369094e-09,2.033736081e-09]","[1.014358427e-09,1.03293924e-09,1.051581662e-09,1.070175496e-09,1.088715042e-09,1.107331078e-09,1.125898727e-09,1.144485684e-09,1.163035444e-09,1.181621105e-09,1.200263938e-09,1.218648216e-09,1.237286218e-09,1.255880044e-09,1.274254215e-09,1.292982353e-09,1.311521754e-09,1.330175223e-09,1.348680291e-09,1.36733806e-09,1.385837684e-09,1.404291813e-09,1.42294287e-09,1.441489548e-09,1.460042226e-09,1.478508659e-09,1.497148295e-09,1.515695215e-09,1.534345302e-09,1.551302256e-09]",0.9,000001111111000000000000000000,000111111000000000000000000000,000111111000000000000000000000,000111111000000000000000000000,0,3,8,6,1,1,0,0,0,phi_m02,-2
scenarios/008_anchor_phi_m02_v0p750000000000,capture,0.75,4,0,2.7256313e-10,1.27256313e-09,"[1.211003633e-09,1.272266527e-09,1.333902107e-09,1.395528107e-09,1.457065543e-09,1.518585758e-09,1.580214797e-09,1.64185516e-09,1.703503541e-09,1.765010691e-09,1.826656476e-09,1.88817546e-09,1.950028642e-09,2.01157102e-09,2.073233447e-09,2.134893394e-09,2.196303853e-09,2.258112221e-09,2.31965795e-09,2.38134535e-09,2.443037581e-09,2.504786317e-09,2.566533555e-09,2.628280687e-09,2.690027797e-09,2.751774903e-09,2.813417443e-09,2.874995772e-09,2.936659769e-09,2.995340985e-09]","[1.021076496e-09,1.050956111e-09,1.080661405e-09,1.110343317e-09,1.139972502e-09,1.169744516e-09,1.199548577e-09,1.229366347e-09,1.259187472e-09,1.289016558e-09,1.318854518e-09,1.34862124e-09,1.378430941e-09,1.408250435e-09,1.438069455e-09,1.467891521e-09,1.497615159e-09,1.527358907e-09,1.557136812e-09,1.586598075e-09,1.616354942e-09,1.646174162e-09,1.676065471e-09,1.705871806e-09,1.735439734e-09,1.765139462e-09,1.794852135e-09,1.82471623e-09,1.854211679e-09,1.881541518e-09]",0.75,011111000000000000000000000000,110000000000000000000000000000,111000000000000000000000000000,111000000000000000000000000000,0,0,2,3,1,1,0,1,0,phi_m02,-2
scenarios/009_anchor_phi_m01_v1p100000000000,capture,1.1,4,0,2.86281565e-10,1.286281565e-09,"[1.069020134e-09,1.088269675e-09,1.107572288e-09,1.12688832e-09,1.146218733e-09,1.16553804e-09,1.184878294e-09,1.204218388e-09,1.223543704e-09,1.242899939e-09,1.26226352e-09,1.281639938e-09,1.300945788e-09,1.320295049e-09,1.339647034e-09,1.358997616e-09,1.378313569e-09,1.397583195e-09,1.416960668e-09,1.436170942e-09,1.455477818e-09,1.474834964e-09,1.494086143e-09,1.513400128e-09,1.532759277e-09,1.552090715e-09,1.571455197e-09,1.590724071e-09,1.610092938e-09,1.628117131e-09]","[1.010558565e-09,1.023283949e-09,1.036022632e-09,1.048775095e-09,1.061550847e-09,1.074298039e-09,1.087076059e-09,1.099810623e-09,1.112560234e-09,1.125318458e-09,1.13806122e-09,1.150811045e-09,1.16354372e-09,1.176295987e-09,1.189044266e-09,1.201730463e-09,1.214472561e-09,1.227249316e-09,1.239981027e-09,1.252704267e-09,1.265525025e-09,1.278199626e-09,1.290833344e-09,1.303623646e-09,1.31636306e-09,1.329126929e-09,1.341879378e-09,1.354607183e-09,1.367357879e-09,1.378825614e-09]",1.1,000000000001111111110000000000,000000000111111111000000000000,000000000011111111000000000000,000000000011111111000000000000,0,10,17,8,1,1,0,0,0,phi_m01,-1
