scenario,mode,vdd_v,initial_rvt_stages,initial_lvt_stages,capture_phase_s,sample_time_s,rvt_crossings_s,lvt_crossings_s,vdd_a_min_v,raw_xor_word,latch_word,captured_xor_word,corrected_xor_word,raw_bubble_count,start_index,end_index,one_run_length,valid,run_count,bubble_count,touches_left_boundary,touches_right_boundary,phase_id,phase_multiplier
scenarios/000_coarse_phi_m04_v1p100000000000,capture,1.1,4,0,2.4512626e-10,1.2451262600000001e-09,"[1.069020134e-09,1.088269675e-09,1.107572288e-09,1.12688832e-09,1.146218733e-09,1.16553804e-09,1.184878294e-09,1.204218388e-09,1.223543704e-09,1.242899939e-09,1.26220638e-09,1.281586789e-09,1.300945735e-09,1.320284239e-09,1.339592926e-09,1.358962455e-09,1.378305771e-09,1.397692846e-09,1.417072492e-09,1.436439711e-09,1.455783204e-09,1.475116465e-09,1.494479472e-09,1.513815153e-09,1.533065564e-09,1.55238709e-09,1.571558206e-09,1.590865881e-09,1.610127519e-09,1.6282357e-09]","[1.010558565e-09,1.023283949e-09,1.036022632e-09,1.048775095e-09,1.061550847e-09,1.074298039e-09,1.087076059e-09,1.099810623e-09,1.112560234e-09,1.125318458e-09,1.13806122e-09,1.150811045e-09,1.16354372e-09,1.176295987e-09,1.189044266e-09,1.201730463e-09,1.214472561e-09,1.227249316e-09,1.239981027e-09,1.252668274e-09,1.265454483e-09,1.278205831e-09,1.290939913e-09,1.303683852e-09,1.316408325e-09,1.329149469e-09,1.341826353e-09,1.354621546e-09,1.367362986e-09,1.378790142e-09]",1.1,000000000111111110000000000000,000000011111111000000000000000,000000001111111000000000000000,000000001111111000000000000000,0,8,14,7,1,1,0,0,0,phi_m04,-4
scenarios/001_coarse_phi_m04_v1p050000000000,capture,1.05,4,0,2.4512626e-10,1.2451262600000001e-09,"[1.075868526e-09,1.097165857e-09,1.118497235e-09,1.139809695e-09,1.161137848e-09,1.18254774e-09,1.203894382e-09,1.225252597e-09,1.246548732e-09,1.267979011e-09,1.289313657e-09,1.310734738e-09,1.332114289e-09,1.35347908e-09,1.374854738e-09,1.396142831e-09,1.417516753e-09,1.438909974e-09,1.460385768e-09,1.481690103e-09,1.503090326e-09,1.524475514e-09,1.545812983e-09,1.56718157e-09,1.588510244e-09,1.609911338e-09,1.631244736e-09,1.652620616e-09,1.673903055e-09,1.693849394e-09]","[1.011240238e-09,1.025034756e-09,1.038826309e-09,1.052609537e-09,1.066376534e-09,1.080138951e-09,1.093925378e-09,1.107714814e-09,1.121469175e-09,1.135220696e-09,1.149037826e-09,1.162809486e-09,1.176534772e-09,1.190341015e-09,1.204142695e-09,1.217874061e-09,1.231673576e-09,1.245391543e-09,1.259172253e-09,1.272987166e-09,1.28671415e-09,1.300508481e-09,1.314281789e-09,1.328022453e-09,1.341798974e-09,1.35559819e-09,1.369273092e-09,1.382967219e-09,1.396732803e-09,1.409171355e-09]",1.05,000000001111111000000000000000,000000111111100000000000000000,000000111111100000000000000000,000000111111100000000000000000,0,6,12,7,1,1,0,0,0,phi_m04,-4
scenarios/002_coarse_phi_m04_v1p000000000000,capture,1.0,4,0,2.4512626e-10,1.2451262600000001e-09,"[1.084660275e-09,1.108516787e-09,1.132458804e-09,1.156349708e-09,1.180287342e-09,1.204271646e-09,1.228216928e-09,1.252058743e-09,1.276078567e-09,1.300013411e-09,1.323925764e-09,1.347961654e-09,1.371864225e-09,1.395852505e-09,1.419797587e-09,1.443652703e-09,1.467675279e-09,1.491560819e-09,1.515504767e-09,1.539411902e-09,1.563320047e-09,1.587304841e-09,1.611181419e-09,1.635166535e-09,1.659191274e-09,1.682917989e-09,1.706829859e-09,1.730763549e-09,1.754763481e-09,1.777241075e-09]","[1.012040152e-09,1.027044444e-09,1.042112193e-09,1.057192331e-09,1.072175549e-09,1.08726375e-09,1.102244142e-09,1.117253479e-09,1.132328949e-09,1.147320032e-09,1.162379614e-09,1.177393831e-09,1.192359897e-09,1.20729755e-09,1.222289442e-09,1.237360467e-09,1.252249163e-09,1.267325616e-09,1.282338223e-09,1.297402513e-09,1.312415202e-09,1.327452694e-09,1.342485708e-09,1.357490174e-09,1.37241874e-09,1.387503612e-09,1.402529482e-09,1.417496097e-09,1.432528697e-09,1.446040279e-09]",1.0,000000011111110000000000000000,000001111110000000000000000000,000001111111000000000000000000,000001111111000000000000000000,0,5,11,7,1,1,0,0,0,phi_m04,-4
scenarios/003_coarse_phi_m04_v0p950000000000,capture,0.95,4,0,2.4512626e-10,1.2451262600000001e-09,"[1.095891858e-09,1.123069275e-09,1.150357289e-09,1.177683904e-09,1.205068462e-09,1.232319447e-09,1.259697239e-09,1.287075901e-09,1.31436785e-09,1.341726726e-09,1.369027948e-09,1.396383387e-09,1.423736246e-09,1.451006822e-09,1.478337119e-09,1.505718122e-09,1.533025103e-09,1.560512275e-09,1.587741035e-09,1.615137513e-09,1.6423084e-09,1.66954281e-09,1.696868535e-09,1.724223375e-09,1.751621788e-09,1.778971887e-09,1.806291707e-09,1.833605918e-09,1.860903704e-09,1.886683336e-09]","[1.012927351e-09,1.02949334e-09,1.04613312e-09,1.062772055e-09,1.07928958e-09,1.095930244e-09,1.112457602e-09,1.129084503e-09,1.145662485e-09,1.162261038e-09,1.178845723e-09,1.195429711e-09,1.211999758e-09,1.22861214e-09,1.245138462e-09,1.261708124e-09,1.278332062e-09,1.294927804e-09,1.311532437e-09,1.328031175e-09,1.344702053e-09,1.361263761e-09,1.377803289e-09,1.394466669e-09,1.411058171e-09,1.427589976e-09,1.444210463e-09,1.460820969e-09,1.47742963e-09,1.492444674e-09]",0.95,000001111111000000000000000000,000111111100000000000000000000,000011111100000000000000000000,000011111100000000000000000000,0,4,9,6,1,1,0,0,0,phi_m04,-4
scenarios/004_coarse_phi_m04_v0p900000000000,capture,0.9,4,0,2.4512626e-10,1.2451262600000001e-09,"[1.111377152e-09,1.143216705e-09,1.175040573e-09,1.206903529e-09,1.238832643e-09,1.270721567e-09,1.302654694e-09,1.33443847e-09,1.366366874e-09,1.398195103e-09,1.430164299e-09,1.462017872e-09,1.493890554e-09,1.525830049e-09,1.557631288e-09,1.589533113e-09,1.621219741e-09,1.653028336e-09,1.684984076e-09,1.716736357e-09,1.748613751e-09,1.780448666e-09,1.812445826e-09,1.844246141e-09,1.875993525e-09,1.907828424e-09,1.939454067e-09,1.971509412e-09,2.003332949e-09,2.033376362e-09]","[1.014358427e-09,1.03293924e-09,1.051581662e-09,1.070175496e-09,1.088715042e-09,1.107331078e-09,1.125898727e-09,1.144485684e-09,1.163035444e-09,1.181621105e-09,1.200263938e-09,1.218648216e-09,1.237286218e-09,1.25582633e-09,1.274515531e-09,1.293000693e-09,1.311594097e-09,1.330161871e-09,1.348652772e-09,1.367298485e-09,1.385815944e-09,1.404347223e-09,1.423042008e-09,1.441557698e-09,1.460070456e-09,1.478688875e-09,1.497234529e-09,1.515792969e-09,1.534369266e-09,1.55123027e-09]",0.9,000011111110000000000000000000,001111110000000000000000000000,000111110000000000000000000000,000111110000000000000000000000,0,3,7,5,1,1,0,0,0,phi_m04,-4
scenarios/005_coarse_phi_m04_v0p850000000000,capture,0.85,4,0,2.4512626e-10,1.2451262600000001e-09,"[1.132526868e-09,1.170572635e-09,1.208741281e-09,1.246961843e-09,1.285265607e-09,1.323562e-09,1.361691603e-09,1.399912585e-09,1.438187368e-09,1.476400443e-09,1.514663236e-09,1.552837701e-09,1.591055437e-09,1.629400664e-09,1.667578487e-09,1.706034765e-09,1.744298256e-09,1.782509091e-09,1.820717227e-09,1.858883778e-09,1.897157988e-09,1.935229479e-09,1.973328397e-09,2.011452124e-09,2.049585382e-09,2.087787753e-09,2.12624305e-09,2.164488788e-09,2.202692997e-09,2.238799241e-09]","[1.015839442e-09,1.037023701e-09,1.058226633e-09,1.079433525e-09,1.100714365e-09,1.121896818e-09,1.143038213e-09,1.16431447e-09,1.185421857e-09,1.206696968e-09,1.227791375e-09,1.248889243e-09,1.270232792e-09,1.291455336e-09,1.312670324e-09,1.333806708e-09,1.355102402e-09,1.376195469e-09,1.397449248e-09,1.418523367e-09,1.439604068e-09,1.460875074e-09,1.482083526e-09,1.503269119e-09,1.52453052e-09,1.545609928e-09,1.566885216e-09,1.587982561e-09,1.609129023e-09,1.628615878e-09]",0.85,000111111000000000000000000000,011111000000000000000000000000,011111000000000000000000000000,011111000000000000000000000000,0,1,5,5,1,1,0,0,0,phi_m04,-4
scenarios/006_coarse_phi_m04_v0p800000000000,capture,0.8,4,0,2.4512626e-10,1.2451262600000001e-09,"[1.163718349e-09,1.210954986e-09,1.258339295e-09,1.305843003e-09,1.353363501e-09,1.400747267e-09,1.448110375e-09,1.495644211e-09,1.543060253e-09,1.590564542e-09,1.637971873e-09,1.685437622e-09,1.732831802e-09,1.780589301e-09,1.828039535e-09,1.875541227e-09,1.922867375e-09,1.970175598e-09,2.017591408e-09,2.0650034e-09,2.112588312e-09,2.160298885e-09,2.207785983e-09,2.255293366e-09,2.302817406e-09,2.350342467e-09,2.397867847e-09,2.44539318e-09,2.49283061e-09,2.537799643e-09]","[1.01807628e-09,1.042782507e-09,1.067585437e-09,1.092388241e-09,1.117050189e-09,1.141865749e-09,1.166521305e-09,1.191340826e-09,1.215879905e-09,1.240705935e-09,1.26539437e-09,1.290113661e-09,1.314922094e-09,1.339663871e-09,1.364306766e-09,1.389142529e-09,1.413801023e-09,1.438611692e-09,1.463143166e-09,1.487831213e-09,1.512477152e-09,1.53728665e-09,1.561835869e-09,1.586680941e-09,1.61136801e-09,1.63599058e-09,1.660693037e-09,1.685516254e-09,1.710258375e-09,1.732922979e-09]",0.8,001111100000000000000000000000,111100000000000000000000000000,111100000000000000000000000000,111100000000000000000000000000,0,0,3,4,1,1,0,1,0,phi_m04,-4
scenarios/007_coarse_phi_m04_v0p750000000000,capture,0.75,4,0,2.4512626e-10,1.2451262600000001e-09,"[1.211003633e-09,1.272431126e-09,1.333939882e-09,1.395588535e-09,1.457057869e-09,1.518706271e-09,1.580252018e-09,1.64190239e-09,1.703499217e-09,1.765038411e-09,1.826710036e-09,1.888316352e-09,1.950172106e-09,2.011974437e-09,2.073736461e-09,2.135381845e-09,2.196961746e-09,2.258626682e-09,2.320244493e-09,2.382019507e-09,2.443770755e-09,2.505518579e-09,2.567265808e-09,2.629012935e-09,2.690760043e-09,2.752402585e-09,2.813980913e-09,2.875644855e-09,2.937266227e-09,2.996063324e-09]","[1.021076496e-09,1.050956111e-09,1.080661405e-09,1.110343317e-09,1.139972502e-09,1.169744516e-09,1.199548577e-09,1.229366347e-09,1.259101089e-09,1.288913173e-09,1.318675673e-09,1.348429492e-09,1.378186417e-09,1.407821988e-09,1.437380371e-09,1.46716959e-09,1.496983462e-09,1.526616617e-09,1.556420496e-09,1.58622495e-09,1.616030368e-09,1.645843494e-09,1.675671656e-09,1.705498446e-09,1.735321764e-09,1.765141777e-09,1.794995243e-09,1.824634438e-09,1.854462813e-09,1.88201721e-09]",0.75,111110000000000000000000000000,110000000000000000000000000000,110000000000000000000000000000,110000000000000000000000000000,0,0,1,2,1,1,0,1,0,phi_m04,-4
scenarios/008_coarse_phi_m03_v1p100000000000,capture,1.1,4,0,2.58844695e-10,1.258844695e-09,"[1.069020134e-09,1.088269675e-09,1.107572288e-09,1.12688832e-09,1.146218733e-09,1.16553804e-09,1.184878294e-09,1.204218388e-09,1.223543704e-09,1.242899939e-09,1.262200357e-09,1.281573317e-09,1.30093633e-09,1.32029696e-09,1.339652104e-09,1.358940757e-09,1.378289815e-09,1.397695903e-09,1.417072304e-09,1.436445153e-09,1.455765265e-09,1.475065687e-09,1.494431314e-09,1.513775388e-09,1.533139488e-09,1.55251859e-09,1.571811315e-09,1.59108871e-09,1.610384505e-09,1.628490673e-09]","[1.010558565e-09,1.023283949e-09,1.036022632e-09,1.048775095e-09,1.061550847e-09,1.074298039e-09,1.087076059e-09,1.099810623e-09,1.112560234e-09,1.125318458e-09,1.13806122e-09,1.150811045e-09,1.16354372e-09,1.176295987e-09,1.189044266e-09,1.201730463e-09,1.214472561e-09,1.227249316e-09,1.239981027e-09,1.252704267e-09,1.265388948e-09,1.278207773e-09,1.290952075e-09,1.30367091e-09,1.316412828e-09,1.329173894e-09,1.341933892e-09,1.354659459e-09,1.367360227e-09,1.378810495e-09]",1.1,000000000011111111000000000000,000000001111111100000000000000,000000001111111100000000000000,000000001111111100000000000000,0,8,15,8,1,1,0,0,0,phi_m03,-3
scenarios/009_coarse_phi_m03_v1p050000000000,capture,1.05,4,0,2.58844695e-10,1.258844695e-09,"[1.075868526e-09,1.097165857e-09,1.118497235e-09,1.139809695e-09,1.161137848e-09,1.18254774e-09,1.203894382e-09,1.225252597e-09,1.246577432e-09,1.267891303e-09,1.289300969e-09,1.31065194e-09,1.332034293e-09,1.353386922e-09,1.374756961e-09,1.396090645e-09,1.417439769e-09,1.438787636e-09,1.460096085e-09,1.481590691e-09,1.502932232e-09,1.5242785e-09,1.545676167e-09,1.567063854e-09,1.588416299e-09,1.60964691e-09,1.630951542e-09,1.6523372e-09,1.673747166e-09,1.693768347e-09]","[1.011240238e-09,1.025034756e-09,1.038826309e-09,1.052609537e-09,1.066376534e-09,1.080138951e-09,1.093925378e-09,1.107714814e-09,1.121469175e-09,1.135220696e-09,1.149037826e-09,1.162809486e-09,1.176534772e-09,1.190341015e-09,1.204142695e-09,1.217874061e-09,1.231673576e-09,1.245395716e-09,1.259166045e-09,1.272979846e-09,1.286759572e-09,1.300522232e-09,1.314301186e-09,1.328089251e-09,1.341851636e-09,1.355613018e-09,1.369319327e-09,1.383061069e-09,1.39684186e-09,1.409264011e-09]",1.05,000000001111111100000000000000,000000011111110000000000000000,000000011111110000000000000000,000000011111110000000000000000,0,7,13,7,1,1,0,0,0,phi_m03,-3
