mode,point_kind,vdd_v,droop_mv,raw_thermometer_word,normalized_raw_word,corrected_thermometer_word,sensor_code,raw_bubble_count,bubble_count,code_valid,reset_failure_count,rvt_031_cross_s,lvt_031_cross_s,rvt_lvt_diff_031_s,final_taps_arrived,residual_code,measurement_file
rvt_lvt,grid,7.000000000000e-01,4.000000000000e+02,11110110110100100000000000000000,00001001001011011111111111111111,00000000000111111111111111111111,11,6,0,1,0,3.746516505000e-09,3.707259867000e-09,-3.925663877000e-11,1,7,scenarios/v0p700000000000/phase3_voltage_code.mt0.csv
rvt_lvt,grid,7.050000000000e-01,3.950000000000e+02,11111110110100000000000000000000,00000001001011111111111111111111,00000000000111111111111111111111,11,3,0,1,0,3.653010763000e-09,3.617176974000e-09,-3.583378881000e-11,1,7,scenarios/v0p705000000000/phase3_voltage_code.mt0.csv
rvt_lvt,grid,7.100000000000e-01,3.900000000000e+02,11111110110100000000000000000000,00000001001011111111111111111111,00000000000111111111111111111111,11,3,0,1,0,3.564186934000e-09,3.532129725000e-09,-3.205720972000e-11,1,7,scenarios/v0p710000000000/phase3_voltage_code.mt0.csv
rvt_lvt,grid,7.150000000000e-01,3.850000000000e+02,11110110110100000000000000000000,00001001001011111111111111111111,00000000000111111111111111111111,11,5,0,1,0,3.479720694000e-09,3.450350186000e-09,-2.937050824000e-11,1,7,scenarios/v0p715000000000/phase3_voltage_code.mt0.csv
rvt_lvt,grid,7.200000000000e-01,3.800000000000e+02,11110110100100000000000000000000,00001001011011111111111111111111,00000000111111111111111111111111,8,4,0,1,0,3.400295083000e-09,3.373820388000e-09,-2.647469455000e-11,1,4,scenarios/v0p720000000000/phase3_voltage_code.mt0.csv
rvt_lvt,grid,7.250000000000e-01,3.750000000000e+02,11110110100100000000000000000000,00001001011011111111111111111111,00000000111111111111111111111111,8,4,0,1,0,3.324830373000e-09,3.301617318000e-09,-2.321305515000e-11,1,4,scenarios/v0p725000000000/phase3_voltage_code.mt0.csv
rvt_lvt,grid,7.300000000000e-01,3.700000000000e+02,11110110100000000000000000000000,00001001011111111111111111111111,00000000111111111111111111111111,8,3,0,1,0,3.253514167000e-09,3.233113864000e-09,-2.040030283000e-11,1,4,scenarios/v0p730000000000/phase3_voltage_code.mt0.csv
rvt_lvt,grid,7.350000000000e-01,3.650000000000e+02,11110110100000000000000000000000,00001001011111111111111111111111,00000000111111111111111111111111,8,3,0,1,0,3.184867780000e-09,3.168005992000e-09,-1.686178833000e-11,1,4,scenarios/v0p735000000000/phase3_voltage_code.mt0.csv
rvt_lvt,grid,7.400000000000e-01,3.600000000000e+02,11110110100000000000000000000000,00001001011111111111111111111111,00000000111111111111111111111111,8,3,0,1,0,3.120701090000e-09,3.104535480000e-09,-1.616561008000e-11,1,4,scenarios/v0p740000000000/phase3_voltage_code.mt0.csv
rvt_lvt,grid,7.450000000000e-01,3.550000000000e+02,11110110100000000000000000000000,00001001011111111111111111111111,00000000111111111111111111111111,8,3,0,1,0,3.058941540000e-09,3.045693258000e-09,-1.324828220000e-11,1,4,scenarios/v0p745000000000/phase3_voltage_code.mt0.csv
rvt_lvt,grid,7.500000000000e-01,3.500000000000e+02,11110110100000000000000000000000,00001001011111111111111111111111,00000000111111111111111111111111,8,3,0,1,0,3.000400330000e-09,2.988669523000e-09,-1.173080744000e-11,1,4,scenarios/v0p750000000000/phase3_voltage_code.mt0.csv
rvt_lvt,grid,7.550000000000e-01,3.450000000000e+02,11110110100000000000000000000000,00001001011111111111111111111111,00000000111111111111111111111111,8,3,0,1,0,2.944559506000e-09,2.935518934000e-09,-9.040571605000e-12,1,4,scenarios/v0p755000000000/phase3_voltage_code.mt0.csv
rvt_lvt,grid,7.600000000000e-01,3.400000000000e+02,11110110100000000000000000000000,00001001011111111111111111111111,00000000111111111111111111111111,8,3,0,1,0,2.890595607000e-09,2.883493803000e-09,-7.101803541000e-12,1,4,scenarios/v0p760000000000/phase3_voltage_code.mt0.csv
rvt_lvt,grid,7.650000000000e-01,3.350000000000e+02,11110110100000000000000000000000,00001001011111111111111111111111,00000000111111111111111111111111,8,3,0,1,0,2.839593546000e-09,2.833856936000e-09,-5.736609671000e-12,1,4,scenarios/v0p765000000000/phase3_voltage_code.mt0.csv
rvt_lvt,grid,7.700000000000e-01,3.300000000000e+02,11110110100000000000000000000000,00001001011111111111111111111111,00000000111111111111111111111111,8,3,0,1,0,2.790995709000e-09,2.786765141000e-09,-4.230567763000e-12,1,4,scenarios/v0p770000000000/phase3_voltage_code.mt0.csv
rvt_lvt,grid,7.750000000000e-01,3.250000000000e+02,11110110100000000000000000000000,00001001011111111111111111111111,00000000111111111111111111111111,8,3,0,1,0,2.745132288000e-09,2.741353010000e-09,-3.779277481000e-12,1,4,scenarios/v0p775000000000/phase3_voltage_code.mt0.csv
